current_case,training_seed,simulation_seed,b_fault_window_rmse,c3_fault_window_rmse,ekf_fault_window_rmse,c3_minus_b_fault_window_rmse,ekf_minus_b_fault_window_rmse,c3_to_b_fault_window_rmse_ratio,ekf_to_b_fault_window_rmse_ratio,c3_sub_fraction,c3_frac_phys,c3_frac_main,c3_frac_aux,c3_frac_fb,c3_event_frac_phys,c3_event_frac_main,c3_event_frac_aux,c3_event_frac_fb,c3_aux_estimator_rmse,ekf_estimator_rmse,ekf_sub_fraction,ekf_event_sub_fraction
current_bias_5,2026,59026,0.27053060340098173,0.27053060340098173,0.27053060340098173,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.9130804329273365,4.484614218099697,0.0,0.0
current_bias_5,2026,59027,0.2753060960538123,0.27530609605379486,0.27530609605379996,-1.7430501486614958e-14,-1.2323475573339238e-14,0.9999999999999367,0.9999999999999553,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,5.886483248491501,4.484614218117948,0.0033277870216306157,0.0
current_bias_5,2026,59028,0.1683977741319989,0.1683977741319989,0.1683977741319989,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.895799054853962,4.484614218112477,0.0,0.0
current_bias_5,2026,59029,0.2801280742022907,0.2927304818219845,4.122963235113594,0.012602407619693834,3.842835160911303,1.0449880207672193,14.718136505433767,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,0.995,0.005,0.0,0.0,5.8458060687729825,4.484614218122457,0.6655574043261231,0.995
current_bias_5,2026,59030,0.33312615903003356,4.465615205560539,0.2708397963748119,4.132489046530505,-0.06228636265522164,13.405177241448438,0.8130247026034179,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,5.000191170985038,4.484614218104002,0.004991680532445923,0.0
current_bias_5,2027,59026,0.28751098412267523,4.800407884125532,0.28751098412267523,4.512896900002857,0.0,16.696433003329336,1.0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,6.496061761879311,4.48461421810993,0.0016638935108153079,0.0
current_bias_5,2027,59027,0.3918783189812059,4.818826041772027,0.3921598881035795,4.426947722790821,0.00028156912237359277,12.296740616576784,1.0007185116112205,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,6.478393665763165,4.484614218121278,0.0066555740432612314,0.0
current_bias_5,2027,59028,0.40766818720463327,0.40766818720463327,0.40766818720463327,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.618079317794957,4.48461421809832,0.0,0.0
current_bias_5,2027,59029,0.29701866298449997,4.974470146263496,3.9643887431355065,4.677451483278996,3.6673700801510067,16.748005314814478,13.347271525972728,0.6638935108153078,0.33610648918469216,0.0033277870216306157,0.6605657237936772,0.0,0.01,0.01,0.98,0.0,5.924862483951418,4.484614218106586,0.6655574043261231,0.995
current_bias_5,2027,59030,0.2928007221598719,4.796068492451333,0.29313202478492856,4.503267770291461,0.00033130262505665087,16.379974943615867,1.0011314952456838,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,6.236512071042907,4.484614218121992,0.0033277870216306157,0.0
current_bias_5,2028,59026,0.32473530301805514,0.32473530301805514,0.32473530301805514,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.2665252832552065,4.484614218111192,0.0,0.0
current_bias_5,2028,59027,0.38112870882474514,0.3811287088247316,0.3811287088247584,-1.354472090042691e-14,1.326716514427062e-14,0.9999999999999645,1.0000000000000349,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,5.358377360650517,4.484614218117563,0.0033277870216306157,0.0
current_bias_5,2028,59028,0.179214778216352,0.179214778216352,0.179214778216352,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.181340921316847,4.48461421811284,0.0,0.0
current_bias_5,2028,59029,0.38257232775519545,0.3840145217263363,0.3772454142633404,0.0014421939711408704,-0.005326913491855045,1.0037697289283916,0.9860760616871806,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,0.995,0.005,0.0,0.0,5.283150849926578,4.484614218114236,0.0033277870216306157,0.005
current_bias_5,2028,59030,0.3187258925926464,0.2737631569731432,0.2753180310435359,-0.0449627356195032,-0.04340786154911047,0.858929767977876,0.863808173236215,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,5.3536814137857975,4.484614218100088,0.0033277870216306157,0.0
current_dropout_2s,2026,59026,0.27053060340098173,0.27053060340098173,0.27053060340098173,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.919727249076054,21.550669890144796,0.0,0.0
current_dropout_2s,2026,59027,0.2753060960538123,0.27530609605379486,0.27530609605379996,-1.7430501486614958e-14,-1.2323475573339238e-14,0.9999999999999367,0.9999999999999553,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,22.317374286678625,22.17899802894741,0.0033277870216306157,0.0
current_dropout_2s,2026,59028,0.1683977741319989,0.1683977741319989,0.1683977741319989,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.346361483616686,21.576891227059736,0.0,0.0
current_dropout_2s,2026,59029,0.2801280742022907,2.254123856476454,19.599753938915324,1.9739957822741634,19.319625864713032,8.046761692470241,69.96711770046164,0.6655574043261231,0.33444259567387685,0.0,0.6655574043261231,0.0,0.005,0.0,0.995,0.0,21.333409748927206,56.74749473096177,0.6655574043261231,0.995
current_dropout_2s,2026,59030,0.33312615903003356,2.1928766045493804,0.2708397963748119,1.8597504455193468,-0.06228636265522164,6.582721125637203,0.8130247026034179,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,22.39304188949425,22.612521925217095,0.004991680532445923,0.0
current_dropout_2s,2027,59026,0.28751098412267523,7.959298526633958,0.28751098412267523,7.671787542511283,0.0,27.683458949999224,1.0,0.8585690515806988,0.14143094841930118,0.0,0.8352745424292846,0.02329450915141431,0.0,0.0,0.96,0.04,21.08234899181628,22.415227171793124,0.0016638935108153079,0.0
current_dropout_2s,2027,59027,0.3918783189812059,7.935942630097542,0.3921598881035795,7.544064311116336,0.00028156912237359277,20.25103774745482,1.0007185116112205,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7653910149750416,0.02329450915141431,0.0,0.0,0.96,0.04,21.070704132534114,22.818536919844988,0.08652246256239601,0.0
current_dropout_2s,2027,59028,0.40766818720463327,0.40766818720463327,0.40766818720463327,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.665561065009875,22.781259421447402,0.0,0.0
current_dropout_2s,2027,59029,0.29701866298449997,6.573197794915715,7.660509890948856,6.276179131931215,7.3634912279643565,22.130588458203178,25.791341910890708,0.6655574043261231,0.33444259567387685,0.0,0.6655574043261231,0.0,0.005,0.0,0.995,0.0,18.550285954256502,10.123097596701843,0.6655574043261231,0.995
current_dropout_2s,2027,59030,0.2928007221598719,6.9138764175887335,0.29313202478492856,6.621075695428861,0.00033130262505665087,23.612907668355042,1.0011314952456838,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7437603993344426,0.028286189683860232,0.0,0.0,0.95,0.05,21.04471102233043,22.537740701425825,0.0033277870216306157,0.0
current_dropout_2s,2028,59026,0.32473530301805514,0.32473530301805514,0.32473530301805514,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.58851070640104,21.85680273148825,0.0,0.0
current_dropout_2s,2028,59027,0.38112870882474514,0.3811287088247316,0.3811287088247584,-1.354472090042691e-14,1.326716514427062e-14,0.9999999999999645,1.0000000000000349,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,17.98911377812802,22.78581076641767,0.0033277870216306157,0.0
current_dropout_2s,2028,59028,0.179214778216352,0.179214778216352,0.179214778216352,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.026025439143822,21.65435979539833,0.0,0.0
current_dropout_2s,2028,59029,0.38257232775519545,5.566491189361707,6.7770057261362,5.183918861606512,6.394433398381005,14.550166819497864,17.714312391336218,0.6655574043261231,0.33444259567387685,0.0,0.6655574043261231,0.0,0.005,0.0,0.995,0.0,17.446254980431267,12.223335582883292,0.6655574043261231,0.995
current_dropout_2s,2028,59030,0.3187258925926464,0.2737631569731432,0.2753180310435359,-0.0449627356195032,-0.04340786154911047,0.858929767977876,0.863808173236215,0.0033277870216306157,0.9966722129783694,0.0033277870216306157,0.0,0.0,1.0,0.0,0.0,0.0,17.70309555396358,22.595846701752954,0.0033277870216306157,0.0
speed_bias_5_plus_current_bias_5,2026,59026,2.9167464419649014,4.310751519922891,4.210949863219539,1.3940050779579898,1.2942034212546374,1.4779315259981602,1.4437147510096153,0.6672212978369384,0.33277870216306155,0.0066555740432612314,0.6605657237936772,0.0,0.0,0.02,0.98,0.0,5.551953326194981,4.4846142180997015,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2026,59027,2.8721068631341606,4.143709261224622,4.222113659899449,1.2716023980904612,1.3500067967652885,1.4427420213406812,1.4700405873102178,0.670549084858569,0.32945091514143093,0.008319467554076539,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,5.622337143244262,4.484614218117963,0.670549084858569,1.0
speed_bias_5_plus_current_bias_5,2026,59028,3.0105549998719465,4.4839207418961,4.1896621746538605,1.473365742024153,1.179107174781914,1.4894000415494228,1.3916577424534902,0.6672212978369384,0.33277870216306155,0.0066555740432612314,0.6605657237936772,0.0,0.0,0.02,0.98,0.0,5.527689531153416,4.484614218112482,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2026,59029,2.8965774899278793,4.181721830162769,4.2161939563217325,1.2851443402348899,1.3196164663938532,1.4436768374758338,1.455577822786543,0.6672212978369384,0.33277870216306155,0.004991680532445923,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,5.696855434166556,4.484614218122484,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2026,59030,2.8015124287540205,4.465615205560539,4.204888767110562,1.6641027768065184,1.4033763383565416,1.5940015684837179,1.500935253384079,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,5.000191170985038,4.484614218104003,0.6722129783693843,1.0
speed_bias_5_plus_current_bias_5,2027,59026,2.8521908849976674,4.800407884125532,3.99714984176638,1.9482169991278644,1.1449589567687126,1.6830598223195212,1.4014313918437646,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,6.496061761879311,4.4846142181099165,0.6688851913477537,1.0
speed_bias_5_plus_current_bias_5,2027,59027,2.819838072864789,4.818826041772027,3.996277879692471,1.998987968907238,1.1764398068276818,1.7089016877044945,1.417201192560851,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,6.478393665763165,4.484614218121268,0.6722129783693843,1.0
speed_bias_5_plus_current_bias_5,2027,59028,2.924605565919411,5.027751156690113,4.036302540988629,2.1031455907707017,1.111696975069218,1.7191211065446816,1.3801186006153732,0.6672212978369384,0.33277870216306155,0.004991680532445923,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,6.070103514672832,4.484614218098317,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2027,59029,2.8763586966812094,4.97402645558413,3.9915532515577037,2.0976677589029205,1.1151945548764943,1.7292789182806876,1.3877105300403683,0.6672212978369384,0.33277870216306155,0.004991680532445923,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,5.924299150552281,4.48461421810658,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2027,59030,2.82549362832851,4.796068492451333,4.0012913496947045,1.9705748641228231,1.1757977213661945,1.6974267591212249,1.416138868471548,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,6.236512071042907,4.484614218121968,0.670549084858569,1.0
speed_bias_5_plus_current_bias_5,2028,59026,2.8682533107188406,4.534154599769929,4.31589549890545,1.6659012890510883,1.447642188186609,1.5808068913667812,1.5047121126912606,0.6672212978369384,0.33277870216306155,0.0066555740432612314,0.6605657237936772,0.0,0.0,0.02,0.98,0.0,5.249880834295782,4.484614218111184,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2028,59027,2.7569348566613945,4.466902769360116,4.332005162817404,1.7099679126987217,1.5750703061560092,1.6202424074573407,1.5713121230812812,0.670549084858569,0.32945091514143093,0.008319467554076539,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,5.429108272605352,4.484614218117545,0.670549084858569,1.0
speed_bias_5_plus_current_bias_5,2028,59028,2.9095988490714317,4.5006771731157835,4.282608124905273,1.5910783240443518,1.3730092758338417,1.5468376936401826,1.47188954459204,0.6672212978369384,0.33277870216306155,0.0066555740432612314,0.6605657237936772,0.0,0.0,0.02,0.98,0.0,5.459338084230514,4.484614218112829,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2028,59029,2.8432846178755615,4.251086553264514,4.329210010293355,1.4078019353889526,1.4859253924177938,1.4951322588453457,1.522608740284342,0.6672212978369384,0.33277870216306155,0.004991680532445923,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,5.379098895980675,4.484614218114224,0.6672212978369384,1.0
speed_bias_5_plus_current_bias_5,2028,59030,2.7486247387057006,4.653779047301023,4.333455574569973,1.9051543085953222,1.5848308358642722,1.6931300158101756,1.5765904721539226,0.670549084858569,0.32945091514143093,0.008319467554076539,0.6622296173044925,0.0,0.0,0.015,0.985,0.0,5.524401767914372,4.484614218100098,0.670549084858569,1.0
