family,condition_label,training_seed,paired_count,mean_b_fault_window_rmse,mean_c3_fault_window_rmse,mean_c3_minus_b_fault_window_rmse,sample_sd_c3_minus_b_fault_window_rmse,favorable_pair_count,mean_effect_favorable,c3_detection_probability,c3_mean_sub_fraction,c3_mean_frac_phys,c3_mean_frac_main,c3_mean_frac_aux,c3_mean_frac_fb,c3_mean_event_frac_phys,c3_mean_event_frac_main,c3_mean_event_frac_aux,c3_mean_event_frac_fb
bias,bias_10pct,2026,5,5.488017574514015,1.0144385389073078,-4.473579035606707,1.365146215411237,5,True,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
bias,bias_10pct,2027,5,5.593138744523251,1.0357690972924423,-4.557369647230809,0.4593565094683785,5,True,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
bias,bias_10pct,2028,5,5.376438361453106,0.7646682768631292,-4.611770084589976,0.13857705550226565,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
bias,bias_15pct,2026,5,7.9214514547786,1.0144385389073078,-6.907012915871292,1.415962086430219,5,True,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
bias,bias_15pct,2027,5,8.08926013530851,1.0357690972924423,-7.053491038016068,0.4663510920625692,5,True,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
bias,bias_15pct,2028,5,7.806708132668187,0.7646682768631292,-7.042039855805058,0.12492090060428136,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
bias,bias_2.5pct,2026,5,1.5502784925933644,1.0865656898982878,-0.4637128026950764,1.3251159799312993,4,True,0.8,0.7178036605657238,0.2821963394342762,0.5690515806988352,0.14875207986688851,0.0,0.001,0.799,0.2,0.0
bias,bias_2.5pct,2027,5,1.4667271814978442,1.0770519835572239,-0.38967519794062044,0.40741295674874556,4,True,0.4,0.8029950083194676,0.19700499168053243,0.319134775374376,0.48386023294509145,0.0,0.001,0.399,0.6,0.0
bias,bias_2.5pct,2028,5,1.488031514055876,0.7681358073904623,-0.7198957066654138,0.10713936684845013,5,True,1.0,0.6682196339434275,0.33178036605657235,0.6682196339434275,0.0,0.0,0.001,0.999,0.0,0.0
bias,bias_5pct,2026,5,2.8994996447305814,1.0144385389073078,-1.8850611058232736,1.3289497964525636,4,True,0.8,0.7181364392678868,0.2818635607321131,0.5693843594009983,0.14875207986688851,0.0,0.0,0.8,0.2,0.0
bias,bias_5pct,2027,5,2.8596973697583175,1.0357690972924423,-1.823928272465875,0.46735167633752656,5,True,0.4,0.8033277870216307,0.19667221297836937,0.3194675540765391,0.48386023294509145,0.0,0.0,0.4,0.6,0.0
bias,bias_5pct,2028,5,2.8253392746065855,0.7646682768631292,-2.0606709977434567,0.11710653991120024,5,True,1.0,0.6685524126455906,0.33144758735440927,0.6685524126455906,0.0,0.0,0.0,1.0,0.0,0.0
combined_bias_load,combined_bias_15pct_load_0.15Nm,2026,5,9.812793966856571,4.203537813559221,-5.60925615329735,0.6811355607507413,5,True,0.8,0.5853577371048253,0.4146422628951747,0.10682196339434276,0.47853577371048256,0.0,0.0,0.14152823920265784,0.8584717607973422,0.0
combined_bias_load,combined_bias_15pct_load_0.15Nm,2027,5,10.181195465674417,2.8993160038607986,-7.2818794618136184,0.29492271744293147,5,True,0.2,0.7693843594009983,0.23061564059900164,0.1184692179700499,0.6509151414309484,0.0,0.0,0.0664451827242525,0.9335548172757475,0.0
combined_bias_load,combined_bias_15pct_load_0.15Nm,2028,5,9.832781261573501,3.8238170137512086,-6.008964247822294,0.06798990648033862,5,True,1.0,0.502495840266223,0.49750415973377704,0.10316139767054908,0.39933444259567386,0.0,0.0,0.20265780730897007,0.79734219269103,0.0
combined_bias_load,combined_bias_15pct_load_0.1Nm,2026,5,9.32998050513805,3.3367079833036697,-5.993272521834379,0.505135990021328,5,True,0.8,0.5853577371048253,0.4146422628951747,0.14875207986688851,0.43660565723793676,0.0,0.0,0.22524916943521597,0.7747508305647841,0.0
combined_bias_load,combined_bias_15pct_load_0.1Nm,2027,5,9.436590042116286,2.1335944646385725,-7.302995577477714,0.38474960027862215,5,True,0.2,0.7693843594009983,0.23061564059900164,0.1410981697171381,0.6282861896838602,0.0,0.0,0.11162790697674418,0.8883720930232558,0.0
combined_bias_load,combined_bias_15pct_load_0.1Nm,2028,5,9.309894926438156,2.9014776161242692,-6.408417310313885,0.08910950423141445,5,True,1.0,0.502495840266223,0.49750415973377704,0.1973377703826955,0.30515806988352745,0.0,0.0,0.3906976744186047,0.6093023255813954,0.0
combined_bias_load,combined_bias_5pct_load_0.15Nm,2026,5,4.230441758251381,4.203537813559221,-0.026903944692158798,0.7724012846194039,3,True,0.8,0.5853577371048253,0.4146422628951747,0.10682196339434276,0.47853577371048256,0.0,0.0,0.14152823920265784,0.8584717607973422,0.0
combined_bias_load,combined_bias_5pct_load_0.15Nm,2027,5,4.543012837704078,2.8993160038607986,-1.6436968338432791,0.26386867608726017,5,True,0.2,0.7693843594009983,0.23061564059900164,0.1184692179700499,0.6509151414309484,0.0,0.0,0.0664451827242525,0.9335548172757475,0.0
combined_bias_load,combined_bias_5pct_load_0.15Nm,2028,5,4.3165816081353,3.8238170137512086,-0.49276459438409165,0.22743832751981213,5,True,1.0,0.502495840266223,0.49750415973377704,0.10316139767054908,0.39933444259567386,0.0,0.0,0.20265780730897007,0.79734219269103,0.0
combined_bias_load,combined_bias_5pct_load_0.1Nm,2026,5,3.6176981211778836,3.3367079833036697,-0.28099013787421445,0.5539004021412947,4,True,0.8,0.5853577371048253,0.4146422628951747,0.14875207986688851,0.43660565723793676,0.0,0.0,0.22524916943521597,0.7747508305647841,0.0
combined_bias_load,combined_bias_5pct_load_0.1Nm,2027,5,3.8769665589005045,2.1335944646385725,-1.7433720942619317,0.3923975952026151,5,True,0.2,0.7693843594009983,0.23061564059900164,0.1410981697171381,0.6282861896838602,0.0,0.0,0.11162790697674418,0.8883720930232558,0.0
combined_bias_load,combined_bias_5pct_load_0.1Nm,2028,5,3.6118975421189,2.9014776161242692,-0.7104199259946301,0.1197619336751123,5,True,1.0,0.502495840266223,0.49750415973377704,0.1973377703826955,0.30515806988352745,0.0,0.0,0.3906976744186047,0.6093023255813954,0.0
drift,drift_10pct,2026,5,3.5312119606001082,3.4433693455113046,-0.08784261508880356,0.19561838905283008,2,True,0.0,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7990024937655861,0.000997506234413965,0.2,0.0
drift,drift_10pct,2027,5,3.246326463077877,1.5859700757471864,-1.660356387330691,0.9476959803478415,4,True,0.2,0.6119800332778702,0.3880199667221298,0.1281198003327787,0.48386023294509145,0.0,0.286783042394015,0.11321695760598505,0.6,0.0
drift,drift_10pct,2028,5,3.458312007683337,3.4580209444566137,-0.0002910632267227875,0.0004171975560450458,2,True,0.0,0.0016638935108153076,0.9983361064891847,0.0016638935108153076,0.0,0.0,0.9995012468827931,0.0004987531172069825,0.0,0.0
drift,drift_15pct,2026,5,5.284169129928305,4.425946231668331,-0.8582228982599727,1.1756363236840333,2,True,0.2,0.24292845257903495,0.757071547420965,0.03594009983361065,0.2069883527454243,0.0,0.712219451371571,0.0004987531172069825,0.28728179551122196,0.0
drift,drift_15pct,2027,5,4.86650575744244,2.0639495648342705,-2.802556192608169,1.6459105664243288,4,True,0.2,0.6119800332778702,0.3880199667221298,0.1281198003327787,0.48386023294509145,0.0,0.286783042394015,0.11321695760598505,0.6,0.0
drift,drift_15pct,2028,5,5.2119441536087034,5.211192124331427,-0.0007520292772751347,0.001645252113850973,2,True,0.0,0.0016638935108153076,0.9983361064891847,0.0016638935108153076,0.0,0.0,0.9995012468827931,0.0004987531172069825,0.0,0.0
drift,drift_2.5pct,2026,5,0.9171468370790727,1.3505921298887067,0.433445292809634,0.9689072691842522,0,False,0.0,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7990024937655861,0.000997506234413965,0.2,0.0
drift,drift_2.5pct,2027,5,0.8434506611384514,0.8835234407864807,0.0400727796480292,0.33967484773351364,1,False,0.2,0.6139767054908486,0.3860232945091514,0.13011647254575706,0.48386023294509145,0.0,0.28379052369077307,0.11620947630922693,0.6,0.0
drift,drift_2.5pct,2028,5,0.8480301931423607,0.8469853458735457,-0.0010448472688149523,0.004131071841941556,1,True,0.0,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.999002493765586,0.000997506234413965,0.0,0.0
drift,drift_5pct,2026,5,1.782054415067389,2.0430985674452584,0.26104415237786943,0.585395864396657,1,False,0.0,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.7990024937655861,0.000997506234413965,0.2,0.0
drift,drift_5pct,2027,5,1.634080939817839,1.1108831878528083,-0.5231977519650307,0.3551777802489037,4,True,0.2,0.6139767054908486,0.3860232945091514,0.13011647254575706,0.48386023294509145,0.0,0.28379052369077307,0.11620947630922693,0.6,0.0
