family,condition_label,training_seed,simulation_seed,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,favorable_c3_minus_b,b_overall_rmse,c3_overall_rmse,c3_sensor_fault_detected,c3_detection_latency_s,c3_reliability_entries,c3_post_event_reliability_entries,c3_sub_fraction,c3_frac_phys,c3_frac_main,c3_frac_aux,c3_frac_fb,c3_event_frac_phys,c3_event_frac_main,c3_event_frac_aux,c3_event_frac_fb,c3_recovery_events,c3_recovery_latency_s,c3_recovered_after_event
bias,bias_15pct,2027,59028,15.0,,,,8.121779883152936,0.7021171564645521,-7.419662726688384,True,11.984694799704103,10.84242919138909,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2027,59029,15.0,,,,8.131068686755963,0.5017481714859833,-7.6293205152699795,True,11.98687208620792,10.823734336798125,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2027,59030,15.0,,,,8.06366466194262,1.5902289633332958,-6.473435698609325,True,11.952630885993557,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_15pct,2028,59026,15.0,,,,7.966115496397971,0.8761074641692915,-7.090008032228679,True,11.97723109832583,10.852147954612446,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2028,59027,15.0,,,,7.766560094711248,0.7933597285241265,-6.973200366187122,True,11.897728554172785,10.847302598894135,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2028,59028,15.0,,,,7.994790370493979,0.7900981517556777,-7.204692218738301,True,11.949400662741688,10.849628631581632,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2028,59029,15.0,,,,7.671875443120322,0.6035809111952525,-7.068294531925069,True,11.886560610779771,10.839880100113486,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_15pct,2028,59030,15.0,,,,7.63419925861742,0.7601951286712975,-6.8740041299461225,True,11.915153617006542,10.855046445770009,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_2.5pct,2026,59026,2.5,,,,1.6387021430334698,0.25646438691589335,-1.3822377561175765,True,10.857350061727946,10.814365654082673,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_2.5pct,2026,59027,2.5,,,,1.4933715370446579,0.4674412071610659,-1.025930329883592,True,10.845419310531842,10.81316138508455,True,0.020000000000000018,1,1,0.670549084858569,0.32945091514143093,0.670549084858569,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_2.5pct,2026,59028,2.5,,,,1.6122143533045117,0.2864128856114756,-1.325801467693036,True,10.854830551137455,10.813439649260706,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_2.5pct,2026,59029,2.5,,,,1.5540252750153722,1.171698905972146,-0.38232636904322614,True,10.848454153966117,10.833474624454688,True,0.020000000000000018,1,1,0.6655574043261231,0.33444259567387685,0.6655574043261231,0.0,0.0,0.005,0.995,0.0,0.0,0,,False
bias,bias_2.5pct,2026,59030,2.5,,,,1.4530791545688102,3.2508110638308585,1.7977319092620483,False,10.852180968929808,11.213940961846777,False,,1,0,0.9184692179700499,0.08153078202995008,0.17470881863560733,0.7437603993344426,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_2.5pct,2027,59026,2.5,,,,1.4482383186445222,1.204317657764339,-0.24392066088018316,True,10.863714573087499,11.113450435001903,False,,1,0,0.8585690515806988,0.14143094841930118,0.0,0.8585690515806988,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_2.5pct,2027,59027,2.5,,,,1.439204568874707,1.1804335374140416,-0.2587710314606655,True,10.866445449623884,11.114936978544394,False,,1,0,0.9234608985024958,0.07653910149750416,0.13477537437603992,0.7886855241264559,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_2.5pct,2027,59028,2.5,,,,1.5502165156336234,0.7021171564645521,-0.8480993591690713,True,10.875229500591884,10.84242919138909,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
bias,bias_2.5pct,2027,59029,2.5,,,,1.45354712906224,0.708162602809891,-0.745384526252349,True,10.855793950973531,10.827731007649426,True,0.020000000000000018,1,1,0.6655574043261231,0.33444259567387685,0.6655574043261231,0.0,0.0,0.005,0.995,0.0,0.0,0,,False
bias,bias_2.5pct,2027,59030,2.5,,,,1.442429375274129,1.5902289633332958,0.1477995880591667,False,10.85544717676681,11.305131336789039,False,,1,0,0.9001663893510815,0.09983361064891846,0.1281198003327787,0.7720465890183028,0.0,0.0,0.0,1.0,0.0,0,,False
bias,bias_2.5pct,2028,59026,2.5,,,,1.5128451077913956,0.8761074641692915,-0.636737643622104,True,10.851932602535836,10.852147954612446,True,0.020000000000000018,1,1,0.6672212978369384,0.33277870216306155,0.6672212978369384,0.0,0.0,0.0,1.0,0.0,0.0,0,,False
