scenario,point_estimate_mean_delta,bootstrap_mean_delta,bootstrap_sd_delta,ci95_low,ci95_high,prob_mean_delta_lt_zero,analysis_rng_seed,bootstrap_replicates,training_seed_clusters,simulation_seeds_per_cluster
combined_fault_load,-0.5685713039945433,-0.5644094204792025,0.4559564927831039,-1.5177761220387767,0.28611647545508617,0.88315,20260917,20000,3,5
sensor_bias_5,-1.6407318307923997,-1.6404745860790841,0.3031683512635591,-2.1916983471745284,-1.011004883268382,1.0,20260917,20000,3,5
sensor_dropout,-19.221775324780346,-19.220036441114942,0.3692186448427162,-19.957548480119918,-18.53274747483879,1.0,20260917,20000,3,5
load_disturbance,2.062684940812149,2.057500659974722,0.5751807108376649,0.951945584410755,3.2015463490415903,0.0,20260917,20000,3,5
parameter_variation,2.6906906348008404,2.6940669649170297,0.8703159881216621,0.9429569289128691,4.485359847794225,0.00045,20260917,20000,3,5
