current_case,controller,training_seed,run_count,mean_overall_rmse,mean_fault_window_rmse,mean_estimator_rmse_when_defined,mean_sub_fraction,mean_frac_phys,mean_frac_main,mean_frac_aux,mean_frac_fb,mean_event_frac_phys,mean_event_frac_main,mean_event_frac_aux,mean_event_frac_fb,mean_ekf_event_sub_fraction_when_defined,safety_failure_total,mean_c3_minus_b_fault_window_rmse,mean_ekf_minus_b_fault_window_rmse,mean_c3_to_b_rmse_ratio,mean_ekf_to_b_rmse_ratio
speed_bias_5_plus_current_bias_5,E_EKF_virtual_MPC,2026,5,11.121147534029518,4.208761684241028,4.484614218111327,0.6688851913477537,0.33111480865224624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,,,
speed_bias_5_plus_current_bias_5,E_EKF_virtual_MPC,2027,5,11.109203738446393,4.004514972739978,4.48461421811161,0.6692179700499168,0.33078202995008316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,,,
speed_bias_5_plus_current_bias_5,E_EKF_virtual_MPC,2028,5,11.141213930687343,4.318634874298292,4.484614218111176,0.6685524126455906,0.33144758735440927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,,,
current_bias_5,paired_effects,2026,5,,,,0.18502495840266223,0.8149750415973378,0.03627287853577371,0.14875207986688851,0.0,0.799,0.001,0.2,0.0,0.199,0,0.8290182908300363,0.7561097596512137,3.490033052443119,3.7062322416074283
current_bias_5,paired_effects,2027,5,,,,0.6692179700499168,0.33078202995008316,0.053244592346089845,0.615973377703827,0.0,0.202,0.002,0.796,0.0,0.199,0,3.6241127752728275,0.7335965903796874,12.624230775667291,3.4698243065659264
current_bias_5,paired_effects,2028,5,,,,0.0019966722129783694,0.9980033277870216,0.0019966722129783694,0.0,0.0,0.999,0.001,0.0,0.0,0.001,0,-0.008704108329675175,-0.00974695500819045,0.9725398993812464,0.9699768469846861
current_dropout_2s,paired_effects,2026,5,,,,0.3174708818635607,0.6825291181364392,0.035607321131447586,0.28186356073211316,0.0,0.601,0.0,0.399,0.0,0.199,0,0.7667492455586985,3.85146790041156,3.525896563621476,14.756028480613002
current_dropout_2s,paired_effects,2027,5,,,,0.6695507487520799,0.33044925124792013,0.052579034941763726,0.6019966722129784,0.014975041597337771,0.20099999999999998,0.0,0.773,0.026000000000000002,0.199,0,5.622621336197539,1.4728208199423574,18.93559856480245,5.9586383835495225
current_dropout_2s,paired_effects,2028,5,,,,0.13444259567387687,0.8655574043261233,0.0013311148086522463,0.13311148086522462,0.0,0.8009999999999999,0.0,0.199,0.0,0.199,0,1.027791225197399,1.2702051073663816,3.6818193174951412,4.315624112914493
speed_bias_5_plus_current_bias_5,paired_effects,2026,5,,,,0.7181364392678868,0.2818635607321131,0.04026622296173045,0.6778702163061563,0.0,0.0,0.014000000000000002,0.986,0.0,1.0,0,1.4176440670228023,1.309262039510447,1.4895503989695633,1.452385231388789
speed_bias_5_plus_current_bias_5,paired_effects,2027,5,,,,0.8033277870216307,0.19667221297836937,0.054575707154742095,0.7487520798668884,0.0,0.0,0.006,0.994,0.0,1.0,0,2.02371863636631,1.1448176029816604,1.7075576587941221,1.400520116706381
speed_bias_5_plus_current_bias_5,paired_effects,2028,5,,,,0.6685524126455906,0.33144758735440927,0.006988352745424292,0.6615640599001663,0.0,0.0,0.017,0.983,0.0,1.0,0,1.6559807539556872,1.4932955996917052,1.5872298534239653,1.5294225985605692
