scenario,paired_delta_count,grand_mean_delta,delta_min,delta_max,delta_range,ss_total_centered,ss_training_seed,ss_simulation_seed,ss_residual_interaction_unexplained,prop_training_seed,prop_simulation_seed,prop_residual_interaction_unexplained,training_seed_effect_range,simulation_seed_effect_range,residual_range,residual_max_abs,favorable_delta_count,unfavorable_delta_count,zero_delta_count,favorable_delta_fraction,favorable_training_seed_mean_count,favorable_simulation_seed_mean_count,training_seed_2026_mean_delta,training_seed_2026_effect,training_seed_2026_favorable_simulation_count,training_seed_2027_mean_delta,training_seed_2027_effect,training_seed_2027_favorable_simulation_count,training_seed_2028_mean_delta,training_seed_2028_effect,training_seed_2028_favorable_simulation_count,simulation_seed_49026_mean_delta,simulation_seed_49026_effect,simulation_seed_49026_favorable_training_count,simulation_seed_49027_mean_delta,simulation_seed_49027_effect,simulation_seed_49027_favorable_training_count,simulation_seed_49028_mean_delta,simulation_seed_49028_effect,simulation_seed_49028_favorable_training_count,simulation_seed_49029_mean_delta,simulation_seed_49029_effect,simulation_seed_49029_favorable_training_count,simulation_seed_49030_mean_delta,simulation_seed_49030_effect,simulation_seed_49030_favorable_training_count
combined_fault_load,15,-0.5685713039945433,-1.9174763257587104,1.3212639863116982,3.2387403120704086,11.894224223287859,8.792676616107736,1.455478688216371,1.6460689189637534,0.7392391845861152,0.12236852617648405,0.1383922892374009,1.8661117219767211,0.8252700605802096,1.2687470232303326,0.6691426300152198,11,4,0,0.7333333333333333,2,5,0.3107121294680472,0.8792834334625905,2,-1.5553995925086739,-0.9868282885141306,5,-0.461026448943003,0.10754485505154027,4,-0.5729306709414801,-0.004359366946936838,2,-0.15762384036600516,0.41094746362853807,1,-0.9828939009462148,-0.4143225969516715,3,-0.29584571271691634,0.2727255912776269,2,-0.8335623950020999,-0.2649910910075567,3
sensor_bias_5,15,-1.6407318307923997,-2.5720648956578382,0.14194947009881131,2.7140143657566496,13.134253866697545,1.794416839471389,7.284437236103659,4.055399791122493,0.13662114785379692,0.554613707792999,0.30876514435320385,0.7761456804155731,1.5938085593683153,1.8824306146896463,1.0175261806417657,13,2,0,0.8666666666666667,3,5,-1.4446326904230422,0.1960991403693575,3,-2.1268542411848648,-0.48612241039246507,5,-1.3507085607692917,0.290023270023108,5,-2.309117931741107,-0.6683861009487073,3,-0.7153093723727917,0.925422458419608,2,-2.0531754650555487,-0.412443634263149,3,-0.8764374931456612,0.7642943376467385,2,-2.249618891646889,-0.6088870608544894,3
sensor_dropout,15,-19.221775324780346,-20.80797722639008,-17.358249918969825,3.449727307420254,19.232620424579313,2.8230566573488005,11.01506732794695,5.39449643928355,0.1467848163706767,0.5727283690302378,0.28048681459908487,1.0364547635131771,2.029380595360198,1.901209953761306,0.965116019274312,15,0,0,1.0,3,5,-19.357156497930287,-0.13538117314994125,5,-18.635857356448785,0.585917968331561,5,-19.672312119961962,-0.45053679518161616,5,-20.0722200647278,-0.8504447399474557,3,-18.042839469367603,1.1789358554127425,3,-19.778306899737576,-0.5565315749572299,3,-18.32582975239399,0.8959455723863563,3,-19.889680437674752,-0.667905112894406,3
load_disturbance,15,2.062684940812149,0.0,4.380789020993868,4.380789020993868,31.513493568136276,10.526754118164272,17.12065702053552,3.866082429436486,0.3340395788046812,0.5432801978466282,0.12268022334869069,2.0054332340542196,2.8967229843576727,2.0054332340542196,1.12819543031729,0,12,3,0.0,0,0,2.9399227445490785,0.8772378037369295,0,0.934489510494859,-1.12819543031729,0,2.313642567392509,0.25095762658036014,0,0.0,-2.062684940812149,0,2.882761927741703,0.8200769869295539,0,2.2495615636438466,0.1868766228316976,0,2.8967229843576727,0.8340380435455237,0,2.284378228317523,0.22169328750537387,0
parameter_variation,15,2.6906906348008404,-0.43705294063488653,7.078463590568187,7.515516531203074,169.20916109926412,0.18057167904990212,108.5072858383851,60.521303581829116,0.001067150725627511,0.6412612953900934,0.3576715538842791,0.2681441850208044,6.963599826642335,8.97179339366678,4.512013435381988,1,8,6,0.06666666666666667,0,1,2.6802444607087077,-0.010446174092132665,0,2.5618416293365054,-0.12884900546433498,1,2.82998581435731,0.13929517955646942,0,0.0,-2.6906906348008404,0,6.817915513097373,4.127224878296532,0,2.1925930107026645,-0.4980976240981758,0,4.588628963749128,1.897938328948288,0,-0.14568431354496217,-2.8363749483458025,1
