family,condition_label,training_seed,run_count,false_entry_runs,false_entry_probability,false_entry_wilson95_low,false_entry_wilson95_high,total_post_event_reliability_entries,total_reliability_entries_all_times,mean_substitution_fraction,mean_entry_latency_from_load_step_s_when_entry,mean_post_event_reliability_active_duration_s_when_defined,mean_total_sub_duration_s,mean_source_switch_episode_duration_s,mean_c3_fault_window_rmse,mean_b_fault_window_rmse,mean_tracking_penalty_c3_minus_b,favorable_pair_count
load,load_0.06Nm,2026,5,0,0.0,0.0,0.43448246478317476,0,1,0.18502495840266223,,0.0,1.112,3.1199999999999997,0.8354046892462407,0.25951360259685297,0.5758910866493878,0
load,load_0.06Nm,2027,5,0,0.0,0.0,0.43448246478317476,0,4,0.6692179700499168,,0.0,4.022,2.7399999999999998,1.3127444025234865,0.4414592967740475,0.8712851057494391,0
load,load_0.06Nm,2028,5,0,0.0,0.0,0.43448246478317476,0,0,0.0019966722129783694,,0.0,0.012,3.1199999999999997,0.20081456300514589,0.20104509041061974,-0.00023052740547388484,1
load,load_0.06Nm,pooled,15,0,0.0,0.0,0.20388330103584862,0,5,0.28541320022185246,,0.0,1.7153333333333332,2.9933333333333336,0.7829878849249577,0.3006726632605067,0.48231522166445095,1
load,load_0.15Nm,2026,5,1,0.2,0.03622410863243014,0.6244653702374747,1,2,0.18835274542429284,0.08999999999999986,0.016000000000000014,1.1320000000000001,2.182857142857143,1.8392215352573384,0.9132185308259773,0.9260030044313611,1
load,load_0.15Nm,2027,5,1,0.2,0.03622410863243014,0.6244653702374747,1,5,0.7394342762063227,0.9100000000000001,0.418,4.444000000000001,1.72,2.8540081790668372,1.6438610857526288,1.2101470933142084,0
load,load_0.15Nm,2028,5,2,0.4,0.11762077423264783,0.769275718723987,2,2,0.1973377703826955,0.09999999999999987,1.1600000000000001,1.186,1.8780952380952378,1.915384560085824,0.8473857543240182,1.0679988057618057,0
load,load_0.15Nm,pooled,15,4,0.26666666666666666,0.10897453325692374,0.5195043405598057,4,9,0.37504159733777037,0.29999999999999993,0.5313333333333333,2.254,1.926984126984127,2.202871424803333,1.1348217903008748,1.0680496345024584,1
load,load_0.1Nm,2026,5,0,0.0,0.0,0.43448246478317476,0,1,0.18535773710482528,,0.0,1.114,3.051428571428571,1.2773877745640838,0.5262780857272082,0.7511096888368756,0
load,load_0.1Nm,2027,5,0,0.0,0.0,0.43448246478317476,0,4,0.6695507487520799,,0.0,4.024,1.8799999999999997,1.8217716326344173,0.9924398181660508,0.8293318144683667,0
load,load_0.1Nm,2028,5,0,0.0,0.0,0.43448246478317476,0,0,0.002329450915141431,,0.0,0.014000000000000002,3.051428571428571,0.4574151561531936,0.4570846672107168,0.0003304889424769031,1
load,load_0.1Nm,pooled,15,0,0.0,0.0,0.20388330103584862,0,5,0.2857459789240155,,0.0,1.7173333333333334,2.6609523809523807,1.185524854450565,0.6586008570346585,0.5269239974159065,1
load,load_0.2Nm,2026,5,4,0.8,0.37553462976252533,0.9637758913675698,5,6,0.5477537437603994,0.10750000000000004,1.754,3.2920000000000003,1.0628571428571427,5.352256952674869,1.4206347023644563,3.9316222503104137,0
load,load_0.2Nm,2027,5,1,0.2,0.03622410863243014,0.6244653702374747,1,5,0.7540765391014974,0.45999999999999996,0.508,4.532,1.8799999999999997,3.859116952037149,2.230078292151318,1.6290386598858309,0
load,load_0.2Nm,2028,5,5,1.0,0.5655175352168251,1.0,5,5,0.4851913477537438,0.11000000000000006,2.8899999999999997,2.9160000000000004,1.0247619047619048,5.071379358810337,1.380518482083718,3.6908608767266196,0
load,load_0.2Nm,pooled,15,10,0.6666666666666666,0.41713547738519774,0.8482367556028526,11,16,0.5956738768718802,0.14400000000000004,1.7173333333333332,3.5800000000000005,1.3225396825396822,4.760917754507451,1.6770771588664972,3.0838405956409547,0
