matrix,family,condition_id,current_case,training_seed,simulation_seed,controller,step,time_s,event,raw_main_residual,aux_residual,cusum_score
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2027,59029,C3_arbitration_MPC,202,2.02,entry,2.7478810392269395,5.657640042622404,7.672467142148296
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2027,59029,E_EKF_virtual_MPC,202,2.02,entry,6.311413330410893,5.557437529401181,14.697978073693587
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2027,59030,C3_arbitration_MPC,61,0.61,entry,0.12133364374157196,1.193423385892526,1.4594749964490177
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2027,59030,E_EKF_virtual_MPC,202,2.02,entry,6.479863022246846,5.914665319697317,15.236156765450172
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59026,C3_arbitration_MPC,202,2.02,entry,3.38736117859559,6.308230441189814,9.257499217844702
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59026,E_EKF_virtual_MPC,202,2.02,entry,4.953265377245906,6.102118344104568,11.744955431323275
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59027,C3_arbitration_MPC,202,2.02,entry,3.1902939047094847,6.911971582443034,9.53796206931156
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59027,E_EKF_virtual_MPC,202,2.02,entry,4.85458629936096,6.786496952105917,12.185158622364652
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59028,C3_arbitration_MPC,202,2.02,entry,3.3721088928525518,6.044224272469627,9.53368530234517
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59028,E_EKF_virtual_MPC,202,2.02,entry,4.9318228885596085,5.868839179399913,12.015549973354986
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59029,C3_arbitration_MPC,202,2.02,entry,2.9450504281970424,6.7054138801729835,8.536772164658975
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59029,E_EKF_virtual_MPC,202,2.02,entry,4.63250143826469,6.608770551043598,11.196464065402898
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59030,C3_arbitration_MPC,202,2.02,entry,3.3275389533957096,6.677273782663313,9.799416261069476
current_boundary,current_sensor,speed_bias_5_plus_current_bias_5,speed_bias_5_plus_current_bias_5,2028,59030,E_EKF_virtual_MPC,202,2.02,entry,4.949040970833444,6.5355627421523295,12.391180925845982
primary,bias,bias_pct_10,,2026,59026,C3_arbitration_MPC,202,2.02,entry,6.582457102836429,7.996310895989872,18.88261352199729
primary,bias,bias_pct_10,,2026,59027,C3_arbitration_MPC,202,2.02,entry,6.390531104911609,8.4036307384917,19.121999102105736
