run_number,controller,scenario,seed,sample_index,control_step,time_s,compute_ms,optimizer_success
2,B_plain_MPC,nominal_tracking,12026,335,67,3.35,117.16709999745945,True
2,B_plain_MPC,nominal_tracking,12026,340,68,3.4,97.5105000034091,True
2,B_plain_MPC,nominal_tracking,12026,345,69,3.45,80.26939999399474,True
2,B_plain_MPC,nominal_tracking,12026,350,70,3.5,88.317099995038,True
2,B_plain_MPC,nominal_tracking,12026,355,71,3.5500000000000003,79.80130000214558,True
2,B_plain_MPC,nominal_tracking,12026,360,72,3.6,44.02939999999944,True
2,B_plain_MPC,nominal_tracking,12026,365,73,3.65,19.52729999902658,True
2,B_plain_MPC,nominal_tracking,12026,370,74,3.7,83.68440000049304,True
2,B_plain_MPC,nominal_tracking,12026,375,75,3.75,82.21999999659602,True
2,B_plain_MPC,nominal_tracking,12026,380,76,3.8000000000000003,59.517900001083035,True
2,B_plain_MPC,nominal_tracking,12026,385,77,3.85,21.191699997871183,True
2,B_plain_MPC,nominal_tracking,12026,390,78,3.9,92.30229999957373,True
2,B_plain_MPC,nominal_tracking,12026,395,79,3.95,155.41890000167768,True
2,B_plain_MPC,nominal_tracking,12026,400,80,4.0,118.14890000096057,True
2,B_plain_MPC,nominal_tracking,12026,405,81,4.05,113.00630000187084,True
2,B_plain_MPC,nominal_tracking,12026,410,82,4.1,133.66429999587126,True
2,B_plain_MPC,nominal_tracking,12026,415,83,4.15,114.6939000027487,True
2,B_plain_MPC,nominal_tracking,12026,420,84,4.2,68.13539999711793,True
2,B_plain_MPC,nominal_tracking,12026,425,85,4.25,68.22749999992084,True
2,B_plain_MPC,nominal_tracking,12026,430,86,4.3,100.19399999873713,True
2,B_plain_MPC,nominal_tracking,12026,435,87,4.3500000000000005,77.66500000434462,True
2,B_plain_MPC,nominal_tracking,12026,440,88,4.4,81.94310000544647,True
2,B_plain_MPC,nominal_tracking,12026,445,89,4.45,125.97729999833973,True
2,B_plain_MPC,nominal_tracking,12026,450,90,4.5,99.65469999588095,True
2,B_plain_MPC,nominal_tracking,12026,455,91,4.55,80.62630000495119,True
2,B_plain_MPC,nominal_tracking,12026,460,92,4.6000000000000005,79.06550000188872,True
2,B_plain_MPC,nominal_tracking,12026,465,93,4.65,73.61189999937778,True
2,B_plain_MPC,nominal_tracking,12026,470,94,4.7,109.09959999844432,True
2,B_plain_MPC,nominal_tracking,12026,475,95,4.75,89.34860000590561,True
2,B_plain_MPC,nominal_tracking,12026,480,96,4.8,97.49860000010813,True
2,B_plain_MPC,nominal_tracking,12026,485,97,4.8500000000000005,59.188700004597194,True
2,B_plain_MPC,nominal_tracking,12026,490,98,4.9,79.99620000191499,True
2,B_plain_MPC,nominal_tracking,12026,495,99,4.95,44.31930000282591,True
2,B_plain_MPC,nominal_tracking,12026,500,100,5.0,103.30270000122255,True
2,B_plain_MPC,nominal_tracking,12026,505,101,5.05,84.69129999866709,True
2,B_plain_MPC,nominal_tracking,12026,510,102,5.1000000000000005,39.826100000937004,True
2,B_plain_MPC,nominal_tracking,12026,515,103,5.15,20.549500004563015,True
2,B_plain_MPC,nominal_tracking,12026,520,104,5.2,21.11719999811612,True
2,B_plain_MPC,nominal_tracking,12026,525,105,5.25,64.8910000018077,True
2,B_plain_MPC,nominal_tracking,12026,530,106,5.3,122.56950000301003,True
2,B_plain_MPC,nominal_tracking,12026,535,107,5.3500000000000005,105.10330000397516,True
2,B_plain_MPC,nominal_tracking,12026,540,108,5.4,85.396700000274,True
2,B_plain_MPC,nominal_tracking,12026,545,109,5.45,101.92439999809721,True
2,B_plain_MPC,nominal_tracking,12026,550,110,5.5,87.0303999981843,True
2,B_plain_MPC,nominal_tracking,12026,555,111,5.55,97.20039999956498,True
2,B_plain_MPC,nominal_tracking,12026,560,112,5.6000000000000005,99.05969999817898,True
2,B_plain_MPC,nominal_tracking,12026,565,113,5.65,99.66400000121212,True
2,B_plain_MPC,nominal_tracking,12026,570,114,5.7,107.00409999844851,True
2,B_plain_MPC,nominal_tracking,12026,575,115,5.75,54.79609999747481,True
2,B_plain_MPC,nominal_tracking,12026,580,116,5.8,100.85000000253785,True
2,B_plain_MPC,nominal_tracking,12026,585,117,5.8500000000000005,95.65940000175033,True
2,B_plain_MPC,nominal_tracking,12026,590,118,5.9,78.61350000166567,True
2,B_plain_MPC,nominal_tracking,12026,595,119,5.95,91.42299999803072,True
2,B_plain_MPC,nominal_tracking,12026,600,120,6.0,85.15529999567661,True
3,C_sensor_MPC,nominal_tracking,12026,0,0,0.0,41.137100000923965,True
3,C_sensor_MPC,nominal_tracking,12026,5,1,0.05,47.140099995885976,True
3,C_sensor_MPC,nominal_tracking,12026,10,2,0.1,43.970799997623544,True
3,C_sensor_MPC,nominal_tracking,12026,15,3,0.15,44.43799999717157,True
3,C_sensor_MPC,nominal_tracking,12026,20,4,0.2,45.41819999576546,True
3,C_sensor_MPC,nominal_tracking,12026,25,5,0.25,20.959000001312234,True
3,C_sensor_MPC,nominal_tracking,12026,30,6,0.3,21.26710000447929,True
3,C_sensor_MPC,nominal_tracking,12026,35,7,0.35000000000000003,38.90230000251904,True
3,C_sensor_MPC,nominal_tracking,12026,40,8,0.4,21.294799997122027,True
3,C_sensor_MPC,nominal_tracking,12026,45,9,0.45,22.045400000934023,True
3,C_sensor_MPC,nominal_tracking,12026,50,10,0.5,22.58389999769861,True
3,C_sensor_MPC,nominal_tracking,12026,55,11,0.55,22.092999999586027,True
3,C_sensor_MPC,nominal_tracking,12026,60,12,0.6,21.76809999946272,True
3,C_sensor_MPC,nominal_tracking,12026,65,13,0.65,19.483799995214213,True
3,C_sensor_MPC,nominal_tracking,12026,70,14,0.7000000000000001,22.354900000209454,True
3,C_sensor_MPC,nominal_tracking,12026,75,15,0.75,21.156900002097245,True
3,C_sensor_MPC,nominal_tracking,12026,80,16,0.8,29.813699999067467,True
3,C_sensor_MPC,nominal_tracking,12026,85,17,0.85,25.9994000007282,True
3,C_sensor_MPC,nominal_tracking,12026,90,18,0.9,20.740600004501175,True
3,C_sensor_MPC,nominal_tracking,12026,95,19,0.9500000000000001,20.937599998433143,True
3,C_sensor_MPC,nominal_tracking,12026,100,20,1.0,20.73779999773251,True
3,C_sensor_MPC,nominal_tracking,12026,105,21,1.05,81.74470000085421,True
3,C_sensor_MPC,nominal_tracking,12026,110,22,1.1,50.71150000003399,True
3,C_sensor_MPC,nominal_tracking,12026,115,23,1.1500000000000001,55.47659999865573,True
3,C_sensor_MPC,nominal_tracking,12026,120,24,1.2,39.225999993504956,True
3,C_sensor_MPC,nominal_tracking,12026,125,25,1.25,38.8567999980296,True
3,C_sensor_MPC,nominal_tracking,12026,130,26,1.3,37.64740000042366,True
3,C_sensor_MPC,nominal_tracking,12026,135,27,1.35,25.558899993484374,True
3,C_sensor_MPC,nominal_tracking,12026,140,28,1.4000000000000001,34.820100001525134,True
3,C_sensor_MPC,nominal_tracking,12026,145,29,1.45,29.975999997986946,True
3,C_sensor_MPC,nominal_tracking,12026,150,30,1.5,40.99700000369921,True
3,C_sensor_MPC,nominal_tracking,12026,155,31,1.55,113.23090000223601,True
3,C_sensor_MPC,nominal_tracking,12026,160,32,1.6,48.64619999716524,True
3,C_sensor_MPC,nominal_tracking,12026,165,33,1.6500000000000001,42.85149999486748,True
3,C_sensor_MPC,nominal_tracking,12026,170,34,1.7,66.8844000028912,True
3,C_sensor_MPC,nominal_tracking,12026,175,35,1.75,87.03959999547806,True
3,C_sensor_MPC,nominal_tracking,12026,180,36,1.8,88.69009999762056,True
3,C_sensor_MPC,nominal_tracking,12026,185,37,1.85,86.82380000391277,True
3,C_sensor_MPC,nominal_tracking,12026,190,38,1.9000000000000001,90.21559999382589,True
3,C_sensor_MPC,nominal_tracking,12026,195,39,1.95,83.0054999969434,True
3,C_sensor_MPC,nominal_tracking,12026,200,40,2.0,77.7684999993653,True
3,C_sensor_MPC,nominal_tracking,12026,205,41,2.05,94.09740000410238,True
3,C_sensor_MPC,nominal_tracking,12026,210,42,2.1,110.18140000669518,True
3,C_sensor_MPC,nominal_tracking,12026,215,43,2.15,127.1171000043978,True
3,C_sensor_MPC,nominal_tracking,12026,220,44,2.2,64.52220000210218,True
3,C_sensor_MPC,nominal_tracking,12026,225,45,2.25,64.50629999744706,True
3,C_sensor_MPC,nominal_tracking,12026,230,46,2.3000000000000003,88.31370000552852,True
3,C_sensor_MPC,nominal_tracking,12026,235,47,2.35,59.445099999720696,True
3,C_sensor_MPC,nominal_tracking,12026,240,48,2.4,64.36889999895357,True
3,C_sensor_MPC,nominal_tracking,12026,245,49,2.45,88.43580000393558,True
3,C_sensor_MPC,nominal_tracking,12026,250,50,2.5,86.4034999976866,True
3,C_sensor_MPC,nominal_tracking,12026,255,51,2.5500000000000003,94.44290000101319,True
3,C_sensor_MPC,nominal_tracking,12026,260,52,2.6,96.70380000170553,True
3,C_sensor_MPC,nominal_tracking,12026,265,53,2.65,120.45419999776641,True
3,C_sensor_MPC,nominal_tracking,12026,270,54,2.7,103.07399999874178,True
3,C_sensor_MPC,nominal_tracking,12026,275,55,2.75,72.70920000155456,True
3,C_sensor_MPC,nominal_tracking,12026,280,56,2.8000000000000003,105.21080000034999,True
3,C_sensor_MPC,nominal_tracking,12026,285,57,2.85,72.39560000016354,True
3,C_sensor_MPC,nominal_tracking,12026,290,58,2.9,124.18020000040997,True
3,C_sensor_MPC,nominal_tracking,12026,295,59,2.95,92.58050000062212,True
3,C_sensor_MPC,nominal_tracking,12026,300,60,3.0,46.20259999501286,True
3,C_sensor_MPC,nominal_tracking,12026,305,61,3.0500000000000003,109.59090000687866,True
3,C_sensor_MPC,nominal_tracking,12026,310,62,3.1,146.1520999946515,True
3,C_sensor_MPC,nominal_tracking,12026,315,63,3.15,125.20199999562465,True
3,C_sensor_MPC,nominal_tracking,12026,320,64,3.2,60.422999995353166,True
3,C_sensor_MPC,nominal_tracking,12026,325,65,3.25,25.38030000141589,True
3,C_sensor_MPC,nominal_tracking,12026,330,66,3.3000000000000003,23.575299994263332,True
3,C_sensor_MPC,nominal_tracking,12026,335,67,3.35,92.45540000119945,True
3,C_sensor_MPC,nominal_tracking,12026,340,68,3.4,97.93290000379784,True
3,C_sensor_MPC,nominal_tracking,12026,345,69,3.45,81.35480000055395,True
3,C_sensor_MPC,nominal_tracking,12026,350,70,3.5,78.8821000023745,True
3,C_sensor_MPC,nominal_tracking,12026,355,71,3.5500000000000003,82.59779999934835,True
3,C_sensor_MPC,nominal_tracking,12026,360,72,3.6,42.71909999806667,True
3,C_sensor_MPC,nominal_tracking,12026,365,73,3.65,19.68289999786066,True
3,C_sensor_MPC,nominal_tracking,12026,370,74,3.7,84.31349999591475,True
3,C_sensor_MPC,nominal_tracking,12026,375,75,3.75,82.8756000046269,True
3,C_sensor_MPC,nominal_tracking,12026,380,76,3.8000000000000003,62.118800000462215,True
3,C_sensor_MPC,nominal_tracking,12026,385,77,3.85,20.138599997153506,True
3,C_sensor_MPC,nominal_tracking,12026,390,78,3.9,90.01800000260118,True
3,C_sensor_MPC,nominal_tracking,12026,395,79,3.95,102.75820000242675,True
3,C_sensor_MPC,nominal_tracking,12026,400,80,4.0,59.27220000012312,True
3,C_sensor_MPC,nominal_tracking,12026,405,81,4.05,96.11379999842029,True
3,C_sensor_MPC,nominal_tracking,12026,410,82,4.1,122.13850000262028,True
3,C_sensor_MPC,nominal_tracking,12026,415,83,4.15,76.3539999970817,True
3,C_sensor_MPC,nominal_tracking,12026,420,84,4.2,71.33919999614591,True
3,C_sensor_MPC,nominal_tracking,12026,425,85,4.25,63.011400001414586,True
3,C_sensor_MPC,nominal_tracking,12026,430,86,4.3,88.75450000050478,True
3,C_sensor_MPC,nominal_tracking,12026,435,87,4.3500000000000005,96.47210000548512,True
3,C_sensor_MPC,nominal_tracking,12026,440,88,4.4,135.6314999939059,True
3,C_sensor_MPC,nominal_tracking,12026,445,89,4.45,159.66450000269106,True
3,C_sensor_MPC,nominal_tracking,12026,450,90,4.5,138.31970000319416,True
3,C_sensor_MPC,nominal_tracking,12026,455,91,4.55,117.2279999955208,True
3,C_sensor_MPC,nominal_tracking,12026,460,92,4.6000000000000005,102.21050000109244,True
3,C_sensor_MPC,nominal_tracking,12026,465,93,4.65,80.56590000342112,True
3,C_sensor_MPC,nominal_tracking,12026,470,94,4.7,101.85199999978067,True
3,C_sensor_MPC,nominal_tracking,12026,475,95,4.75,80.35689999815077,True
3,C_sensor_MPC,nominal_tracking,12026,480,96,4.8,124.37589999899501,True
3,C_sensor_MPC,nominal_tracking,12026,485,97,4.8500000000000005,64.50430000404594,True
3,C_sensor_MPC,nominal_tracking,12026,490,98,4.9,91.32780000072671,True
3,C_sensor_MPC,nominal_tracking,12026,495,99,4.95,40.27169999608304,True
3,C_sensor_MPC,nominal_tracking,12026,500,100,5.0,83.38129999901867,True
3,C_sensor_MPC,nominal_tracking,12026,505,101,5.05,84.8519999999553,True
3,C_sensor_MPC,nominal_tracking,12026,510,102,5.1000000000000005,52.38420000387123,True
3,C_sensor_MPC,nominal_tracking,12026,515,103,5.15,26.0095999983605,True
3,C_sensor_MPC,nominal_tracking,12026,520,104,5.2,22.34590000443859,True
3,C_sensor_MPC,nominal_tracking,12026,525,105,5.25,81.8135000008624,True
3,C_sensor_MPC,nominal_tracking,12026,530,106,5.3,92.36539999983506,True
3,C_sensor_MPC,nominal_tracking,12026,535,107,5.3500000000000005,90.01790000183973,True
3,C_sensor_MPC,nominal_tracking,12026,540,108,5.4,96.65189999941504,True
3,C_sensor_MPC,nominal_tracking,12026,545,109,5.45,135.7127000010223,True
3,C_sensor_MPC,nominal_tracking,12026,550,110,5.5,126.33370000548894,True
3,C_sensor_MPC,nominal_tracking,12026,555,111,5.55,74.10949999757577,True
3,C_sensor_MPC,nominal_tracking,12026,560,112,5.6000000000000005,112.22680000355467,True
3,C_sensor_MPC,nominal_tracking,12026,565,113,5.65,104.83940000267467,True
3,C_sensor_MPC,nominal_tracking,12026,570,114,5.7,85.82559999922523,True
3,C_sensor_MPC,nominal_tracking,12026,575,115,5.75,53.76629999955185,True
3,C_sensor_MPC,nominal_tracking,12026,580,116,5.8,138.10540000122273,True
3,C_sensor_MPC,nominal_tracking,12026,585,117,5.8500000000000005,109.44790000212379,True
3,C_sensor_MPC,nominal_tracking,12026,590,118,5.9,62.271100003272295,True
3,C_sensor_MPC,nominal_tracking,12026,595,119,5.95,85.72429999912856,True
