training_seed,simulation_seed,b_fault_window_rmse,c3_fault_window_rmse,tracking_penalty_c3_minus_b,c3_false_reliability_entries,c3_substitution_fraction,c3_event_aux_fraction,c3_event_fallback_fraction
2026,49026,0.8520738875132681,0.8520738875132681,0.0,0,0.0,0.0,0.0
2026,49027,0.8822438852738081,5.263032906267676,4.380789020993868,1,0.8402662229617305,1.0,0.0
2026,49028,0.9448917538641097,4.028018332644485,3.0831265787803748,1,0.49417637271214643,0.770764119601329,0.0
2026,49029,0.9056631076344082,5.263032905562987,4.357369797928579,1,0.8336106489184693,1.0,0.0
2026,49030,0.9337713745703,3.8120996996128715,2.8783283250425713,1,0.4875207986688852,0.7375415282392026,0.0
2027,49026,1.6355124466870132,1.6355124466870132,0.0,0,0.0,0.0,0.0
2027,49027,1.5834830825862682,2.660287169538239,1.0768040869519706,1,0.8402662229617305,1.0,0.0
2027,49028,1.6961498389387737,2.660287169458334,0.9641373305195602,1,0.8169717138103162,1.0,0.0
2027,49029,1.6483316351403043,2.833164148272466,1.1848325131321615,1,0.16638935108153077,0.1461794019933555,0.0
2027,49030,1.6935087250026555,3.140182346873258,1.4466736218706024,2,0.49584026622296173,0.8172757475083057,0.0
2028,49026,0.7706955730977982,0.7706955730977982,0.0,0,0.0,0.0,0.0
2028,49027,0.8136206268815449,4.004313302160815,3.19069267527927,1,0.8402662229617305,1.0,0.0
2028,49028,0.8873802351730901,3.5888010168046955,2.7014207816316054,1,0.4908485856905158,0.7408637873754153,0.0
2028,49029,0.8563466603473372,4.0043133023596145,3.1479666420122774,1,0.8336106489184693,1.0,0.0
2028,49030,0.915788475472243,3.4439212135116373,2.5281327380393943,1,0.4825291181364393,0.7009966777408638,0.0
