training_seed,simulation_seed,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,c3_substitution_fraction,c3_aux_fraction,c3_fallback_fraction,c3_event_aux_fraction,c3_event_fallback_fraction
2026,49026,0.6583451498378654,0.6583451498378654,0.0,0.0,0.0,0.0,0.0,0.0
2026,49027,0.6435395583968976,7.348318860423733,6.704779302026836,0.8402662229617305,0.8402662229617305,0.0,1.0,0.0
2026,49028,0.6988704948925298,0.7003151595968697,0.0014446647043399041,0.0033277870216306157,0.0,0.0016638935108153079,0.0,0.0033222591362126247
2026,49029,0.6533205228335183,7.34831885964588,6.694998336812361,0.8336106489184693,0.8336106489184693,0.0,1.0,0.0
2026,49030,0.699449250175084,0.699449250175084,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0
2027,49026,1.2634152963744398,1.2634152963744398,0.0,0.0,0.0,0.0,0.0,0.0
2027,49027,1.2166854965414453,7.887189143238542,6.670503646697097,0.8402662229617305,0.8402662229617305,0.0,1.0,0.0
2027,49028,1.3114317025239155,7.887189143144233,6.575757440620317,0.8169717138103162,0.8169717138103162,0.0,1.0,0.0
2027,49029,1.2664517810914302,1.2664517810914302,0.0,0.0,0.0,0.0,0.0,0.0
2027,49030,1.308315708450141,0.8712627678152544,-0.43705294063488653,0.3843594009983361,0.0,0.37437603993344426,0.0,0.7475083056478405
2028,49026,0.5599329514419676,0.5599329514419676,0.0,0.0,0.0,0.0,0.0,0.0
2028,49027,0.5525522273971499,7.631015817965337,7.078463590568187,0.8402662229617305,0.8402662229617305,0.0,1.0,0.0
2028,49028,0.6063289103730856,0.6069058371564223,0.000576926783336762,0.0016638935108153079,0.0,0.0,0.0,0.0
2028,49029,0.5601272637446053,7.6310158181796295,7.070888554435024,0.8336106489184693,0.8336106489184693,0.0,1.0,0.0
2028,49030,0.6203688595561672,0.6203688595561672,0.0,0.0016638935108153079,0.0,0.0,0.0,0.0
