training_seed,split,run_id,rmse,mae,has_load_change,load_torque_range
2026,test,8,5.668191599837733,4.747309483841321,True,0.09000000357627869
2026,test,15,1.2582538403278498,0.9866103177822955,True,0.06000000238418579
2026,test,17,3.733063709991034,3.323719094141223,True,0.09000000357627869
2026,test,22,2.86031336108817,2.3102590113779495,True,0.09000000357627869
2026,test,25,1.1707948073347518,1.0205973552253438,True,0.09000000357627869
2026,test,28,3.7018488840475223,3.069739276371139,True,0.09000000357627869
2027,test,8,6.176602864198406,5.035462313441277,True,0.09000000357627869
2027,test,15,0.9719344313630883,0.8095017496455432,True,0.06000000238418579
2027,test,17,3.325201326949891,2.8795189753515453,True,0.09000000357627869
2027,test,22,2.0639919936068876,1.8110071636963507,True,0.09000000357627869
2027,test,25,1.1071547319782722,0.9315288641839387,True,0.09000000357627869
2027,test,28,2.9794531470702728,2.517403703337499,True,0.09000000357627869
2028,test,8,5.640258273519498,4.685281675009279,True,0.09000000357627869
2028,test,15,1.1195313853031497,0.9666729352415668,True,0.06000000238418579
2028,test,17,3.9324054689477865,3.490988314000355,True,0.09000000357627869
2028,test,22,2.8842455182505566,2.3872787166389995,True,0.09000000357627869
2028,test,25,0.8578717647220457,0.7112583810878345,True,0.09000000357627869
2028,test,28,3.582559817420215,3.0096844130910925,True,0.09000000357627869
