scenario,training_seed,paired_count,mean_c3_minus_b_fault_window_rmse,sample_sd_c3_minus_b_fault_window_rmse,min_c3_minus_b_fault_window_rmse,max_c3_minus_b_fault_window_rmse,favorable_pair_count,mean_effect_favorable
combined_fault_load,2026,5,0.3107121294680472,0.7664053593604266,-0.41028336803847143,1.3212639863116982,2,False
combined_fault_load,2027,5,-1.5553995925086739,0.28660812467494284,-1.9174763257587104,-1.3186706636073122,5,True
combined_fault_load,2028,5,-0.461026448943003,0.32536980469760673,-0.863358201037908,0.019459251485641982,4,True
load_disturbance,2026,5,2.9399227445490785,1.7855460460528578,0.0,4.380789020993868,0,False
load_disturbance,2027,5,0.934489510494859,0.5521338741746711,0.0,1.4466736218706024,0,False
load_disturbance,2028,5,2.313642567392509,1.3242576656024598,0.0,3.19069267527927,0,False
parameter_variation,2026,5,2.6802444607087077,3.669418157557997,0.0,6.704779302026836,0,False
parameter_variation,2027,5,2.5618416293365054,3.7118747763893762,-0.43705294063488653,6.670503646697097,1,False
parameter_variation,2028,5,2.82998581435731,3.874855272709105,0.0,7.078463590568187,0,False
sensor_bias_5,2026,5,-1.4446326904230422,1.4070699479886761,-2.5476723480556314,0.14194947009881131,3,True
sensor_bias_5,2027,5,-2.1268542411848648,0.41767188717113074,-2.5720648956578382,-1.6743934414001331,5,True
sensor_bias_5,2028,5,-1.3507085607692917,0.8250234014502795,-1.992484865685573,-0.391175865355903,5,True
sensor_dropout,2026,5,-19.357156497930287,1.7557124242066453,-20.80797722639008,-17.358249918969825,5,True
sensor_dropout,2027,5,-18.635857356448785,0.42268123967728616,-19.15274199007822,-18.19564375597126,5,True
sensor_dropout,2028,5,-19.672312119961962,0.9171725000886835,-20.399656349857768,-18.57462473316172,5,True
