training_seed,test_rmse,test_mae,test_r2,best_epoch,per_trajectory_rmse_mean,per_trajectory_rmse_sample_sd,per_trajectory_rmse_min,per_trajectory_rmse_max,per_trajectory_rmse_range,training_runtime_seconds,metrics_path
2026,3.437615490589571,2.5763724231232117,0.9441482670491327,17,3.0654110337711766,1.7042730257239773,1.1707948073347518,5.668191599837733,4.497396792502981,,results/metrics/v2_auxiliary_model_metrics.json
2027,3.2791014763052733,2.330737128276026,0.9491803371875401,23,2.770723082527803,1.9211246992910327,0.9719344313630883,6.176602864198406,5.204668432835318,36.91876020000018,results/training_seed_robustness/training/aux_seed2027_metrics.json
2028,3.425863095789247,2.541860739178188,0.9445295009392493,16,3.0028120380272085,1.806540721501588,0.8578717647220457,5.640258273519498,4.782386508797452,29.85476349999999,results/training_seed_robustness/training/aux_seed2028_metrics.json
