training_seed,scenario,simulation_seed,b_fault_window_rmse,c3_fault_window_rmse,c3_minus_b_fault_window_rmse,c3_improves
2026,combined_fault_load,49026,4.039615700789835,4.099155806050084,0.059540105260249554,False
2026,combined_fault_load,49027,3.941768919955978,5.263032906267676,1.3212639863116982,False
2026,combined_fault_load,49028,4.218133359087205,3.807849991048734,-0.41028336803847143,True
2026,combined_fault_load,49029,4.361334661395148,5.263032905562987,0.9016982441678394,False
2026,combined_fault_load,49030,4.311619605077916,3.9929612847168365,-0.31865832036107955,True
2027,combined_fault_load,49026,4.543739941220832,3.1554200051353365,-1.3883199360854959,True
2027,combined_fault_load,49027,4.4738819284335944,2.660287169538239,-1.8135947588953556,True
2027,combined_fault_load,49028,4.577763495217044,2.660287169458334,-1.9174763257587104,True
2027,combined_fault_load,49029,4.56642078253816,3.2274845043416645,-1.338936278196496,True
2027,combined_fault_load,49030,4.609576420652842,3.29090575704553,-1.3186706636073122,True
2028,combined_fault_load,49026,4.117253799520967,3.7272416175217726,-0.39001218199919396,True
2028,combined_fault_load,49027,3.9848540506751733,4.004313302160815,0.019459251485641982,False
2028,combined_fault_load,49028,4.333896577859956,3.712974568818493,-0.6209220090414624,True
2028,combined_fault_load,49029,4.454612406481707,4.0043133023596145,-0.4502991041220925,True
2028,combined_fault_load,49030,4.621873599609064,3.7585153985711557,-0.863358201037908,True
2026,sensor_bias_5,49026,2.8414809846404863,0.4786769507605762,-2.36280403387991,True
2026,sensor_bias_5,49027,2.9904952513980465,3.0375305792179934,0.047035327819946904,False
2026,sensor_bias_5,49028,2.9243048444590873,0.37663249640345603,-2.5476723480556314,True
2026,sensor_bias_5,49029,2.8955811081264877,3.037530578225299,0.14194947009881131,False
2026,sensor_bias_5,49030,2.940449686426099,0.4387778183276725,-2.501671868098427,True
2027,sensor_bias_5,49026,2.8442240650541852,0.27215916939634716,-2.5720648956578382,True
2027,sensor_bias_5,49027,2.891567291874159,1.2043156926072858,-1.687251599266873,True
2027,sensor_bias_5,49028,2.8787091339843904,1.2043156925842573,-1.6743934414001331,True
2027,sensor_bias_5,49029,2.8876572560328433,0.5075711718529514,-2.380086084179892,True
2027,sensor_bias_5,49030,2.8758056988489393,0.5553305134293495,-2.32047518541959,True
2028,sensor_bias_5,49026,2.7903458340592744,0.7978609683737015,-1.992484865685573,True
2028,sensor_bias_5,49027,2.853676341024326,2.347964495352877,-0.5057118456714491,True
2028,sensor_bias_5,49028,2.84379401941829,0.9063334137074082,-1.9374606057108819,True
2028,sensor_bias_5,49029,2.7391403608679736,2.3479644955120706,-0.391175865355903,True
2028,sensor_bias_5,49030,2.8070836552966325,0.8803740338739814,-1.9267096214226511,True
2026,sensor_dropout,49026,21.286654177150655,0.4786769507605762,-20.80797722639008,True
2026,sensor_dropout,49027,20.39578049818782,3.0375305792179934,-17.358249918969825,True
2026,sensor_dropout,49028,21.122524865004088,0.37663249640345603,-20.745892368600632,True
2026,sensor_dropout,49029,20.569430996263026,3.037530578225299,-17.53190041803773,True
2026,sensor_dropout,49030,20.780540375980838,0.4387778183276725,-20.341762557653166,True
2027,sensor_dropout,49026,19.424901159474565,0.27215916939634716,-19.15274199007822,True
2027,sensor_dropout,49027,19.399959448578546,1.2043156926072858,-18.19564375597126,True
2027,sensor_dropout,49028,19.43158860471596,1.2043156925842573,-18.227272912131703,True
2027,sensor_dropout,49029,19.183576890402374,0.5075711718529514,-18.676005718549423,True
2027,sensor_dropout,49030,19.482952918942665,0.5553305134293495,-18.927622405513315,True
2028,sensor_dropout,49026,21.053801946088807,0.7978609683737015,-20.255940977715106,True
2028,sensor_dropout,49027,20.922589228514596,2.347964495352877,-18.57462473316172,True
2028,sensor_dropout,49028,21.268088832187807,0.9063334137074082,-20.3617554184804,True
2028,sensor_dropout,49029,21.117547616106883,2.3479644955120706,-18.769583120594813,True
2028,sensor_dropout,49030,21.28003038373175,0.8803740338739814,-20.399656349857768,True
