metric,mean,sample_sd,min,max,range
rmse,0.17539206634880034,0.06874506071163226,0.13074701627446342,0.25455645975903485,0.12380944348457143
mae,0.14012456528432984,0.05383205665541506,0.10515349826362427,0.20211469043786937,0.09696119217424509
r2,0.99983971686121,0.00012658665529971928,0.9996937399770396,0.9999192047852672,0.0002254648082276045
h5_rmse,0.2659663268919199,0.10594269001749504,0.1988487043876974,0.38809867894589,0.18924997455819262
h10_rmse,0.43289782236276536,0.18139536433747044,0.3200905684639241,0.6421417934755496,0.3220512250116255
h15_rmse,0.6204212569427688,0.2512949927316197,0.46322268386528903,0.9102446657753129,0.4470219819100239
best_epoch,40.333333333333336,29.838453936712828,6.0,60.0,54.0
