controller,scenario,seed,sub_samples,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,corrupted_rmse,corrupted_mae
C1_sensor_MPC,sensor_bias_5,12026,401,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,2.326513283942887,1.7325611969986976
C2_aux_recovery_MPC,sensor_bias_5,12026,401,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,2.326513283942887,1.7325611969986976
C1_sensor_MPC,sensor_bias_5,12027,401,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,2.33171273126435,1.7305856346920954
C2_aux_recovery_MPC,sensor_bias_5,12027,401,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,2.33171273126435,1.7305856346920954
C1_sensor_MPC,sensor_bias_5,12028,401,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,2.304966255271526,1.7189132097883542
C2_aux_recovery_MPC,sensor_bias_5,12028,401,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,2.304966255271526,1.7189132097883542
C1_sensor_MPC,sensor_bias_5,12029,401,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,2.30611722827304,1.713962125572309
C2_aux_recovery_MPC,sensor_bias_5,12029,401,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,2.30611722827304,1.713962125572309
C1_sensor_MPC,sensor_bias_5,12030,401,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,2.3257884508151143,1.7246921039498542
C2_aux_recovery_MPC,sensor_bias_5,12030,401,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,2.3257884508151143,1.7246921039498542
C1_sensor_MPC,sensor_bias_15,12026,401,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,6.924265195149183,4.986145985028623
C2_aux_recovery_MPC,sensor_bias_15,12026,401,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,6.924265195149183,4.986145985028623
C1_sensor_MPC,sensor_bias_15,12027,401,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,6.930157386590114,4.984170422722021
C2_aux_recovery_MPC,sensor_bias_15,12027,401,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,6.930157386590114,4.984170422722021
C1_sensor_MPC,sensor_bias_15,12028,401,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,6.902757258349005,4.972497997818279
C2_aux_recovery_MPC,sensor_bias_15,12028,401,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,6.902757258349005,4.972497997818279
C1_sensor_MPC,sensor_bias_15,12029,401,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,6.904127970387414,4.967546913602234
C2_aux_recovery_MPC,sensor_bias_15,12029,401,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,6.904127970387414,4.967546913602234
C1_sensor_MPC,sensor_bias_15,12030,401,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,6.924997212845613,4.97827689197978
C2_aux_recovery_MPC,sensor_bias_15,12030,401,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,6.924997212845613,4.97827689197978
C1_sensor_MPC,sensor_dropout,12026,401,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,24.80415738112703,17.615831778828134
C2_aux_recovery_MPC,sensor_dropout,12026,401,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,24.80415738112703,17.615831778828134
C1_sensor_MPC,sensor_dropout,12027,401,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,24.72405131897285,17.552986763654438
C2_aux_recovery_MPC,sensor_dropout,12027,401,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,24.72405131897285,17.552986763654438
C1_sensor_MPC,sensor_dropout,12028,401,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,24.86445613482535,17.660052334860957
C2_aux_recovery_MPC,sensor_dropout,12028,401,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,24.86445613482535,17.660052334860957
C1_sensor_MPC,sensor_dropout,12029,401,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,24.671425100822308,17.517804204409327
C2_aux_recovery_MPC,sensor_dropout,12029,401,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,24.671425100822308,17.517804204409327
C1_sensor_MPC,sensor_dropout,12030,401,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,24.65711387699174,17.503363556749314
C2_aux_recovery_MPC,sensor_dropout,12030,401,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,24.65711387699174,17.503363556749314
C1_sensor_MPC,sensor_drift,12026,6,3.9466768545817046,3.9347033708588395,0.3999430708589508,0.3696797509280767,3.8119884243565307,3.80568392447608
C2_aux_recovery_MPC,sensor_drift,12026,6,3.9466768545817046,3.9347033708588395,0.3999430708589508,0.3696797509280767,3.8119884243565307,3.80568392447608
C1_sensor_MPC,sensor_drift,12027,1,0.11171489383134059,0.11171489383134059,0.3501142476832442,0.3501142476832442,1.1342953351744143,1.1342953351744143
C2_aux_recovery_MPC,sensor_drift,12027,1,0.11171489383134059,0.11171489383134059,0.3501142476832442,0.3501142476832442,1.1342953351744143,1.1342953351744143
C1_sensor_MPC,sensor_drift,12028,1,9.235850861927954,9.235850861927954,0.6123156262869891,0.6123156262869891,10.267442873731792,10.267442873731792
C2_aux_recovery_MPC,sensor_drift,12028,1,9.235850861927954,9.235850861927954,0.6123156262869891,0.6123156262869891,10.267442873731792,10.267442873731792
C1_sensor_MPC,sensor_drift,12029,1,0.09844738428375166,0.09844738428375166,0.14619945866146367,0.14619945866146367,1.1302867147095057,1.1302867147095057
C2_aux_recovery_MPC,sensor_drift,12029,1,0.09844738428375166,0.09844738428375166,0.14619945866146367,0.14619945866146367,1.1302867147095057,1.1302867147095057
C1_sensor_MPC,load_disturbance,12026,8,0.11248808335208406,0.04635079658379482,1.2489775275116435,1.2424590988949733,0.34308669799016905,0.2886094777207102
C2_aux_recovery_MPC,load_disturbance,12026,8,0.11248808335208406,0.04635079658379482,1.2489775275116435,1.2424590988949733,0.34308669799016905,0.2886094777207102
