controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,reliability_entries,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,event_frac_aux,event_frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,main_prediction_failures,aux_prediction_failures,prediction_failure_messages,nonfinite_events,mean_solve_ms,mean_aux_inference_ms,mean_reliability_update_ms,mean_arbitration_ms,mean_extension_ms,mean_control_compute_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples
B_plain_MPC,changing_reference,29026,7.2915186063261705,4.27664845115924,7.2915186063261705,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6570.902410543563,212.5306805800342,0,0,0,0,0,,0,104.86554545450943,0.0,0.0,0.0,0.0,104.89421983469929,13.377319600000192,,,,,,,,,0
B_plain_MPC,changing_reference,29027,7.219544335173738,4.305332009447271,7.219544335173738,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6790.290943511307,239.62633588138172,0,0,0,0,0,,0,102.7373834711112,0.0,0.0,0.0,0.0,102.76497438016204,13.146740899999713,,,,,,,,,0
B_plain_MPC,changing_reference,29028,7.143113845289295,4.191847513158165,7.143113845289295,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6573.2861408108765,203.3460356390861,0,0,0,0,0,,0,108.85981074376511,0.0,0.0,0.0,0.0,108.88841652894003,13.890360800000053,,,,,,,,,0
B_plain_MPC,changing_reference,29029,7.2378838860866095,4.215144463634484,7.2378838860866095,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6526.2801891539875,217.47114227689627,0,0,0,0,0,,0,115.15151818182422,0.0,0.0,0.0,0.0,115.18225867764181,14.637585700000272,,,,,,,,,0
B_plain_MPC,changing_reference,29030,7.208780397453929,4.194658012178815,7.208780397453929,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6522.129675784361,201.3046258796287,0,0,0,0,0,,0,112.59406115703854,0.0,0.0,0.0,0.0,112.6229768595535,14.347175099999731,,,,,,,,,0
B_plain_MPC,nominal_tracking,29026,10.811329474296945,4.512654187808936,10.811329474296945,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6219.407778950696,126.20362244613341,0,0,0,0,0,,0,129.28553057852787,0.0,0.0,0.0,0.0,129.3128462809762,16.356124799999634,,,,,,,,,0
B_plain_MPC,nominal_tracking,29027,10.807598174303612,4.495904093360168,10.807598174303612,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6253.509699024409,145.50050954505355,0,0,0,0,0,,0,139.06279917350466,0.0,0.0,0.0,0.0,139.09153966940437,17.53785760000028,,,,,,,,,0
B_plain_MPC,nominal_tracking,29028,10.802653675909623,4.45397441389357,10.802653675909623,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6158.903126581505,147.46935609413663,0,0,0,0,0,,0,138.8840561983535,0.0,0.0,0.0,0.0,138.91451487602316,17.52592800000002,,,,,,,,,0
B_plain_MPC,nominal_tracking,29029,10.806120072933057,4.47506710274521,10.806120072933057,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6198.470264028489,143.91522863644573,0,0,0,0,0,,0,129.33251735542828,0.0,0.0,0.0,0.0,129.36119421487814,16.342591300000095,,,,,,,,,0
B_plain_MPC,nominal_tracking,29030,10.811413897817946,4.495861899444797,10.811413897817946,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6218.490485971726,146.43070704622951,0,0,0,0,0,,0,124.23949999998317,0.0,0.0,0.0,0.0,124.26754214873444,15.745727700000316,,,,,,,,,0
B_plain_MPC,step_reference,29026,7.057128551380029,3.758298286143209,7.057128551380029,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7176.878117251418,158.0062677145993,0,0,0,0,0,,0,109.74615785124281,0.0,0.0,0.0,0.0,109.77336198345805,13.949445300000662,,,,,,,,,0
B_plain_MPC,step_reference,29027,7.064323053678946,3.811770240007132,7.064323053678946,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7232.00404926514,160.85288166953416,0,0,0,0,0,,0,115.60348677688705,0.0,0.0,0.0,0.0,115.6308991734973,14.665935600000012,,,,,,,,,0
B_plain_MPC,step_reference,29028,7.058992200752494,3.786616318891547,7.058992200752494,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7186.284366357698,171.10790043247243,0,0,0,0,0,,0,111.4443157024848,0.0,0.0,0.0,0.0,111.47454380164517,14.19560569999976,,,,,,,,,0
B_plain_MPC,step_reference,29029,7.144689492547141,3.8142449027460437,7.144689492547141,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7151.547367298581,166.14139112630872,0,0,0,0,0,,0,117.1698454545173,0.0,0.0,0.0,0.0,117.19831322311958,14.86492569999973,,,,,,,,,0
B_plain_MPC,step_reference,29030,7.053497338615194,3.738686132878958,7.053497338615194,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7153.933762198287,173.02949074692066,0,0,0,0,0,,0,112.9106520661518,0.0,0.0,0.0,0.0,112.93661900827445,14.323270299999422,,,,,,,,,0
C1_sensor_MPC,changing_reference,29026,7.2915186063261705,4.27664845115924,7.2915186063261705,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6570.902410543563,212.5306805800342,0,0,0,0,0,,0,100.60506776859286,0.0,0.0,0.0,0.0,100.63043471075443,12.858142600000065,,,,,,,,,0
C1_sensor_MPC,changing_reference,29027,7.219544335173738,4.305332009447271,7.219544335173738,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6790.290943511307,239.62633588138172,0,0,0,0,0,,0,99.95221570253224,0.0,0.0,0.0,0.0,99.97996942145484,12.859126199999992,,,,,,,,,0
C1_sensor_MPC,changing_reference,29028,7.132603131917474,4.186694110663772,7.132603131917474,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6576.922048088772,203.97664858625072,0,0,0,0,0,,0,105.86969256203228,0.0,0.0,0.0,0.0,105.89669421490778,13.554536200000257,0.33019302953123386,0.33019302953123386,,,0.33019302953123386,0.33019302953123386,0.6540265475567111,0.6540265475567111,1
C1_sensor_MPC,changing_reference,29029,7.237883886086923,4.215144463634693,7.237883886086923,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6526.280189152858,217.47114227685682,0,0,0,0,0,,0,112.06336859504518,0.0,0.0,0.0,0.0,112.09553966942953,14.322556899999654,0.22852580613670526,0.22852580613670526,,,0.22852580613670526,0.22852580613670526,0.7383098863676345,0.7383098863676345,1
C1_sensor_MPC,changing_reference,29030,7.208780397453929,4.194658012178815,7.208780397453929,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6522.129675784361,201.3046258796287,0,0,0,0,0,,0,107.42808595038267,0.0,0.0,0.0,0.0,107.45773388430092,13.737786800000322,,,,,,,,,0
C1_sensor_MPC,nominal_tracking,29026,10.811329474296945,4.512654187808936,10.811329474296945,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6219.407778950696,126.20362244613341,0,0,0,0,0,,0,125.66072809916906,0.0,0.0,0.0,0.0,125.68726611569835,15.937808799999402,,,,,,,,,0
C1_sensor_MPC,nominal_tracking,29027,10.807598174303612,4.495904093360168,10.807598174303612,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6253.509699024409,145.50050954505355,0,0,0,0,0,,0,134.52219090915665,0.0,0.0,0.0,0.0,134.54872561983055,17.06087149999985,,,,,,,,,0
C1_sensor_MPC,nominal_tracking,29028,10.802690026269044,4.454793896341924,10.802690026269044,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6162.115183686331,148.2374243985487,0,0,0,0,0,,0,136.79768760328983,0.0,0.0,0.0,0.0,136.82511570247644,17.298095099999955,0.35637591478327124,0.35637591478327124,,,0.35637591478327124,0.35637591478327124,0.6540265475567111,0.6540265475567111,1
C1_sensor_MPC,nominal_tracking,29029,10.806120072933057,4.47506710274521,10.806120072933057,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6198.470264028489,143.91522863644573,0,0,0,0,0,,0,136.5253553719435,0.0,0.0,0.0,0.0,136.55274876034,17.28621949999979,0.2348256105693025,0.2348256105693025,,,0.2348256105693025,0.2348256105693025,0.7383098863676345,0.7383098863676345,1
C1_sensor_MPC,nominal_tracking,29030,10.81144470232176,4.497901204756214,10.81144470232176,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6219.873055540203,146.35289493767496,0,0,0,0,0,,0,130.9423148760281,0.0,0.0,0.0,0.0,130.96841735535816,16.568966299999374,0.24103164843130997,0.24103164843130997,,,0.24103164843130997,0.24103164843130997,0.7103940496880767,0.7103940496880767,1
C1_sensor_MPC,step_reference,29026,7.057128551380029,3.758298286143209,7.057128551380029,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7176.878117251418,158.0062677145993,0,0,0,0,0,,0,118.55035867776212,0.0,0.0,0.0,0.0,118.57897355378006,15.068610999999692,,,,,,,,,0
C1_sensor_MPC,step_reference,29027,7.064323053678946,3.811770240007132,7.064323053678946,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7232.00404926514,160.85288166953416,0,0,0,0,0,,0,124.89876942152868,0.0,0.0,0.0,0.0,124.92565867771852,15.857501600000433,,,,,,,,,0
C1_sensor_MPC,step_reference,29028,7.058992200752494,3.786616318891547,7.058992200752494,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,7186.284366357698,171.10790043247243,0,0,0,0,0,,0,122.70624876037041,0.0,0.0,0.0,0.0,122.73380743801891,15.617894699999852,0.33799017889587546,0.33799017889587546,,,0.33799017889587546,0.33799017889587546,0.6540265475567111,0.6540265475567111,1
C1_sensor_MPC,step_reference,29029,7.144689492547509,3.8142449027466094,7.144689492547509,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,7151.5473672973785,166.14139112628266,0,0,0,0,0,,0,140.2173008264222,0.0,0.0,0.0,0.0,140.249190909036,17.83294660000047,0.22852580613670526,0.22852580613670526,,,0.22852580613670526,0.22852580613670526,0.7383098863676345,0.7383098863676345,1
C1_sensor_MPC,step_reference,29030,7.05351964104607,3.7392302477551222,7.05351964104607,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,7156.442640437559,172.26252427476098,0,0,0,0,0,,0,149.94895785118638,0.0,0.0,0.0,0.0,149.99971074381347,19.109694599999784,0.24160776353492253,0.24160776353492253,,,0.24160776353492253,0.24160776353492253,0.7103940496880767,0.7103940496880767,1
C2_aux_recovery_MPC,changing_reference,29026,7.2915186063261705,4.27664845115924,7.2915186063261705,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6570.902410543563,212.5306805800342,0,0,0,0,0,,0,130.74955950416685,0.0,0.0,0.0,0.0,130.78604462803503,17.21257240000068,,,,,,,,,0
C2_aux_recovery_MPC,changing_reference,29027,7.219544335173738,4.305332009447271,7.219544335173738,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6790.290943511307,239.62633588138172,0,0,0,0,0,,0,123.49793553720484,0.0,0.0,0.0,0.0,123.53509008265944,16.34488759999931,,,,,,,,,0
C2_aux_recovery_MPC,changing_reference,29028,7.132603131917474,4.186694110663772,7.132603131917474,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6576.922048088772,203.97664858625072,0,0,0,0,0,,0,147.00096611568745,0.0,0.0,0.0,0.0,147.04888016525774,19.444013199999972,0.33019302953123386,0.33019302953123386,1.0871991438486859,1.0871991438486859,0.33019302953123386,0.33019302953123386,0.6540265475567111,0.6540265475567111,1
C2_aux_recovery_MPC,changing_reference,29029,7.237883886086923,4.215144463634693,7.237883886086923,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6526.280189152858,217.47114227685682,0,0,0,0,0,,0,153.9040198347134,0.0,0.0,0.0,0.0,153.94249999999448,20.234028500000022,0.22852580613670526,0.22852580613670526,1.7016472588399711,1.7016472588399711,0.22852580613670526,0.22852580613670526,0.7383098863676345,0.7383098863676345,1
C2_aux_recovery_MPC,changing_reference,29030,7.208780397453929,4.194658012178815,7.208780397453929,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6522.129675784361,201.3046258796287,0,0,0,0,0,,0,148.52823801654517,0.0,0.0,0.0,0.0,148.5668404958601,19.551910399999542,,,,,,,,,0
C2_aux_recovery_MPC,nominal_tracking,29026,10.811329474296945,4.512654187808936,10.811329474296945,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6219.407778950696,126.20362244613341,0,0,0,0,0,,0,125.82637768598731,0.0,0.0,0.0,0.0,125.852351239693,16.272768099999666,,,,,,,,,0
C2_aux_recovery_MPC,nominal_tracking,29027,10.807598174303612,4.495904093360168,10.807598174303612,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6253.509699024409,145.50050954505355,0,0,0,0,0,,0,128.2187429752254,0.0,0.0,0.0,0.0,128.24532396695028,16.561563599999317,,,,,,,,,0
C2_aux_recovery_MPC,nominal_tracking,29028,10.802690026269044,4.454793896341924,10.802690026269044,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6162.115183686331,148.2374243985487,0,0,0,0,0,,0,132.79645454548708,0.0,0.0,0.0,0.0,132.82594628101134,17.14074729999993,0.35637591478327124,0.35637591478327124,0.0981442567299382,0.0981442567299382,0.35637591478327124,0.35637591478327124,0.6540265475567111,0.6540265475567111,1
C2_aux_recovery_MPC,nominal_tracking,29029,10.806120072933057,4.47506710274521,10.806120072933057,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6198.470264028489,143.91522863644573,0,0,0,0,0,,0,127.61515537192078,0.0,0.0,0.0,0.0,127.64256859502119,16.44373579999956,0.2348256105693025,0.2348256105693025,1.8296973794756948,1.8296973794756948,0.2348256105693025,0.2348256105693025,0.7383098863676345,0.7383098863676345,1
C2_aux_recovery_MPC,nominal_tracking,29030,10.81144470232176,4.497901204756214,10.81144470232176,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,6219.873055540203,146.35289493767496,0,0,0,0,0,,0,120.10643553718889,0.0,0.0,0.0,0.0,120.13354876034258,15.56596669999999,0.24103164843130997,0.24103164843130997,0.38858343380117333,0.38858343380117333,0.24103164843130997,0.24103164843130997,0.7103940496880767,0.7103940496880767,1
C2_aux_recovery_MPC,step_reference,29026,7.057128551380029,3.758298286143209,7.057128551380029,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7176.878117251418,158.0062677145993,0,0,0,0,0,,0,107.97780082642073,0.0,0.0,0.0,0.0,108.00437768602558,14.04417579999972,,,,,,,,,0
C2_aux_recovery_MPC,step_reference,29027,7.064323053678946,3.811770240007132,7.064323053678946,,0,0,0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7232.00404926514,160.85288166953416,0,0,0,0,0,,0,108.88330909092323,0.0,0.0,0.0,0.0,108.90793223137554,14.137469199999941,,,,,,,,,0
C2_aux_recovery_MPC,step_reference,29028,7.058992200752494,3.786616318891547,7.058992200752494,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,7186.284366357698,171.10790043247243,0,0,0,0,0,,0,107.45893305786825,0.0,0.0,0.0,0.0,107.4848619834957,14.008772000000135,0.33799017889587546,0.33799017889587546,0.06513507058899748,0.06513507058899748,0.33799017889587546,0.33799017889587546,0.6540265475567111,0.6540265475567111,1
C2_aux_recovery_MPC,step_reference,29029,7.144689492547509,3.8142449027466094,7.144689492547509,,0,0,0,0.01,0.0016638935108153079,2,2.0,0.9983361064891847,0.0016638935108153079,0.0,0.0,0.0,0.0,7151.5473672973785,166.14139112628266,0,0,0,0,0,,0,111.1683487603563,0.0,0.0,0.0,0.0,111.19433057849,14.450601900000038,0.22852580613670526,0.22852580613670526,1.7016472588399711,1.7016472588399711,0.22852580613670526,0.22852580613670526,0.7383098863676345,0.7383098863676345,1
