controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,reliability_entries,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,event_frac_aux,event_frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,main_prediction_failures,aux_prediction_failures,prediction_failure_messages,nonfinite_events,mean_solve_ms,mean_aux_inference_ms,mean_reliability_update_ms,mean_arbitration_ms,mean_extension_ms,mean_control_compute_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples,baseline_provenance,baseline_matrix_sha256,timing_samples,genuine_sensor_fault_entries,genuine_sensor_fault_entries_permitted,false_sensor_fault_entries,suppressed_entry_count,suppressed_candidate_samples,suppressed_false_entry_count,suppressed_false_entries,genuine_sensor_fault_suppressed,genuine_sensor_fault_entries_suppressed,suppression_episodes,attributor_suppression_episodes,c3_candidate_samples,c3_new_entry_candidate_samples,attribution_switches,mean_attribution_dwell_s,auxiliary_misuse_events,aux_selected_while_witness_unready_samples,aux_witness_ready_fraction,untrusted_aux_fraction,untrusted_aux_candidate_samples,mean_attribution_ms,median_attribution_ms,p95_attribution_ms,p99_attribution_ms,attr_frac_normal,attr_frac_likely_sensor_fault,attr_frac_likely_plant_or_main_mismatch,attr_frac_likely_aux_mismatch,attr_frac_ambiguous,detection_latency_s,detected_event,sensor_fault_detected,run_complete,completed_samples,event_sub_fraction,false_substitution_count,false_substitution_fraction,ekf_substitution_rmse,ekf_substitution_mae,ekf_substitution_bias,corrupted_sensor_substitution_rmse,corrupted_sensor_substitution_mae,corrupted_sensor_substitution_bias,ekf_speed_rmse_all_samples,ekf_speed_mae_all_samples,ekf_speed_bias_all_samples,ekf_speed_rmse_event_window,ekf_speed_mae_event_window,ekf_speed_bias_event_window,parameter_transfer_estimator_speed_rmse,ekf_numerical_failures,ekf_nonfinite_failures,ekf_psd_failures,ekf_symmetry_failures,ekf_finite_sample_rate,ekf_failure_step,ekf_failure_message,ekf_min_cov_eigenvalue,ekf_max_cov_asymmetry,innovation_mean,innovation_mae,nis_mean,nis_p95,mean_main_inference_ms,mean_ekf_update_ms,median_ekf_update_ms,p95_ekf_update_ms,p99_ekf_update_ms,max_ekf_update_ms,total_reliability_observer_overhead_sample_count,mean_total_reliability_observer_overhead_ms,median_total_reliability_observer_overhead_ms,p95_total_reliability_observer_overhead_ms,p99_total_reliability_observer_overhead_ms,max_total_reliability_observer_overhead_ms,slsqp_solve_count,mean_slsqp_solve_ms,median_slsqp_solve_ms,p95_slsqp_solve_ms,p99_slsqp_solve_ms,max_slsqp_solve_ms,observer_parameter_mode
C3_arbitration_MPC,combined_fault_load,19028,11.131262344075777,6.22942399314697,3.673491285459348,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2.0,2.0,0.49916805324459235,0.07154742096505824,0.4292845257903494,0.0,0.8571428571428571,0.0,8511.88192079431,233.79653771291663,0,0,0,0,0,,0,72.50602479343647,0.3848851979134597,0.009439242714691407,0.007098450963434494,0.4014228915915856,72.53250495870651,9.498128499999439,2.1599047586526816,1.8617261272725993,1.779071684652928,1.5592065151796302,2.0550626347777436,1.7678005388703872,3.2957739410584543,3.285724723773721,301,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_EKF_virtual_MPC,combined_fault_load,19028,11.173267111896385,6.467224709750942,3.919849330447711,,1,0.0,,3.0100000000000002,0.5008319467554077,,,,,,,,,7887.752336802662,117.43666901027439,0,0,0,0,0,,0,52.065936363617745,0.2577382100050449,0.009236833037669881,,,52.08816859530923,6.932365799999388,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,True,True,601.0,1.0,0.0,0.0,3.269786931400942,3.182305425165577,3.182305425165577,3.295773941058455,3.2857247237737215,3.2857247237737215,2.3247813711557352,1.7279726687172794,1.7279726687172794,3.269786931400942,3.182305425165577,3.182305425165577,,0.0,0.0,0.0,0.0,1.0,,,1.659539984417702e-08,0.0,0.003428866333786215,0.003428866333786215,0.1252558107590248,0.3564473137250848,0.5025531842379122,0.22400449248961135,0.2021000000240747,0.4155000024184119,0.5665999997290783,0.7941000003484078,601.0,0.4820951746989579,0.4455999987840187,0.8261999973910861,1.0332999954698607,1.4205000006768387,121.0,52.065936363617745,57.8949000009743,82.07540000148583,120.45003999955946,163.57300000163377,fixed_nominal
B_plain_MPC,combined_fault_load,19029,11.25626073971987,6.620068536849991,4.374870094773849,,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8105.080461631741,187.36810349636986,0,0,0,0,0,,0,88.84533553734873,0.0,0.0,0.0,0.0,88.86648595040798,11.251196600000185,,,,,,,,,0,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_sensor_MPC,combined_fault_load,19029,13.663209468062638,9.983662106367634,11.785584154947221,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,1.0,3.0,0.49916805324459235,0.5008319467554077,0.0,0.0,0.0,0.0,6235.06994098945,106.95588599352422,0,0,0,0,0,,0,39.24169173571936,0.0,0.0,0.0,0.0,39.26125537162245,5.113963200001308,11.792991421738371,10.903385440322497,,,11.792991421738371,10.903385440322497,3.2759657907437845,3.2662698655610485,301,rerun_v3_simulate_v3_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19029,11.141389215095307,6.228297910138132,3.741968951131834,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2.0,2.0,0.49916805324459235,0.07820299500831947,0.4226289517470882,0.0,0.8438538205980066,0.0,8468.463800333548,219.42008617538048,0,0,0,0,0,,0,73.6923619835489,0.394360413106612,0.009486402823297602,0.006792771134147038,0.4106395870640567,73.71948347104043,9.661417100000108,2.209174710420741,1.900324879620797,1.7698905007244763,1.5719882119902993,2.103038705125002,1.806446066280659,3.275965790743784,3.2662698655610485,301,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_EKF_virtual_MPC,combined_fault_load,19029,11.173383132774665,6.445510150103238,3.927828118262216,,1,0.0,,3.0100000000000002,0.5008319467554077,,,,,,,,,7845.015679237022,109.51061621948315,0,0,0,0,0,,0,56.50367685955057,0.2804249570090961,0.009907917381797656,,,56.53023057849837,7.513142700001481,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,True,True,601.0,1.0,0.0,0.0,3.2697869314062706,3.1823054251708056,3.1823054251708056,3.2759657907437845,3.2662698655610485,3.2662698655610485,2.324781371159481,1.7279726687196117,1.7279726687196117,3.2697869314062706,3.1823054251708056,3.1823054251708056,,0.0,0.0,0.0,0.0,1.0,,,1.6595399844177016e-08,0.0,0.0034288663337907863,0.0034288663337907863,0.125255810759429,0.3564473137259125,0.5303075731607821,0.2406702163998625,0.22050000188755803,0.39199999810080044,0.4904000015812926,0.9902999991027173,601.0,0.521341431077249,0.48990000505000353,0.7695999993302394,1.0657000020728447,1.3656000010087155,121.0,56.50367685955057,59.84149999858346,95.78549999787356,117.29883999869341,157.92119999969145,fixed_nominal
B_plain_MPC,combined_fault_load,19030,11.300274701647554,6.711626326509071,4.5986397783052055,,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8091.978415974243,178.61860623976503,0,0,0,0,0,,0,81.87480247931286,0.0,0.0,0.0,0.0,81.8953330578424,10.384298400000262,,,,,,,,,0,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_sensor_MPC,combined_fault_load,19030,13.509634137671554,9.757354831921838,11.427746666767119,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,1.0,3.0,0.49916805324459235,0.5008319467554077,0.0,0.0,0.0,0.0,6330.756694455958,117.1272844907491,0,0,0,0,0,,0,42.10574628092774,0.0,0.0,0.0,0.0,42.12182231393786,5.408566599999176,11.410468836431154,10.399269652560342,,,11.410468836431154,10.399269652560342,3.2833790165392673,3.2748887864092935,301,rerun_v3_simulate_v3_run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19030,11.193093648846114,6.3625092127551275,4.041506095528794,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2.0,2.0,0.49916805324459235,0.09816971713810316,0.40266222961730447,0.0,0.8039867109634552,0.0,8808.836009828718,222.79760462481315,0,0,0,0,0,,0,76.83758925611247,0.3881375215438286,0.009097418291723674,0.00661428570116709,0.40384922553671937,76.86509256189701,10.026475199998458,2.183296394205899,1.8178685356561186,1.617526275282042,1.3957853833998202,2.088252726867035,1.7343461674491671,3.2833790165392673,3.2748887864092935,301,verified_frozen_c4_development_runs,108f7875ec8af675a4aa2dce5bec833735ff499be6ead588d3accce32efe3a15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_EKF_virtual_MPC,combined_fault_load,19030,11.174205123861963,6.4557397815972575,3.935759718579236,,1,0.0,,3.0100000000000002,0.5008319467554077,,,,,,,,,7848.48316232952,109.06080507239484,0,0,0,0,0,,0,50.21395785108084,0.25252581753053904,0.009016695302073954,,,50.235948760184165,6.689280499998858,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,True,True,601.0,1.0,0.0,0.0,3.2697869313998233,3.1823054251644702,3.1823054251644702,3.2833790165392673,3.274888786409293,3.274888786409293,2.324781371154952,1.727972668716748,1.727972668716748,3.2697869313998233,3.1823054251644702,3.1823054251644702,,0.0,0.0,0.0,0.0,1.0,,,1.6595399844177022e-08,0.0,0.003428866333785167,0.003428866333785167,0.12525581075894054,0.35644731372487826,0.48435989668830853,0.21709267884838052,0.20149999909335747,0.3313999986858107,0.47650000124122016,0.7454999977198895,601.0,0.4699316138829033,0.4422999991220422,0.6599999978789128,0.7904999984020833,1.2024000025121495,121.0,50.21395785108084,54.76950000229408,74.95039999776054,80.91639999984181,81.53310000125202,fixed_nominal
