scenario,frac_phys_mean,frac_phys_std,frac_phys_median,frac_main_mean,frac_main_std,frac_main_median,frac_aux_mean,frac_aux_std,frac_aux_median,frac_fb_mean,frac_fb_std,frac_fb_median,event_frac_aux_mean,event_frac_aux_std,event_frac_aux_median,event_frac_fb_mean,event_frac_fb_std,event_frac_fb_median,switches_mean,switches_std,switches_median,avg_episode_duration_s_mean,avg_episode_duration_s_std,avg_episode_duration_s_median
combined_fault_load,0.49850249584026624,0.0009113520091600081,0.49916805324459235,0.08386023294509151,0.008929389594009143,0.08153078202995008,0.4176372712146422,0.0080660230572651,0.4193011647254576,0.0,0.0,0.0,0.8338870431893689,0.01610524869573532,0.8372093023255814,0.0,0.0,0.0,2.8,1.0954451150103321,2.0,1.6800000000000002,0.4381780460041329,2.0
load_disturbance,0.7281198003327787,0.2498019015749913,0.6123128119800333,0.07254575707154742,0.06499415971205055,0.10981697171381032,0.19933444259567387,0.18498949252498156,0.2778702163061564,0.0,0.0,0.0,0.39800664451827245,0.36936440201831866,0.5548172757475083,0.0,0.0,0.0,2.8,1.7888543819998317,2.0,1.7714285714285716,0.5111012519999519,2.0
parameter_variation,0.9990016638935109,0.0009113520091600017,0.9983361064891847,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.00033277870216306157,0.0007441157995007619,0.0,0.0,0.0,0.0,0.000664451827242525,0.0014857594534882323,0.0,1.2,1.0954451150103324,2.0,3.6,2.1908902300206647,2.0
sensor_bias_15,0.33211314475873543,0.0009113520091600081,0.33277870216306155,0.6678868552412645,0.0009113520091600145,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0954451150103321,1.0,2.4,0.8215838362577492,3.0
sensor_bias_5,0.33211314475873543,0.0009113520091600081,0.33277870216306155,0.6678868552412645,0.0009113520091600145,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0954451150103321,1.0,2.4,0.8215838362577492,3.0
sensor_drift,0.9990016638935109,0.0009113520091600145,0.9983361064891847,0.0009983361064891847,0.0009113520091600101,0.0016638935108153079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0954451150103321,2.0,3.6,2.1908902300206643,2.0
sensor_dropout,0.33211314475873543,0.0009113520091600081,0.33277870216306155,0.6678868552412645,0.0009113520091600145,0.6672212978369384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.0954451150103321,1.0,2.4,0.8215838362577492,3.0
sensor_noise,0.33444259567387685,0.002037845043912792,0.33444259567387685,0.6655574043261231,0.002037845043912792,0.6655574043261231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.8944271909999159,3.0,1.4,0.22360679774997896,1.5
