controller,scenario,repetitions,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,tail_oscillation,sensor_substitution_rate,substitution_fraction,recovery_events,false_recovery_events,sensor_recovery_latency_s,medium_mode_fraction,high_mode_fraction,safety_events,RMSE_std,MAE_std,IAE_std,ISE_std,max_abs_error_std,overshoot_percent_std,settling_time_s_std,recovery_time_s_std,fault_interval_RMSE_std,fault_interval_IAE_std,fault_interval_ISE_std,fault_interval_peak_error_std,control_effort_sum_u2_std,control_variation_sum_du2_std,constraint_violations_std,voltage_violations_std,rate_violations_std,nonfinite_events_std,optimizer_failures_std,average_solve_ms_std,p95_solve_ms_std,max_solve_ms_std,tail_oscillation_std,sensor_substitution_rate_std,substitution_fraction_std,recovery_events_std,false_recovery_events_std,sensor_recovery_latency_s_std,medium_mode_fraction_std,high_mode_fraction_std,safety_events_std
C_sensor_MPC,step_reference,5,7.067956164910792,3.7721436267165545,22.570075968323415,298.2387921576132,20.062866971588903,4.422432811131056,0.77,0.77,7.067956164910792,22.570075968323415,298.2387921576132,20.062866971588903,7181.214248364553,166.25196180806398,0.0,0.0,0.0,0.0,0.0,68.23501619829051,127.05037999985507,165.46764000086114,0.3528058273415667,0.0009983361064891847,0.0009983361064891847,0.0,0.0,,0.0,0.0,0.0,0.026108968577685295,0.031735019119154155,0.19043847335946534,2.223440921577171,1.7465300880055312e-13,0.6250089406768358,0.1341640786499875,0.1341640786499875,0.026108968577685295,0.19043847335946534,2.223440921577171,1.7465300880055312e-13,49.8366095520004,17.50870505307898,0.0,0.0,0.0,0.0,0.0,12.680610750314205,34.79670055048008,43.721601636049556,0.1657830301748753,0.0009113520091600102,0.0009113520091600102,0.0,0.0,,0.0,0.0,0.0
D_adaptive,bias_15,5,10.835513094530892,4.738512706749697,28.3016519622126,699.4988317532597,35.062866971591575,11.701433771727535,1.748,0.0,0.4318317375324952,0.6731066614298482,0.3926196204270512,1.225366349309138,6248.299186085819,98.02141166800602,0.0,0.0,0.0,0.0,0.0,48.27646909087746,106.550279998919,151.2524999998277,0.11211108266829087,0.6675540765391015,0.6675540765391015,0.0,0.0,,0.05291181364392679,0.004658901830282862,0.0,0.00862182610943548,0.046804749289807934,0.2812027354012775,1.1229688440919645,4.836690550471518e-12,0.8035271112551722,0.19740820651634527,0.0,0.13443607924848275,0.14996595631418008,0.2547096937514949,0.642733917669703,78.08341783795119,5.970118082160823,0.0,0.0,0.0,0.0,0.0,7.579433253324368,15.097727075996247,19.899953669454984,0.02513206445661193,0.0007441157995007628,0.0007441157995007628,0.0,0.0,,0.04221504752798508,0.005442737848185067,0.0
D_adaptive,bias_5,5,11.008585230440312,5.38475458936472,32.184876859292444,722.667292625627,35.06286697159043,17.27227811417864,1.86,0.0,1.3035130331130445,2.1636523600999853,6.5968658145952945,2.597444570351281,6805.2084726364,105.5716804905464,0.0,0.0,0.0,0.0,0.0,51.108905950283116,118.3136799998465,146.73867999954382,2.0830972501933767,0.7131447587354409,0.7131447587354409,0.0,0.0,,0.17936772046589017,0.1803660565723794,0.0,0.30535251764543625,1.1246724218199222,6.757858011747196,41.12433296972615,1.9820353677793495e-12,6.301367384882045,0.29017236257093815,0.0,1.4252848921219519,2.49011581407929,11.930474448835279,2.363889226218773,832.7774635461102,17.887206270045688,0.0,0.0,0.0,0.0,0.0,7.031273810378587,24.77081953178456,19.395076650089404,4.106285513799431,0.1017603862209215,0.1017603862209215,0.0,0.0,,0.3469694760486517,0.3655733461534816,0.0
D_adaptive,changing_reference,5,7.2165149326696865,4.290395526449154,25.684415977645237,310.99518268232384,20.10964565509197,36.25746135292409,0.8580000000000002,0.8580000000000002,7.2165149326696865,25.684415977645237,310.99518268232384,20.10964565509197,6685.301027084916,220.07677316445384,0.0,0.0,0.0,0.0,0.0,71.41644611570085,140.38672000024235,189.4532000005711,2.1274177337302747,0.00033277870216306157,0.00033277870216306157,0.0,0.0,,0.06921797004991681,0.013976705490848585,0.0,0.035499614345062436,0.08034885283695761,0.48256799962956387,3.0812118180053267,0.10460031621013288,1.3170862082871277,0.26602631448787156,0.26602631448787156,0.035499614345062436,0.48256799962956387,3.0812118180053267,0.10460031621013288,53.372369100585395,10.387446494807314,0.0,0.0,0.0,0.0,0.0,5.405307760455486,9.628454698915283,28.697837862456083,0.8919798358500676,0.000744115799500762,0.000744115799500762,0.0,0.0,,0.09619405720172353,0.00650835514662494,0.0
D_adaptive,combined_fault_load,5,13.646180701692018,10.021785951940053,59.97609092729988,1111.7787323866846,35.06286697159411,11.821915138148686,1.83,,11.715164332700763,32.44084322689813,411.84110080972005,15.968528771969485,6309.436895988047,105.15059950916563,0.0,0.0,0.0,0.0,0.0,54.32738958673228,119.04887999844505,147.02948000049219,1.9534260144795923,0.5011647254575707,0.5011647254575707,0.0,0.0,,0.22595673876871883,0.007653910149750416,0.0,0.038249615562466525,0.11195745843708423,0.6728216451179937,6.283345988409882,5.0709807755785885e-12,2.419889125427287,0.20988091861815342,,0.05948466359506691,0.19898134125386396,4.2079466936125085,0.017730842022200204,106.84831806320588,7.934074377057923,0.0,0.0,0.0,0.0,0.0,5.760470375524573,8.255107210303072,11.70118925575155,0.08271897495061421,0.0007441157995007628,0.0007441157995007628,0.0,0.0,,0.27195727365000605,0.010497045121855245,0.0
D_adaptive,load_disturbance,5,10.868343416155824,5.053588236446129,30.193268558174243,703.7821158578623,35.06286697159214,13.30192173082754,1.78,0.07199999999999998,0.8859740198285178,2.5121841799972335,2.3627575544642934,1.7712930469286234,8565.27548446077,149.64690687188596,0.0,0.0,0.0,0.0,0.0,80.12420909088644,138.2590800014441,165.76035999751184,0.4097827896788715,0.0006655574043261231,0.0006655574043261231,0.0,0.0,,0.1966722129783694,0.013643926788685524,0.0,0.02684944085265859,0.12364122246555044,0.7429443449927347,3.50766083240996,5.0211383617457955e-12,2.7358727063642747,0.22124646889837593,0.16099689437998482,0.03539004213236721,0.08569909401106035,0.19321486878782426,0.15304955528988853,121.71650081939697,14.25074787248539,0.0,0.0,0.0,0.0,0.0,6.599644813595252,8.23496211850983,8.566701587888414,0.1274697291927517,0.0009113520091600101,0.0009113520091600101,0.0,0.0,,0.08671743040224547,0.010615066827112532,0.0
D_adaptive,nominal_tracking,5,10.83227375248524,4.639589859305656,27.708356549483586,699.0774639615806,35.06286697159445,11.53704973248276,1.666,1.666,10.83227375248524,27.708356549483586,699.0774639615806,35.06286697159445,6382.663073559213,151.45034220997283,0.0,0.0,0.0,0.0,0.0,74.66664363641902,126.80817999644205,166.55983999953605,0.4879465617936546,0.0013311148086522463,0.0013311148086522463,0.0,0.0,,0.04459234608985025,0.005657237936772046,0.0,0.007348420962570723,0.036344540089497356,0.21806646245582822,0.9567503570098284,2.639714078712189e-12,1.1763678715303336,0.02880972058177584,0.02880972058177584,0.007348420962570723,0.21806646245582822,0.9567503570098284,2.639714078712189e-12,95.52419148708678,9.202253573466948,0.0,0.0,0.0,0.0,0.0,8.75362465167668,17.907117475912393,13.440005823774197,0.24812139527946642,0.0013921131889086116,0.0013921131889086116,0.0,0.0,,0.02354277025733643,0.005593256676862433,0.0
D_adaptive,parameter_variation,5,10.965406005716659,5.2959582225478865,31.64248831266525,716.7707058327444,35.0628669715912,13.037083864599367,1.778,0.0,1.528790618398879,4.043689576107099,15.94027846275867,2.3932026231342363,7689.824561887202,132.62986841732678,0.0,0.0,0.0,0.0,0.0,78.4338780166485,134.1076000011526,173.2668199983891,0.7067466758585155,0.0821963394342762,0.0821963394342762,0.0,0.0,,0.17038269550748752,0.014309484193011646,0.0,0.2600404590208981,0.8277311291822039,4.95748070480887,34.65986219250749,4.260896167212404e-12,1.9905199474776027,0.18673510650116118,0.0,1.9308982978486484,4.672089490115646,32.66161128234344,3.357568984066321,582.6337508166591,11.510042580939245,0.0,0.0,0.0,0.0,0.0,12.456893317952437,6.293949294246786,16.370251618975487,0.880018699452854,0.18286787706781024,0.18286787706781024,0.0,0.0,,0.12338418308030694,0.014293997733720152,0.0
D_adaptive,sensor_drift,5,11.595257153838293,7.440446263627704,44.497598237270154,801.5242588943561,35.0628669715898,11.44010512124917,1.7260000000000002,0.0060000000000000496,5.074222646175317,17.60336219325176,102.84733352172762,8.896761426470729,5460.718177435143,151.52943306896543,0.0,0.0,0.0,0.0,0.0,81.48933818197256,134.41195999912452,173.71171999984654,2.385842553784015,0.004658901830282862,0.004658901830282862,0.4,0.0,,0.12845257903494176,0.0029950083194675544,0.0,0.01166142937549527,0.0584756470797107,0.3515576391226534,1.6267921426384624,2.1884427889894388e-12,1.4780346689477801,0.17386776584519634,0.013416407864998849,0.021474937943827956,0.17411589044910888,0.8833541422699328,0.12628094799555378,102.1952387876788,12.526815463203215,0.0,0.0,0.0,0.0,0.0,5.038926763156663,11.530031593257085,23.244882154634162,0.2568417227545975,0.005691391473040622,0.005691391473040622,0.5477225575051661,0.0,,0.09519448731575231,0.004143061430279112,0.0
D_adaptive,sensor_dropout,5,10.865626854058121,4.897925384829378,29.259921670480942,703.4290563188254,35.062866971588775,13.55588789472275,2.084,0.0,0.8869921330461871,1.3425953142524052,1.8215978390046026,2.156400132202851,6484.682009152488,114.02098486491136,0.0,0.0,0.0,0.0,0.0,54.24325570250305,116.03867999801878,154.2704799983767,0.1936099799782866,0.6675540765391015,0.6675540765391015,0.0,0.0,,0.34309484193011647,0.01264559068219634,0.0,0.024525049967405194,0.1472146387525641,0.8850789585735656,3.20106184435708,0.0,2.2518652285863863,0.4086930388445587,0.0,0.4100787319622928,0.718797281441682,1.546964814062539,0.7994038160973299,204.49764654190284,14.832747014399995,0.0,0.0,0.0,0.0,0.0,11.77868928835202,11.799576767263211,23.565601468937814,0.07876617234553322,0.0007441157995007628,0.0007441157995007628,0.0,0.0,,0.41547624203456135,0.010162017627023274,0.0
