scenario,seed,start_step,end_step,start_time_s,end_time_s,duration_s,attribution_state,candidate_state,d_sm,d_sa,d_ma,filtered_d_sm,filtered_d_sa,filtered_d_ma,c3_requested_entry,c3_candidate_samples,c4_suppressed_entry,suppressed_candidate_samples,auxiliary_trusted_fraction,auxiliary_trust_reason,selected_source,selected_source_code,attribution_ms_mean
load_disturbance,19026,20,157,0.2,1.57,1.3800000000000001,AMBIGUOUS,AMBIGUOUS,0.22821870106534678,3.3658929292263955,3.3746010983739563,0.054827397703995646,1.2768480562123155,1.2556034192574903,False,0,False,0,0.057971014492753624,STARTUP_BLANKING,PHYSICAL,0,0.03563695653334118
load_disturbance,19026,158,212,1.58,2.12,0.55,NORMAL,NORMAL,0.1923759029969295,0.8039772098417799,0.8105323195149715,0.15742924815576825,0.8946293487681832,0.8944313691931002,False,0,False,0,1.0,READY,PHYSICAL,0,0.054518181687771256
load_disturbance,19026,213,219,2.13,2.19,0.07,AMBIGUOUS,NORMAL,0.22068832885650685,0.27020878020112754,0.1482735803949861,0.19457377856168895,0.737111969865753,0.7330754884336501,False,0,False,0,1.0,READY,PHYSICAL,0,0.04560000005377723
load_disturbance,19026,220,263,2.2,2.63,0.44,NORMAL,NORMAL,0.20635546269955832,0.35173659626886594,0.32479004206158346,0.1902224749873758,0.480846027466874,0.46307357565895496,False,0,False,0,1.0,READY,PHYSICAL,0,0.05524318182572394
load_disturbance,19026,264,269,2.64,2.69,0.06,AMBIGUOUS,NORMAL,0.19909688833268527,0.267685145524099,0.23776089627625532,0.23099338182815568,0.34440748378479324,0.3089678975226507,False,0,False,0,1.0,READY,PHYSICAL,0,0.050150000788562465
load_disturbance,19026,270,300,2.7,3.0,0.31,NORMAL,NORMAL,0.23118773311984667,0.25679416127258015,0.21089757784913407,0.21783984170377874,0.29666394703045457,0.251206321807783,False,0,False,0,1.0,READY,PHYSICAL,0,0.07666774188457508
load_disturbance,19026,301,315,3.0100000000000002,3.15,0.15,AMBIGUOUS,NORMAL,0.32406440210484677,0.9642262853839493,0.7771610683383144,0.28308824158497664,0.47599092425142114,0.3793298304587357,False,0,False,0,1.0,READY,PHYSICAL,0,0.08204666640570697
load_disturbance,19026,316,332,3.16,3.3200000000000003,0.17,NORMAL,NORMAL,0.24883133847793334,1.0717060340469715,1.0010108306289638,0.2606555547483714,0.8628562285971664,0.7659604285285457,False,0,False,0,1.0,READY,PHYSICAL,0,0.07769999993958182
load_disturbance,19026,333,345,3.33,3.45,0.13,AMBIGUOUS,NORMAL,0.22178578148764344,0.7308760266489844,0.7004489581250953,0.25923464726914947,0.7349052978591548,0.6698930753929655,False,0,False,0,1.0,READY,PHYSICAL,0,0.04469230757072532
load_disturbance,19026,346,393,3.46,3.93,0.48,NORMAL,NORMAL,0.20936861856816572,1.2445822242116213,1.1711276956972165,0.21706635287897771,1.1953735172906488,1.1175174064861548,False,0,False,0,1.0,READY,PHYSICAL,0,0.06338541694124918
