controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,detection_latency_s,recovery_latency_s,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,control_effort_u2,control_variation_du2,mean_solve_ms,p95_solve_ms,mean_aux_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples
C1_sensor_MPC,sensor_bias_5,12026,10.812634269210388,4.566067608855427,0.25198240846311604,0.020000000000000018,,0,0,4.01,0.6672212978369384,6108.609983006075,81.14199647831964,192.06870495867227,473.3180999999149,1.3804984509421114,25.766191899999967,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,2.326513283942887,1.7325611969986976,401
C2_aux_recovery_MPC,sensor_bias_5,12026,10.812634269210388,4.566067608855427,0.25198240846311604,0.020000000000000018,,0,0,4.01,0.6672212978369384,6108.609983006075,81.14199647831964,191.87213140496303,457.78619999987313,1.4073781411370905,25.772888899999998,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,2.326513283942887,1.7325611969986976,401
C1_sensor_MPC,sensor_bias_5,12027,10.810656565158586,4.575598479162928,0.21720760689484087,0.020000000000000018,,0,0,4.01,0.6672212978369384,6118.18282154939,86.33934113907841,182.91370661156614,451.27849999994396,1.3668660929416232,24.679068700000016,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,2.33171273126435,1.7305856346920954,401
C2_aux_recovery_MPC,sensor_bias_5,12027,10.810656565158586,4.575598479162928,0.21720760689484087,0.020000000000000018,,0,0,4.01,0.6672212978369384,6118.18282154939,86.33934113907841,189.77793636363722,415.16730000012103,1.358976592080881,25.434923000000026,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,2.33171273126435,1.7305856346920954,401
C1_sensor_MPC,sensor_bias_5,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,0.020000000000000018,,0,0,4.01,0.6672212978369384,6109.220106031935,78.81318324455921,176.44116198348155,405.1893000000746,1.3691149741857935,23.83395919999998,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,2.304966255271526,1.7189132097883542,401
C2_aux_recovery_MPC,sensor_bias_5,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,0.020000000000000018,,0,0,4.01,0.6672212978369384,6109.220106031935,78.81318324455921,178.10116859504888,417.2014999999192,1.3578977624783781,24.02549750000003,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,2.304966255271526,1.7189132097883542,401
C1_sensor_MPC,sensor_bias_5,12029,10.80908178246011,4.562269804608031,0.1766789847895723,0.020000000000000018,,0,0,4.01,0.6672212978369384,6074.508004056716,81.22692372213766,187.7943661157035,385.4154999999082,1.3687543889804532,25.207210999999916,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,2.30611722827304,1.713962125572309,401
C2_aux_recovery_MPC,sensor_bias_5,12029,10.80908178246011,4.562269804608031,0.1766789847895723,0.020000000000000018,,0,0,4.01,0.6672212978369384,6074.508004056716,81.22692372213766,185.73282727272107,394.4556999999804,1.4190623063648973,25.062942199999952,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,2.30611722827304,1.713962125572309,401
C1_sensor_MPC,sensor_bias_5,12030,10.803332013352339,4.51967927258613,0.18494706964949276,0.020000000000000018,,0,0,4.01,0.6672212978369384,5985.76862031602,72.41299746486735,176.83213223141092,386.0047000000577,1.380508261620368,23.944872600000053,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,2.3257884508151143,1.7246921039498542,401
C2_aux_recovery_MPC,sensor_bias_5,12030,10.803332013352339,4.51967927258613,0.18494706964949276,0.020000000000000018,,0,0,4.01,0.6672212978369384,5985.76862031602,72.41299746486735,176.14196942146225,380.9935999997833,1.4355104991376588,23.941937300000063,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,2.3257884508151143,1.7246921039498542,401
C1_sensor_MPC,sensor_bias_15,12026,10.812634269210388,4.566067608855427,0.25198240846311604,0.020000000000000018,,0,0,4.01,0.6672212978369384,6108.609983006075,81.14199647831964,205.47213801651648,508.6275000001024,1.5528466437159976,27.692886199999975,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,6.924265195149183,4.986145985028623,401
C2_aux_recovery_MPC,sensor_bias_15,12026,10.812634269210388,4.566067608855427,0.25198240846311604,0.020000000000000018,,0,0,4.01,0.6672212978369384,6108.609983006075,81.14199647831964,204.9995355371773,497.97019999982695,1.5546999999974254,27.647538799999893,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,6.924265195149183,4.986145985028623,401
C1_sensor_MPC,sensor_bias_15,12027,10.810656565158586,4.575598479162928,0.21720760689484087,0.020000000000000018,,0,0,4.01,0.6672212978369384,6118.18282154939,86.33934113907841,205.06361074380533,481.861600000002,1.5595092943190005,27.685685199999853,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,6.930157386590114,4.984170422722021,401
C2_aux_recovery_MPC,sensor_bias_15,12027,10.810656565158586,4.575598479162928,0.21720760689484087,0.020000000000000018,,0,0,4.01,0.6672212978369384,6118.18282154939,86.33934113907841,202.83396611571033,470.2236000000539,1.5457512908773872,27.37285309999993,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,6.930157386590114,4.984170422722021,401
C1_sensor_MPC,sensor_bias_15,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,0.020000000000000018,,0,0,4.01,0.6672212978369384,6109.220106031935,78.81318324455921,195.04519917354477,503.0693999999585,1.496392426849921,26.34244919999992,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,6.902757258349005,4.972497997818279,401
C2_aux_recovery_MPC,sensor_bias_15,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,0.020000000000000018,,0,0,4.01,0.6672212978369384,6109.220106031935,78.81318324455921,200.29371652892473,462.5018000001546,1.5575432013799608,27.05162059999998,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,6.902757258349005,4.972497997818279,401
C1_sensor_MPC,sensor_bias_15,12029,10.80908178246011,4.562269804608031,0.1766789847895723,0.020000000000000018,,0,0,4.01,0.6672212978369384,6074.508004056716,81.22692372213766,204.48745289256806,516.2809999999354,1.5879870912169325,27.609096200000067,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,6.904127970387414,4.967546913602234,401
C2_aux_recovery_MPC,sensor_bias_15,12029,10.80908178246011,4.562269804608031,0.1766789847895723,0.020000000000000018,,0,0,4.01,0.6672212978369384,6074.508004056716,81.22692372213766,201.43338512396306,478.1775999999809,1.5515025817658077,27.203960799999777,0.2566560131127232,0.22183117667674002,0.272683485367435,0.19847330060375012,6.904127970387414,4.967546913602234,401
C1_sensor_MPC,sensor_bias_15,12030,10.803332013352339,4.51967927258613,0.18494706964949276,0.020000000000000018,,0,0,4.01,0.6672212978369384,5985.76862031602,72.41299746486735,187.24705950412198,413.3408000000145,1.549857314977338,25.47261320000007,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,6.924997212845613,4.97827689197978,401
C2_aux_recovery_MPC,sensor_bias_15,12030,10.803332013352339,4.51967927258613,0.18494706964949276,0.020000000000000018,,0,0,4.01,0.6672212978369384,5985.76862031602,72.41299746486735,190.70122727272846,444.6173000001181,1.5298445783082726,25.89034259999994,0.2686730170014824,0.2382698262588038,0.19835588169371327,0.17850121276297237,6.924997212845613,4.97827689197978,401
C1_sensor_MPC,sensor_dropout,12026,10.812634269210388,4.566067608855427,0.25198240846311604,0.020000000000000018,,0,0,4.01,0.6672212978369384,6108.609983006075,81.14199647831964,241.82690082644018,527.0153000001301,1.8025672977657947,32.52995510000005,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,24.80415738112703,17.615831778828134,401
C2_aux_recovery_MPC,sensor_dropout,12026,10.812634269210388,4.566067608855427,0.25198240846311604,0.020000000000000018,,0,0,4.01,0.6672212978369384,6108.609983006075,81.14199647831964,241.28789090908575,547.499900000048,1.8200172117103368,32.54534459999991,0.246186590237674,0.22435983557546554,0.3135470731304607,0.22167726439801927,24.80415738112703,17.615831778828134,401
C1_sensor_MPC,sensor_dropout,12027,10.810656565158586,4.575598479162928,0.21720760689484087,0.020000000000000018,,0,0,4.01,0.6672212978369384,6118.18282154939,86.33934113907841,240.27256694214262,524.2481000000225,1.8043633390737523,32.34363250000001,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,24.72405131897285,17.552986763654438,401
C2_aux_recovery_MPC,sensor_dropout,12027,10.810656565158586,4.575598479162928,0.21720760689484087,0.020000000000000018,,0,0,4.01,0.6672212978369384,6118.18282154939,86.33934113907841,234.65931983471722,490.6846000001224,1.792227194490526,31.74483740000005,0.24266157344879957,0.21038944510755012,0.3327175780736638,0.22748590990725445,24.72405131897285,17.552986763654438,401
C1_sensor_MPC,sensor_dropout,12028,10.810148332762171,4.5704314445267045,0.2822067860580168,0.020000000000000018,,0,0,4.01,0.6672212978369384,6109.220106031935,78.81318324455921,226.95558264463065,489.64219999993475,1.6723039586877457,30.569308099999944,0.26646262367276136,0.24164209401913903,0.31912884111795337,0.23075584745038227,24.86445613482535,17.660052334860957,401
