main_virtual_rmse,main_virtual_mae,corrupted_rmse,corrupted_mae,sub_count,scenario,run_id,version,aux_rmse,aux_mae
7.787570868421112,7.105571117233975,1.471651440886814,0.8034388199521133,1027,sensor_bias_5,8,V1,,
7.787570868421112,7.105571117233975,1.471651440886814,0.8034388199521133,1027,sensor_bias_5,8,V2,6.029293041497073,5.215075076845164
5.0720565507056845,4.333681426681839,1.4850894422822425,0.8196929060853088,1001,sensor_bias_5,15,V1,,
5.0720565507056845,4.333681426681839,1.4850894422822425,0.8196929060853088,1001,sensor_bias_5,15,V2,1.141099993453165,0.9042880890014526
9.527467405977605,8.022211831290047,1.4820580848614604,0.8121438317008309,1001,sensor_bias_5,17,V1,,
9.527467405977605,8.022211831290047,1.4820580848614604,0.8121438317008309,1001,sensor_bias_5,17,V2,3.8403936939747125,3.442236415394298
5.3778026093828135,3.8680855200295814,1.4163353646990318,0.7571132874533413,1103,sensor_bias_5,22,V1,,
5.3778026093828135,3.8680855200295814,1.4163353646990318,0.7571132874533413,1103,sensor_bias_5,22,V2,2.8865810261258047,2.3010882688002323
2.062734001249974,1.5818372492070918,1.4866309093197072,0.8103267686826723,1001,sensor_bias_5,25,V1,,
2.062734001249974,1.5818372492070918,1.4866309093197072,0.8103267686826723,1001,sensor_bias_5,25,V2,1.1157497054510572,0.9572145231477507
5.119140586963101,4.1663978416602925,1.4835377330457997,0.8113660917177306,1001,sensor_bias_5,28,V1,,
5.119140586963101,4.1663978416602925,1.4835377330457997,0.8113660917177306,1001,sensor_bias_5,28,V2,3.4418086323642663,2.8056346748496863
7.787570868421112,7.105571117233975,4.336202515884473,2.0738258696113148,1027,sensor_bias_15,8,V1,,
7.787570868421112,7.105571117233975,4.336202515884473,2.0738258696113148,1027,sensor_bias_15,8,V2,6.029293041497073,5.215075076845164
5.0720565507056845,4.333681426681839,4.3855562327327915,2.123077021969425,1001,sensor_bias_15,15,V1,,
5.0720565507056845,4.333681426681839,4.3855562327327915,2.123077021969425,1001,sensor_bias_15,15,V2,1.141099993453165,0.9042880890014526
9.527467405977605,8.022211831290047,4.384061330288406,2.1155279475849467,1001,sensor_bias_15,17,V1,,
9.527467405977605,8.022211831290047,4.384061330288406,2.1155279475849467,1001,sensor_bias_15,17,V2,3.8403936939747125,3.442236415394298
5.3778026093828135,3.8680855200295814,4.179292656407983,1.9399668685956803,1103,sensor_bias_15,22,V1,,
5.3778026093828135,3.8680855200295814,4.179292656407983,1.9399668685956803,1103,sensor_bias_15,22,V2,2.8865810261258047,2.3010882688002323
2.062734001249974,1.5818372492070918,4.388581451049137,2.113710884566788,1001,sensor_bias_15,25,V1,,
