method,false_alarm_rate,detection_rate,precision,recall,f1,clean_only_false_alarm_rate
A_instant_residual,0.015701970443349755,0.11947773724740895,0.8999127780200611,0.11947773724740895,0.21094868125127786,0.013547840812870448
B_old_residual_plus_mc,0.03807471264367816,0.15798158763244746,0.8305936073059361,0.15798158763244746,0.2654699357851722,0.02977702511995484
C_temporal_cusum,0.1608169129720854,0.40996468067859415,0.7507687413847949,0.40996468067859415,0.5303348063815444,0.030200395145357044
D_final,0.16451149425287356,0.41005153146893636,0.7465345490960839,0.41005153146893636,0.529346912080725,0.032740615297770254
