candidate_id,q_dyn,m_T,r,q_current,q_speed,q_load,R,stable,validation_rmse,validation_mae,validation_bias,validation_abs_bias,validation_sample_count,numerical_failure_count,nonfinite_estimate_count,failure_run_count,first_failure,innovation_mean,innovation_std,nis_mean,nis_median,load_estimate_min,load_estimate_max,load_estimate_abs_p99,selected
EKF_01,1e-08,0.01,1e-08,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836438e-13,1.6597058517062327e-08,True,3.1685573714587383,2.432683646106071,0.02882912079619797,0.02882912079619797,7206,0,0,0,,0.00013689847080390833,0.00545111099027941,683.4567240902056,256.3733590703855,-0.1300196870887241,0.1662312577382296,0.11448992186440375,False
EKF_02,1e-08,0.01,1e-06,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836438e-13,1.6597058517062325e-06,True,3.3193196365355293,2.561839971784687,0.013766554105963062,0.013766554105963062,7206,0,0,0,,0.0004087136824884599,0.033099750415925944,604.9951931871705,221.37775492277274,-0.12361205766294589,0.14304923812012552,0.11064952280300937,False
EKF_03,1e-08,0.01,0.0001,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836438e-13,0.00016597058517062326,True,4.270370041222618,3.314357806091216,-0.12607090561196235,0.12607090561196235,7206,0,0,0,,-0.006200251164334204,0.13358729368204827,107.09864170668337,36.927663732912364,-0.09154940220508823,0.11699698656372255,0.09677472304381589,False
EKF_04,1e-08,0.1,1e-08,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836438e-12,1.6597058517062327e-08,True,3.153947196304576,2.4177277472046312,0.03065142263086821,0.03065142263086821,7206,0,0,0,,0.00014256127346142048,0.005412381055273318,673.7462860882225,246.88961200702565,-0.13001968735578967,0.16623125786314494,0.11448985141404468,False
EKF_05,1e-08,0.1,1e-06,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836438e-12,1.6597058517062325e-06,True,3.303030182935115,2.5449772665168457,0.016382324419021405,0.016382324419021405,7206,0,0,0,,0.0004526221539725834,0.03285883290257413,596.1828658283431,215.65987758190698,-0.12361205790409435,0.14304923836771863,0.11064952029385015,False
EKF_06,1e-08,0.1,0.0001,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836438e-12,0.00016597058517062326,True,4.260829512719558,3.306151757039584,-0.12336869781098193,0.12336869781098193,7206,0,0,0,,-0.006076426996744547,0.13314459149517285,106.37866039912251,36.708308736027476,-0.09154964106839872,0.1169971172469655,0.09677471978730973,False
EKF_07,1e-08,1.0,1e-08,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836437e-11,1.6597058517062327e-08,True,3.0534975849704358,2.311135204366571,0.040979126949241135,0.040979126949241135,7206,0,0,0,,0.0001746417564340411,0.005146372363914486,608.8957954302568,223.36190249053305,-0.13001969002652408,0.16623125911217845,0.11448914692122332,False
EKF_08,1e-08,1.0,1e-06,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836437e-11,1.6597058517062325e-06,True,3.1892665554961224,2.4224678626967173,0.03231775756162229,0.03231775756162229,7206,0,0,0,,0.0007203750278974335,0.031181166330967115,536.6235941884354,190.73385496038497,-0.12361206031564306,0.14304924084366885,0.11064949520232553,False
EKF_09,1e-08,1.0,0.0001,1.6597058517062327e-08,1.9070348301830536e-06,1.1886414840836437e-11,0.00016597058517062326,True,4.17672655936496,3.2318654193158434,-0.09969342224137435,0.09969342224137435,7206,0,0,0,,-0.004991216581049169,0.12926811544000924,100.18360411399782,32.720440879121924,-0.09155202948561111,0.11699842404029286,0.09677468722288636,False
EKF_10,1e-06,0.01,1e-08,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836435e-11,1.6597058517062327e-08,True,3.1576133429163376,2.4244201078341048,0.03693252188929077,0.03693252188929077,7206,0,0,0,,0.00010523275670411133,0.0034681997868001697,6.949645528931664,2.551245803165778,-0.10152444691513524,0.1183396671432475,0.09590672864203509,False
EKF_11,1e-06,0.01,1e-06,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836435e-11,1.6597058517062325e-06,True,3.1663431892030904,2.4315555028379823,0.03616694035577779,0.03616694035577779,7206,0,0,0,,0.0001598478000104942,0.0054533725623505825,6.841398712049024,2.5509378219491876,-0.10055563544638745,0.11576542755899566,0.0947720651532756,False
EKF_12,1e-06,0.01,0.0001,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836435e-11,0.00016597058517062326,True,3.3130453640719577,2.557200620004029,0.02470346249366758,0.02470346249366758,7206,0,0,0,,0.0005669655801446844,0.03309599409242576,6.049180170880348,2.2343024919507335,-0.08964067996361362,0.10000768218343693,0.08964056804208649,False
EKF_13,1e-06,0.1,1e-08,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836437e-10,1.6597058517062327e-08,True,3.1430504714242877,2.4095460590140876,0.03858229130086528,0.03858229130086528,7206,0,0,0,,0.00010850169560650799,0.003443767583138107,6.8516957633526765,2.478742486112676,-0.10152448210468976,0.1183397107565215,0.09590667635518547,False
EKF_14,1e-06,0.1,1e-06,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836437e-10,1.6597058517062325e-06,True,3.1516684596460425,2.4165504674446376,0.03788120674089955,0.03788120674089955,7206,0,0,0,,0.00016517263291870372,0.005414489330489754,6.743904597207305,2.463795449959999,-0.10055567069284278,0.11576547216834308,0.09477195539995235,False
EKF_15,1e-06,0.1,0.0001,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836437e-10,0.00016597058517062326,True,3.2966943894455856,2.5403119488521035,0.027228592521210005,0.027228592521210005,7206,0,0,0,,0.0006093507319165125,0.0328545055658026,5.9609253220871485,2.179123266909793,-0.08964700867356529,0.10001217931837754,0.08964689390293887,False
EKF_16,1e-06,1.0,1e-08,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836436e-09,1.6597058517062327e-08,True,3.0430981500407834,2.3037639731982047,0.04772131555923927,0.04772131555923927,7206,0,0,0,,0.00012659551005982198,0.003276364159557232,6.198767871540344,2.265428598779786,-0.10152483399422453,0.11834014688245298,0.095906153489023,False
EKF_17,1e-06,1.0,1e-06,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836436e-09,1.6597058517062325e-06,True,3.050872991751204,2.309702132290707,0.04745128832421105,0.04745128832421105,7206,0,0,0,,0.000194882023103676,0.005147779392009508,6.093593760437333,2.2474872950384115,-0.10055602315119015,0.1157659182546675,0.09477085790326124,False
EKF_18,1e-06,1.0,0.0001,1.6597058517062325e-06,0.00019070348301830533,1.1886414840836436e-09,0.00016597058517062326,True,3.1825880421469326,2.417695212525696,0.0424817569932101,0.0424817569932101,7206,0,0,0,,0.0008656392097994992,0.031174904594776502,5.365097098005647,1.9270423426485443,-0.08971017321089352,0.1000571072126861,0.08970646056841891,False
