scenario,controller,overall_rmse_mean,overall_rmse_std,overall_rmse_median,overall_mae_mean,overall_mae_std,overall_mae_median,fault_window_rmse_mean,fault_window_rmse_std,fault_window_rmse_median,sub_fraction_mean,sub_fraction_std,sub_fraction_median,reliability_entries_mean,reliability_entries_std,reliability_entries_median,switches_mean,switches_std,switches_median,frac_phys_mean,frac_phys_std,frac_phys_median,frac_main_mean,frac_main_std,frac_main_median,frac_aux_mean,frac_aux_std,frac_aux_median,frac_fb_mean,frac_fb_std,frac_fb_median,control_effort_u2_mean,control_effort_u2_std,control_effort_u2_median,control_variation_du2_mean,control_variation_du2_std,control_variation_du2_median,optimizer_failures_mean,optimizer_failures_std,optimizer_failures_median,voltage_violations_mean,voltage_violations_std,voltage_violations_median,rate_violations_mean,rate_violations_std,rate_violations_median,nonfinite_events_mean,nonfinite_events_std,nonfinite_events_median,false_sensor_fault_entries_mean,false_sensor_fault_entries_std,false_sensor_fault_entries_median,suppressed_entry_count_mean,suppressed_entry_count_std,suppressed_entry_count_median,suppressed_false_entries_mean,suppressed_false_entries_std,suppressed_false_entries_median,genuine_sensor_fault_entries_permitted_mean,genuine_sensor_fault_entries_permitted_std,genuine_sensor_fault_entries_permitted_median,genuine_sensor_fault_entries_suppressed_mean,genuine_sensor_fault_entries_suppressed_std,genuine_sensor_fault_entries_suppressed_median,auxiliary_misuse_events_mean,auxiliary_misuse_events_std,auxiliary_misuse_events_median,aux_witness_ready_fraction_mean,aux_witness_ready_fraction_std,aux_witness_ready_fraction_median,untrusted_aux_fraction_mean,untrusted_aux_fraction_std,untrusted_aux_fraction_median,attribution_switches_mean,attribution_switches_std,attribution_switches_median,mean_attribution_dwell_s_mean,mean_attribution_dwell_s_std,mean_attribution_dwell_s_median,mean_attribution_ms_mean,mean_attribution_ms_std,mean_attribution_ms_median,median_attribution_ms_mean,median_attribution_ms_std,median_attribution_ms_median,p95_attribution_ms_mean,p95_attribution_ms_std,p95_attribution_ms_median,p99_attribution_ms_mean,p99_attribution_ms_std,p99_attribution_ms_median,attr_frac_normal_mean,attr_frac_normal_std,attr_frac_normal_median,attr_frac_likely_sensor_fault_mean,attr_frac_likely_sensor_fault_std,attr_frac_likely_sensor_fault_median,attr_frac_likely_plant_or_main_mismatch_mean,attr_frac_likely_plant_or_main_mismatch_std,attr_frac_likely_plant_or_main_mismatch_median,attr_frac_likely_aux_mismatch_mean,attr_frac_likely_aux_mismatch_std,attr_frac_likely_aux_mismatch_median,attr_frac_ambiguous_mean,attr_frac_ambiguous_std,attr_frac_ambiguous_median
changing_reference,B_plain_MPC,7.165164771567082,0.06927373754618017,7.146432138501082,4.201836699416788,0.040613144434819524,4.224700746530063,7.165164771567082,0.06927373754618017,7.146432138501082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6616.3187214196605,88.6572188648759,6631.4741890929945,214.25947574959537,7.34220953052029,213.5141668256268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changing_reference,C3_arbitration_MPC,7.167133162604119,0.06776541004706142,7.146432138501082,4.221199234949323,0.0742635153345122,4.224700746530063,7.167133162604119,0.06776541004706142,7.146432138501082,0.05490848585690515,0.12185109225211088,0.0,0.2,0.4472135954999579,0.0,0.6,0.8944271909999159,0.0,0.9450915141430949,0.1218510922521109,1.0,0.05490848585690515,0.12185109225211088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.7417348220215,71.87183562514603,6631.4741890929945,212.71686211364073,5.167371139838803,213.5141668256268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changing_reference,C4_attribution_MPC,7.167133162604119,0.06776541004706142,7.146432138501082,4.221199234949323,0.0742635153345122,4.224700746530063,7.167133162604119,0.06776541004706142,7.146432138501082,0.05490848585690515,0.12185109225211088,0.0,0.2,0.4472135954999579,0.0,0.6,0.8944271909999159,0.0,0.9450915141430949,0.1218510922521109,1.0,0.05490848585690515,0.12185109225211088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601.7417348220215,71.87183562514603,6631.4741890929945,212.71686211364073,5.167371139838803,213.5141668256268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7208261617900172,0.12392665899396423,0.7762478485370051,0.27917383820998276,0.12392665899396427,0.22375215146299485,15.2,4.604345773288536,13.0,0.3825545454545455,0.10702848929449187,0.41500000000000004,0.048238450940493005,0.006261162904202843,0.05154165235818817,0.0458200003777165,0.009864938067397501,0.05210000017541461,0.07851999980630353,0.006868551907419974,0.0808000004326459,0.10288800003763761,0.011119771235836408,0.09903999998641669,0.5493975903614458,0.09642702574218875,0.5851979345955249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45060240963855425,0.09642702574218874,0.41480206540447506
combined_fault_load,B_plain_MPC,11.26421898281578,0.05353640989830032,11.270207088041886,6.618463488483424,0.1478781456228022,6.623374699470113,4.437062058350234,0.24300717328874377,4.495722635575656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8033.865433038185,154.22187535197637,8091.978415974243,179.5076654210977,9.54752132236633,178.61860623976503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_fault_load,C3_arbitration_MPC,11.156173337342299,0.02859248861678567,11.141389215095307,6.246989267810622,0.0680178268824665,6.22942399314697,3.85593045543892,0.18195495864253625,3.7603798306871674,0.5008319467554077,0.0,0.5008319467554077,1.0,0.0,1.0,2.0,0.0,2.0,0.49916805324459235,0.0,0.49916805324459235,0.08419301164725458,0.014581632146560159,0.07820299500831947,0.4166389351081531,0.014581632146560183,0.4226289517470882,0.0,0.0,0.0,8547.586852191629,151.1945187336078,8511.88192079431,217.77401154391163,13.408137029098517,219.42008617538048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combined_fault_load,C4_attribution_MPC,11.156173337342299,0.02859248861678567,11.141389215095307,6.246989267810622,0.0680178268824665,6.22942399314697,3.85593045543892,0.18195495864253625,3.7603798306871674,0.5008319467554077,0.0,0.5008319467554077,1.0,0.0,1.0,2.0,0.0,2.0,0.49916805324459235,0.0,0.49916805324459235,0.08419301164725458,0.014581632146560159,0.07820299500831947,0.4166389351081531,0.014581632146560183,0.4226289517470882,0.0,0.0,0.0,8547.586852191629,151.1945187336078,8511.88192079431,217.77401154391163,13.408137029098517,219.42008617538048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2633390705679862,0.0,0.2633390705679862,0.7366609294320138,0.0,0.7366609294320138,6.4,1.6733200530681511,6.0,0.8226222222222223,0.21094510432109354,0.8300000000000001,0.037521411362825455,0.0010025913567450796,0.0369559380587957,0.03349999897181988,0.0008631340751350034,0.03319999996165279,0.06795999979658518,0.0024764899601382433,0.06759999996575061,0.08673999996972279,0.006547976499730074,0.08643999972264284,0.2099827882960413,0.027992178945422712,0.22375215146299485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7900172117039587,0.027992178945422712,0.7762478485370051
load_disturbance,B_plain_MPC,10.83942809940061,0.013353342926656278,10.841650232663916,4.951222086820699,0.09581134203391853,4.968145760023338,0.9834530449148413,0.139763124995727,0.9422199238947252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8468.753988915094,134.78822208350363,8498.199784430983,157.8458329022412,12.994491504040647,163.46562199302994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load_disturbance,C3_arbitration_MPC,10.877007058841432,0.08662986012562807,10.842292963342944,5.103492185381784,0.36098118676676844,4.979133297006609,1.3993230378317982,0.9123154284553692,0.9486992700295822,0.05923460898502495,0.1195724862335216,0.011647254575707155,0.6,0.5477225575051661,1.0,2.0,2.0,2.0,0.9407653910149751,0.11957248623352161,0.9883527454242929,0.02329450915141431,0.03949776196495581,0.011647254575707155,0.03594009983361065,0.08036450634608229,0.0,0.0,0.0,0.0,8454.71334270533,135.84655248098412,8472.430549890241,166.13270322259987,24.03952894266197,164.4028352526961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5477225575051661,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
load_disturbance,C4_attribution_MPC,10.877007058841432,0.08662986012562807,10.842292963342944,5.103492185381784,0.36098118676676844,4.979133297006609,1.3993230378317982,0.9123154284553692,0.9486992700295822,0.05923460898502495,0.1195724862335216,0.011647254575707155,0.6,0.5477225575051661,1.0,2.0,2.0,2.0,0.9407653910149751,0.11957248623352161,0.9883527454242929,0.02329450915141431,0.03949776196495581,0.011647254575707155,0.03594009983361065,0.08036450634608229,0.0,0.0,0.0,0.0,8454.71334270533,135.84655248098412,8472.430549890241,166.13270322259987,24.03952894266197,164.4028352526961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5477225575051661,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6839931153184164,0.11314388225783314,0.6867469879518072,0.3160068846815835,0.11314388225783319,0.3132530120481928,12.8,3.2710854467592254,14.0,0.44132525252525256,0.10832457768766565,0.38733333333333336,0.04891204819187006,0.0052348527540121885,0.047414285675957145,0.04726000006485265,0.006301428801250572,0.0473000000056345,0.08198000032280106,0.010270686496579784,0.07829999958630651,0.10371599972131676,0.011987980929158435,0.10304000097676194,0.5187607573149742,0.06434967912657807,0.49569707401032703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4812392426850258,0.06434967912657803,0.504302925989673
parameter_variation,B_plain_MPC,10.82710889194807,0.008877370391855278,10.831946257271778,4.8290461466765775,0.07038392116096723,4.847187509764019,0.6699112237614517,0.033994817257473615,0.6526357854134137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7848.819090027757,106.48565755875251,7892.225098820821,140.6374950529798,13.864471046982281,145.12607335337424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
