overall_rmse,fault_rmse,detection_latency,recovery_latency,false_recoveries,sub_duration,sub_fraction,scenario,run_id,version
7.262318841737354,4.113320923816792,0.0,801.0,0,1027,0.869602032176122,sensor_bias_5,8,V2
4.669856129931709,1.561510575588468,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,15,V2
8.771554245988659,2.652159843438613,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,17,V2
5.1973466587372,10.9815007839356,0.0,801.0,0,1103,0.9339542760372566,sensor_bias_5,22,V2
1.899667232988443,0.8730198553599252,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,25,V2
4.713145074119462,3.377532781319175,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,28,V2
7.262318841737354,4.113320923816792,0.0,801.0,0,1027,0.869602032176122,sensor_bias_15,8,V2
4.669856129931709,1.561510575588468,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,15,V2
8.771554245988659,2.652159843438613,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,17,V2
5.1973466587372,10.9815007839356,0.0,801.0,0,1103,0.9339542760372566,sensor_bias_15,22,V2
1.899667232988443,0.8730198553599252,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,25,V2
4.713145074119462,3.377532781319175,2.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,28,V2
7.262318841737354,4.113320923816792,0.0,801.0,0,1027,0.869602032176122,sensor_dropout,8,V2
4.669856129931709,1.561510575588468,2.0,801.0,0,1001,0.8475867908552075,sensor_dropout,15,V2
8.771554245988659,2.652159843438613,2.0,801.0,0,1001,0.8475867908552075,sensor_dropout,17,V2
5.1973466587372,10.9815007839356,0.0,801.0,0,1103,0.9339542760372566,sensor_dropout,22,V2
1.899667232988443,0.8730198553599252,2.0,801.0,0,1001,0.8475867908552075,sensor_dropout,25,V2
4.713145074119462,3.377532781319175,2.0,801.0,0,1001,0.8475867908552075,sensor_dropout,28,V2
7.262318841737354,7.886689384889029,0.0,,0,1027,0.869602032176122,sensor_drift,8,V2
0.8444716329849712,0.9154947367163024,691.0,,1,6,0.005080440304826418,sensor_drift,15,V2
0.8524985896420315,0.9244003613090125,,,0,3,0.002540220152413209,sensor_drift,17,V2
5.1973466587372,5.44427532109411,0.0,,0,1103,0.9339542760372566,sensor_drift,22,V2
0.7872874815235423,0.8535165413088434,716.0,,1,6,0.005080440304826418,sensor_drift,25,V2
0.8239046847836183,0.893459591104698,,,0,1,0.000846740050804403,sensor_drift,28,V2
9.59327614519807,10.935932844744618,,,0,1027,0.869602032176122,load_disturbance,8,V2
13.628516446914643,15.602927469962074,,,0,890,0.7535986452159187,load_disturbance,15,V2
16.75589170856803,19.183451065781856,,,0,891,0.7544453852667231,load_disturbance,17,V2
14.363445710872773,15.765307015823447,,,0,1103,0.9339542760372566,load_disturbance,22,V2
0.1463513469682927,0.15261591655225426,,,0,3,0.002540220152413209,load_disturbance,25,V2
0.1515289723572886,0.1582759644970467,,,0,2,0.001693480101608806,load_disturbance,28,V2
9.65766359325606,11.009965765791675,,,0,1027,0.869602032176122,parameter_variation,8,V2
6.7241731083364495,7.698049663359135,,,0,312,0.26418289585097376,parameter_variation,15,V2
16.458936438294224,18.84346821515851,,,0,883,0.7476714648602879,parameter_variation,17,V2
9.938580244622484,10.372756080221171,,,0,1103,0.9339542760372566,parameter_variation,22,V2
0.1335175511618878,0.13632180735928656,,,0,3,0.002540220152413209,parameter_variation,25,V2
0.1501484070737089,0.15654189925171186,,,0,0,0.0,parameter_variation,28,V2
9.59327614519807,10.935932844744618,0.0,,0,1027,0.869602032176122,combined_fault_load,8,V2
13.978154414802487,16.00322790378666,2.0,,0,901,0.7629127857747672,combined_fault_load,15,V2
17.122874102083145,19.603607549485893,2.0,,0,901,0.7629127857747672,combined_fault_load,17,V2
14.363445710872773,15.765307015823447,0.0,,0,1103,0.9339542760372566,combined_fault_load,22,V2
13.819352036180996,15.821442753045469,2.0,,0,901,0.7629127857747672,combined_fault_load,25,V2
14.793098533791039,16.93627449492567,2.0,,0,901,0.7629127857747672,combined_fault_load,28,V2
