population,run_id,sample,time_s,estimator,update_runtime_us
clean_heldout_test,8,52,0.5199999809265137,auxiliary_LSTM,669.1
clean_heldout_test,8,53,0.5299999713897705,EKF,446.2
clean_heldout_test,8,53,0.5299999713897705,auxiliary_LSTM,629.1
clean_heldout_test,8,54,0.5400000214576721,EKF,446.8
clean_heldout_test,8,54,0.5400000214576721,auxiliary_LSTM,746.1
clean_heldout_test,8,55,0.550000011920929,EKF,495.5
clean_heldout_test,8,55,0.550000011920929,auxiliary_LSTM,689.0
clean_heldout_test,8,56,0.5600000023841858,EKF,493.3
clean_heldout_test,8,56,0.5600000023841858,auxiliary_LSTM,636.6
clean_heldout_test,8,57,0.5699999928474426,EKF,615.5
clean_heldout_test,8,57,0.5699999928474426,auxiliary_LSTM,645.9
clean_heldout_test,8,58,0.5799999833106995,EKF,499.7
clean_heldout_test,8,58,0.5799999833106995,auxiliary_LSTM,743.3
clean_heldout_test,8,59,0.5899999737739563,EKF,494.3
clean_heldout_test,8,59,0.5899999737739563,auxiliary_LSTM,657.6
clean_heldout_test,8,60,0.6000000238418579,EKF,459.0
clean_heldout_test,8,60,0.6000000238418579,auxiliary_LSTM,629.5
clean_heldout_test,8,61,0.6100000143051147,EKF,441.3
clean_heldout_test,8,61,0.6100000143051147,auxiliary_LSTM,602.8
clean_heldout_test,8,62,0.6200000047683716,EKF,440.0
clean_heldout_test,8,62,0.6200000047683716,auxiliary_LSTM,603.9
clean_heldout_test,8,63,0.6299999952316284,EKF,468.9
clean_heldout_test,8,63,0.6299999952316284,auxiliary_LSTM,641.9
clean_heldout_test,8,64,0.6399999856948853,EKF,470.8
clean_heldout_test,8,64,0.6399999856948853,auxiliary_LSTM,582.0
clean_heldout_test,8,65,0.6499999761581421,EKF,449.1
clean_heldout_test,8,65,0.6499999761581421,auxiliary_LSTM,618.1
clean_heldout_test,8,66,0.6600000262260437,EKF,431.0
clean_heldout_test,8,66,0.6600000262260437,auxiliary_LSTM,612.3
clean_heldout_test,8,67,0.6700000166893005,EKF,434.0
clean_heldout_test,8,67,0.6700000166893005,auxiliary_LSTM,565.4
clean_heldout_test,8,68,0.6800000071525574,EKF,462.5
clean_heldout_test,8,68,0.6800000071525574,auxiliary_LSTM,592.6
clean_heldout_test,8,69,0.6899999976158142,EKF,830.8
clean_heldout_test,8,69,0.6899999976158142,auxiliary_LSTM,585.7
clean_heldout_test,8,70,0.699999988079071,EKF,950.9
clean_heldout_test,8,70,0.699999988079071,auxiliary_LSTM,630.8
clean_heldout_test,8,71,0.7099999785423279,EKF,1028.9
clean_heldout_test,8,71,0.7099999785423279,auxiliary_LSTM,584.2
clean_heldout_test,8,72,0.7200000286102295,EKF,579.5
clean_heldout_test,8,72,0.7200000286102295,auxiliary_LSTM,576.8
clean_heldout_test,8,73,0.7300000190734863,EKF,488.6
clean_heldout_test,8,73,0.7300000190734863,auxiliary_LSTM,616.1
clean_heldout_test,8,74,0.7400000095367432,EKF,937.0
clean_heldout_test,8,74,0.7400000095367432,auxiliary_LSTM,588.2
clean_heldout_test,8,75,0.75,EKF,431.7
clean_heldout_test,8,75,0.75,auxiliary_LSTM,640.3
clean_heldout_test,8,76,0.7599999904632568,EKF,406.9
clean_heldout_test,8,76,0.7599999904632568,auxiliary_LSTM,865.0
clean_heldout_test,8,77,0.7699999809265137,EKF,435.1
clean_heldout_test,8,77,0.7699999809265137,auxiliary_LSTM,696.5
clean_heldout_test,8,78,0.7799999713897705,EKF,413.8
clean_heldout_test,8,78,0.7799999713897705,auxiliary_LSTM,638.2
clean_heldout_test,8,79,0.7900000214576721,EKF,408.5
clean_heldout_test,8,79,0.7900000214576721,auxiliary_LSTM,656.3
clean_heldout_test,8,80,0.800000011920929,EKF,405.5
clean_heldout_test,8,80,0.800000011920929,auxiliary_LSTM,625.1
clean_heldout_test,8,81,0.8100000023841858,EKF,421.6
clean_heldout_test,8,81,0.8100000023841858,auxiliary_LSTM,712.6
clean_heldout_test,8,82,0.8199999928474426,EKF,425.5
clean_heldout_test,8,82,0.8199999928474426,auxiliary_LSTM,1034.6
clean_heldout_test,8,83,0.8299999833106995,EKF,408.6
clean_heldout_test,8,83,0.8299999833106995,auxiliary_LSTM,742.8
clean_heldout_test,8,84,0.8399999737739563,EKF,519.1
clean_heldout_test,8,84,0.8399999737739563,auxiliary_LSTM,668.1
clean_heldout_test,8,85,0.8500000238418579,EKF,892.2
clean_heldout_test,8,85,0.8500000238418579,auxiliary_LSTM,805.7
clean_heldout_test,8,86,0.8600000143051147,EKF,412.9
clean_heldout_test,8,86,0.8600000143051147,auxiliary_LSTM,840.6
clean_heldout_test,8,87,0.8700000047683716,EKF,412.4
clean_heldout_test,8,87,0.8700000047683716,auxiliary_LSTM,789.2
clean_heldout_test,8,88,0.8799999952316284,EKF,411.8
clean_heldout_test,8,88,0.8799999952316284,auxiliary_LSTM,568.1
clean_heldout_test,8,89,0.8899999856948853,EKF,408.2
clean_heldout_test,8,89,0.8899999856948853,auxiliary_LSTM,708.6
clean_heldout_test,8,90,0.8999999761581421,EKF,441.5
clean_heldout_test,8,90,0.8999999761581421,auxiliary_LSTM,868.3
clean_heldout_test,8,91,0.9100000262260437,EKF,418.1
clean_heldout_test,8,91,0.9100000262260437,auxiliary_LSTM,810.2
clean_heldout_test,8,92,0.9200000166893005,EKF,411.5
clean_heldout_test,8,92,0.9200000166893005,auxiliary_LSTM,791.2
clean_heldout_test,8,93,0.9300000071525574,EKF,408.2
clean_heldout_test,8,93,0.9300000071525574,auxiliary_LSTM,689.7
clean_heldout_test,8,94,0.9399999976158142,EKF,432.3
clean_heldout_test,8,94,0.9399999976158142,auxiliary_LSTM,951.5
clean_heldout_test,8,95,0.949999988079071,EKF,432.7
clean_heldout_test,8,95,0.949999988079071,auxiliary_LSTM,999.6
clean_heldout_test,8,96,0.9599999785423279,EKF,415.5
clean_heldout_test,8,96,0.9599999785423279,auxiliary_LSTM,903.2
clean_heldout_test,8,97,0.9700000286102295,EKF,410.9
clean_heldout_test,8,97,0.9700000286102295,auxiliary_LSTM,828.7
clean_heldout_test,8,98,0.9800000190734863,EKF,408.7
clean_heldout_test,8,98,0.9800000190734863,auxiliary_LSTM,785.8
clean_heldout_test,8,99,0.9900000095367432,EKF,470.0
clean_heldout_test,8,99,0.9900000095367432,auxiliary_LSTM,935.1
clean_heldout_test,8,100,1.0,EKF,917.3
clean_heldout_test,8,100,1.0,auxiliary_LSTM,740.2
clean_heldout_test,8,101,1.0099999904632568,EKF,470.6
clean_heldout_test,8,101,1.0099999904632568,auxiliary_LSTM,770.9
clean_heldout_test,8,102,1.0199999809265137,EKF,423.3
clean_heldout_test,8,102,1.0199999809265137,auxiliary_LSTM,828.0
clean_heldout_test,8,103,1.0299999713897705,EKF,417.4
clean_heldout_test,8,103,1.0299999713897705,auxiliary_LSTM,958.2
clean_heldout_test,8,104,1.0399999618530273,EKF,435.0
clean_heldout_test,8,104,1.0399999618530273,auxiliary_LSTM,969.0
clean_heldout_test,8,105,1.0499999523162842,EKF,587.3
clean_heldout_test,8,105,1.0499999523162842,auxiliary_LSTM,956.5
clean_heldout_test,8,106,1.059999942779541,EKF,642.5
clean_heldout_test,8,106,1.059999942779541,auxiliary_LSTM,848.2
clean_heldout_test,8,107,1.0700000524520874,EKF,945.9
