passes,scenario,mean_predictive_variance,temporal_coefficient_of_variation,rolling_mean_variance,ks_statistic_vs_clean,ks_pvalue_vs_clean,clean_overlap,raw_auc_vs_clean
10,clean,0.006831284612417221,0.9330790638923645,0.006890955705836557,0.0,1.0,1.0,0.5
10,load_step,0.0047607505694031715,1.0271384716033936,0.0048392492141444395,0.19898391193903472,7.336291001729717e-21,0.7485182049110924,0.357647654329308
10,parameter_variation,0.004355362616479397,1.0800859928131104,0.004407903290085584,0.31922099915325997,1.3572625283394526e-53,0.6748518204911093,0.29276987240107805
10,edge_operating_point,0.1899063140153885,1.2904102802276611,0.1863878376778426,0.7662997459779848,0.0,0.3530906011854361,0.9370766747851423
20,clean,0.007096927613019943,0.8428151607513428,0.007160049887463088,0.0,1.0,1.0,0.5
20,load_step,0.004985489416867495,0.913126528263092,0.0050684156741615215,0.22692633361558,4.665032899386848e-27,0.685012701100762,0.34588506561339183
20,parameter_variation,0.004794682841747999,1.0296989679336548,0.004849085385879605,0.3268416596104996,3.2721101525456218e-56,0.6308213378492801,0.2976653347777863
20,edge_operating_point,0.1923273801803589,1.1409621238708496,0.18896053890337725,0.8103302286198137,0.0,0.19898391193903472,0.9387558155124786
30,clean,0.0073309349827468395,0.8236998915672302,0.0073836227750138555,0.0,1.0,1.0,0.5
30,load_step,0.005156147293746471,0.8757660984992981,0.005261211446388967,0.23200677392040644,2.8303150623813078e-28,0.6943268416596104,0.3612066870237983
30,parameter_variation,0.004671137779951096,0.9951829314231873,0.004726595416057869,0.3048264182895851,7.886069860206335e-49,0.6858594411515667,0.2966959930769501
30,edge_operating_point,0.1939661204814911,1.1091970205307007,0.1904616632542357,0.8128704487722269,0.0,0.23454699407281962,0.9388017015101511
50,clean,0.007483213674277067,0.8095270991325378,0.007578525489800865,0.0,1.0,1.0,0.5
50,load_step,0.005133560858666897,0.8663373589515686,0.005213194160701577,0.2260795935647756,7.395659377693153e-27,0.7053344623200679,0.35006786108874566
50,parameter_variation,0.0048366934061050415,1.0007431507110596,0.004898334120839565,0.28958509737510585,4.853595710407202e-44,0.6841659610499574,0.3028146040791218
50,edge_operating_point,0.19477219879627228,1.0605226755142212,0.19122496208509662,0.8069432684165961,0.0,0.2591024555461473,0.9378818306505561
