kp,ki,RMSE,control_effort,selection_score
0.25,0.4,11.846175916479725,10.994475620614423,12.066065428892014
0.35,0.8,11.129195738741455,21.924602382954337,11.567687786400542
0.5,0.5,11.62710944106702,17.70146537003199,11.98113874846766
0.4,0.3,12.782319875335814,11.818836600414445,13.018696607344102
