controller,scenario,seed,overall_rmse,overall_mae,fault_window_rmse,recovery_latency_s,reliability_entries,recovery_events,false_recovery_events,sub_duration_s,sub_fraction,switches,avg_episode_duration_s,frac_phys,frac_main,frac_aux,frac_fb,event_frac_aux,event_frac_fb,control_effort_u2,control_variation_du2,voltage_violations,rate_violations,optimizer_failures,main_prediction_failures,aux_prediction_failures,prediction_failure_messages,nonfinite_events,mean_solve_ms,mean_aux_inference_ms,mean_reliability_update_ms,mean_arbitration_ms,mean_extension_ms,mean_control_compute_ms,sim_time_s,main_virtual_rmse,main_virtual_mae,aux_virtual_rmse,aux_virtual_mae,selected_virtual_rmse,selected_virtual_mae,corrupted_rmse,corrupted_mae,sub_samples,genuine_sensor_fault_entries,genuine_sensor_fault_entries_permitted,false_sensor_fault_entries,suppressed_entry_count,suppressed_candidate_samples,suppressed_false_entry_count,suppressed_false_entries,genuine_sensor_fault_suppressed,genuine_sensor_fault_entries_suppressed,suppression_episodes,attributor_suppression_episodes,c3_candidate_samples,c3_new_entry_candidate_samples,attribution_switches,mean_attribution_dwell_s,auxiliary_misuse_events,aux_selected_while_witness_unready_samples,aux_witness_ready_fraction,untrusted_aux_fraction,untrusted_aux_candidate_samples,mean_attribution_ms,median_attribution_ms,p95_attribution_ms,p99_attribution_ms,attr_frac_normal,attr_frac_likely_sensor_fault,attr_frac_likely_plant_or_main_mismatch,attr_frac_likely_aux_mismatch,attr_frac_ambiguous,detection_latency_s,detected_event,sensor_fault_detected
B_plain_MPC,combined_fault_load,19026,11.178312306928186,6.3765330602322265,4.049571421580525,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7769.695512428688,164.87367510701986,0,0,0,0,0,,0,91.67023305794716,0.0,0.0,0.0,0.0,91.69118842971727,11.587977600000158,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19026,11.180626239503011,6.233449749467859,4.062306114387456,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.10149750415973377,0.39933444259567386,0.0,0.7973421926910299,0.0,8524.040779491417,197.02107324126644,0,0,0,0,0,,0,73.76339338851955,0.40152753874700714,0.009350602381119125,0.007128743533208957,0.41800688466133523,73.79096942145412,9.678556400000161,2.2547841349482973,1.8650946494327736,1.6329589047586128,1.4142828550946214,2.1569876064745155,1.7815313853710748,3.271895534606695,3.2623865878173914,301,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,0.0,True,True
C4_attribution_MPC,combined_fault_load,19026,11.180626239503011,6.233449749467859,4.062306114387456,,1,,,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.10149750415973377,0.39933444259567386,0.0,0.7973421926910299,0.0,8524.040779491417,197.02107324126644,0,0,0,0,0,,0,76.65866942138075,0.3688294320529727,0.006833907056666178,0.0061175559746614845,0.41841497422020046,76.68666446294414,10.002255499999592,2.2547841349482973,,1.6329589047586128,,2.1569876064745155,,3.271895534606695,,301,1.0,1.0,0.0,0,0,0,0,0,0,0,0,301.0,3.0,6.0,0.8300000000000001,0,240.0,0.2633390705679862,0.7366609294320138,298.0,0.03663407913590008,0.03249999826948624,0.07080000068526715,0.08788000122876845,0.22375215146299485,0.0,0.0,0.0,0.7762478485370051,0.0,True,True
B_plain_MPC,combined_fault_load,19027,11.270207088041886,6.623374699470113,4.495722635575656,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8038.788663267426,177.9291531471439,0,0,0,0,0,,0,84.69515371898298,0.0,0.0,0.0,0.0,84.71607933891143,10.742847800000163,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19027,11.134495239191281,6.181265473545023,3.7603798306871674,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.07154742096505824,0.4292845257903494,0.0,0.8571428571428571,0.0,8424.711750510152,215.83475596518159,0,0,0,0,0,,0,75.23193719008448,0.38268795180177656,0.00923820999073283,0.006497418271245839,0.3984235800637552,75.25878595048152,9.824432100000195,2.2311064041232895,1.9083504761777534,1.8265735803479306,1.6263713740446677,2.1264960988993287,1.8167350664887822,3.2494341674373732,3.2387935205099168,301,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,0.0,True,True
C4_attribution_MPC,combined_fault_load,19027,11.134495239191281,6.181265473545023,3.7603798306871674,,1,,,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.07154742096505824,0.4292845257903494,0.0,0.8571428571428571,0.0,8424.711750510152,215.83475596518159,0,0,0,0,0,,0,70.14022892571504,0.3887137694064864,0.007066609350424027,0.006273149742207669,0.4405643718927079,70.1694727273312,9.248756400000275,2.2311064041232895,,1.8265735803479306,,2.1264960988993287,,3.2494341674373732,,301,1.0,1.0,0.0,0,0,0,0,0,0,0,0,301.0,3.0,6.0,0.8300000000000001,0,258.0,0.2633390705679862,0.7366609294320138,298.0,0.03851084339358982,0.03449999894655775,0.0652999988233205,0.08095999946817757,0.19793459552495696,0.0,0.0,0.0,0.802065404475043,0.0,True,True
B_plain_MPC,combined_fault_load,19028,11.316040077741404,6.7607148193557185,4.6665063615159355,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8163.784111888827,188.74878911518988,0,0,0,0,0,,0,79.85141652877118,0.0,0.0,0.0,0.0,79.87365785111025,10.143509300000005,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
C3_arbitration_MPC,combined_fault_load,19028,11.131262344075777,6.22942399314697,3.673491285459348,,1,0.0,0.0,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.07154742096505824,0.4292845257903494,0.0,0.8571428571428571,0.0,8511.88192079431,233.79653771291663,0,0,0,0,0,,0,72.50602479343647,0.3848851979134597,0.009439242714691407,0.007098450963434494,0.4014228915915856,72.53250495870651,9.498128499999439,2.1599047586526816,1.8617261272725993,1.779071684652928,1.5592065151796302,2.0550626347777436,1.7678005388703872,3.2957739410584543,3.285724723773721,301,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,0.0,True,True
C4_attribution_MPC,combined_fault_load,19028,11.131262344075777,6.22942399314697,3.673491285459348,,1,,,3.0100000000000002,0.5008319467554077,2,2.0,0.49916805324459235,0.07154742096505824,0.4292845257903494,0.0,0.8571428571428571,0.0,8511.88192079431,233.79653771291663,0,0,0,0,0,,0,75.28395950409376,0.3975060240956107,0.0070413081188808015,0.006476247839406438,0.44973253012505476,75.31283966946371,9.894621400000688,2.1599047586526816,,1.779071684652928,,2.0550626347777436,,3.2957739410584543,,301,1.0,1.0,0.0,0,0,0,0,0,0,0,0,301.0,3.0,8.0,0.6455555555555557,0,258.0,0.2633390705679862,0.7366609294320138,298.0,0.038708950071156795,0.03429999924264848,0.07019999975454994,0.09709999903861927,0.16695352839931152,0.0,0.0,0.0,0.8330464716006885,0.0,True,True
B_plain_MPC,combined_fault_load,19029,11.25626073971987,6.620068536849991,4.374870094773849,,0,0.0,0.0,0.0,0.0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8105.080461631741,187.36810349636986,0,0,0,0,0,,0,88.84533553734873,0.0,0.0,0.0,0.0,88.86648595040798,11.251196600000185,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,
