scenario,controller,overall_rmse_mean,overall_rmse_std,overall_rmse_median,overall_mae_mean,overall_mae_std,overall_mae_median,fault_window_rmse_mean,fault_window_rmse_std,fault_window_rmse_median,sub_fraction_mean,sub_fraction_std,sub_fraction_median,reliability_entries_mean,reliability_entries_std,reliability_entries_median,switches_mean,switches_std,switches_median,frac_phys_mean,frac_phys_std,frac_phys_median,frac_main_mean,frac_main_std,frac_main_median,frac_aux_mean,frac_aux_std,frac_aux_median,frac_fb_mean,frac_fb_std,frac_fb_median,control_effort_u2_mean,control_effort_u2_std,control_effort_u2_median,event_frac_aux_mean,event_frac_aux_std,event_frac_aux_median,event_frac_fb_mean,event_frac_fb_std,event_frac_fb_median,optimizer_failures_mean,optimizer_failures_std,optimizer_failures_median,voltage_violations_mean,voltage_violations_std,voltage_violations_median,rate_violations_mean,rate_violations_std,rate_violations_median,main_prediction_failures_mean,main_prediction_failures_std,main_prediction_failures_median,aux_prediction_failures_mean,aux_prediction_failures_std,aux_prediction_failures_median,nonfinite_events_mean,nonfinite_events_std,nonfinite_events_median
changing_reference,A_PI,9.703012767557835,0.03231573043268875,9.719688597631066,7.737498618624571,0.03577098037940745,7.750198160100202,9.703012767557835,0.03231573043268875,9.719688597631066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5732.6226438057065,12.83788582855513,5731.191794899713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changing_reference,B_plain_MPC,7.220168214065948,0.05355411013746002,7.219544335173738,4.236726089915595,0.05135694580880204,4.215144463634484,7.220168214065948,0.05355411013746002,7.219544335173738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6596.577871960819,110.91752146348747,6570.902410543563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changing_reference,C1_sensor_MPC,7.218066071391647,0.05740283898784297,7.219544335173738,4.235695409416758,0.0525212916726463,4.215144463634693,7.218066071391647,0.05740283898784297,7.219544335173738,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.8,1.0954451150103321,0.0,0.9993344425956738,0.0009113520091600145,1.0,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6597.305053416172,110.73841810586157,6570.902410543563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changing_reference,C2_aux_recovery_MPC,7.218066071391647,0.05740283898784297,7.219544335173738,4.235695409416758,0.0525212916726463,4.215144463634693,7.218066071391647,0.05740283898784297,7.219544335173738,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.8,1.0954451150103321,0.0,0.9993344425956738,0.0009113520091600145,1.0,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6597.305053416172,110.73841810586157,6570.902410543563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
changing_reference,C3_arbitration_MPC,7.218066071391647,0.05740283898784297,7.219544335173738,4.235695409416758,0.0525212916726463,4.215144463634693,7.218066071391647,0.05740283898784297,7.219544335173738,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.8,1.0954451150103321,0.0,0.9993344425956738,0.0009113520091600145,1.0,0.0006655574043261231,0.0009113520091600101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6597.305053416172,110.73841810586157,6570.902410543563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_fault_load,A_PI,11.601692277545295,0.011291209281272866,11.601999967684309,7.437511604509685,0.026678743964482728,7.436193317921127,4.779198355803494,0.031217128531367395,4.790885649433842,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7525.013080251624,7.082302272690481,7523.004156248891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_fault_load,B_plain_MPC,11.236415023523348,0.02720348247904648,11.223972042960742,6.521417338857935,0.041015343998742106,6.516321826447502,4.34320198940245,0.1523109347461119,4.263630284069805,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7988.586601860746,49.322492886058434,7980.709842313972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_fault_load,C1_sensor_MPC,13.647767345742135,0.0935373629297626,13.641151393801277,9.882147659445081,0.1475129095885481,9.874383200231694,11.775775954254806,0.20993351591864418,11.76191650303774,0.5014975041597338,0.0009113520091600145,0.5008319467554077,,,,1.8,1.0954451150103321,1.0,0.49850249584026624,0.0009113520091600081,0.49916805324459235,0.5014975041597338,0.0009113520091600145,0.5008319467554077,0.0,0.0,0.0,0.0,0.0,0.0,6132.900203506295,28.095347696072498,6143.773361817223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_fault_load,C2_aux_recovery_MPC,13.647767345742135,0.0935373629297626,13.641151393801277,9.882147659445081,0.1475129095885481,9.874383200231694,11.775775954254806,0.20993351591864418,11.76191650303774,0.5014975041597338,0.0009113520091600145,0.5008319467554077,,,,1.8,1.0954451150103321,1.0,0.49850249584026624,0.0009113520091600081,0.49916805324459235,0.5014975041597338,0.0009113520091600145,0.5008319467554077,0.0,0.0,0.0,0.0,0.0,0.0,6132.900203506295,28.095347696072498,6143.773361817223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_fault_load,C3_arbitration_MPC,11.166022262242613,0.03016368961368896,11.175438960414024,6.214509516625954,0.07132428302413082,6.233076232324749,3.963267899341299,0.17934372085162362,4.015826586536805,0.5014975041597338,0.0009113520091600145,0.5008319467554077,,,,2.8,1.0954451150103321,2.0,0.49850249584026624,0.0009113520091600081,0.49916805324459235,0.08386023294509151,0.008929389594009143,0.08153078202995008,0.4176372712146422,0.0080660230572651,0.4193011647254576,0.0,0.0,0.0,8529.56146232169,89.7770845039899,8502.616498093006,0.8338870431893689,0.01610524869573532,0.8372093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
