population,estimator,stratum,sample_count,trajectory_count,finite_sample_count,nonfinite_sample_count,finite_fraction,rmse_rad_s,mae_rad_s,bias_rad_s,numerical_failure_count,failure_run_count,runtime_sample_count,runtime_mean_us,runtime_p50_us,runtime_p95_us,runtime_p99_us,runtime_max_us,ekf_config_sha256,dataset_sha256,auxiliary_lstm_weights_sha256,auxiliary_lstm_config_sha256,observer_source_sha256,motor_model_source_sha256,observability_summary_sha256,evaluation_script_sha256,selected_candidate_id
load_disturbance_fixed_nominal_observer,auxiliary_LSTM,high_current,3047,6,3047,0,1.0,2.0465206861835172,1.6294264745896703,1.192735572533814,0,0,3047,933.8008532983263,837.5,1705.5099999999995,2397.2219999999993,15378.8,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,EKF,low_speed,3102,6,3102,0,1.0,1.801662458168649,1.4783193783097914,1.4783193783097914,0,0,3102,824.1227595099934,742.4,1468.6149999999998,1868.8759999999995,3358.3,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,auxiliary_LSTM,low_speed,3102,6,3102,0,1.0,2.359951217174277,1.9472076991459695,1.8547616255992438,0,0,3102,907.0901998710509,841.25,1554.7349999999997,2137.4329999999986,15378.8,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,EKF,high_speed,542,5,542,0,1.0,1.8345643677818522,1.3145427563634144,1.3145427563634144,0,0,542,685.9322878228782,673.5,1453.3299999999986,2066.3800000000037,2468.4,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,auxiliary_LSTM,high_speed,542,5,542,0,1.0,1.3558771460436494,0.9742283987260246,0.29814968368360945,0,0,542,903.3872693726937,875.1,1318.0049999999987,2284.5810000000142,4879.6,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,EKF,low_acceleration,1305,6,1305,0,1.0,2.0208399051274797,1.6458045576291491,1.6458045576291491,0,0,1305,738.7591570881226,710.7,1360.6799999999994,1637.3960000000002,5070.1,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,auxiliary_LSTM,low_acceleration,1305,6,1305,0,1.0,1.7073983452262957,1.3299015997730395,1.2511359329670106,0,0,1305,848.2470498084291,766.6,1523.7799999999993,1922.9160000000006,2994.8,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,EKF,high_acceleration,2282,6,2282,0,1.0,1.8279361926384825,1.3623537706826392,1.3617764973185376,0,0,2282,698.1391761612621,697.25,1321.4699999999987,1700.8080000000002,3302.9,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,auxiliary_LSTM,high_acceleration,2282,6,2282,0,1.0,2.4439938797742893,2.1059187664049435,1.6073389480308748,0,0,2282,899.4603418054338,818.8499999999999,1620.39,2267.1610000000055,15378.8,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
load_disturbance_fixed_nominal_observer,EKF,voltage_saturation,1881,3,1881,0,1.0,1.7259849502175537,1.3412529444134647,1.3412133669934743,0,0,1881,678.2791600212653,691.6,1290.5,1599.2600000000002,2362.9,1eafff6cc1b7c89de837b679eeccf55451dc39530bea06850bfa538e771d3579,5f77f76468908656b35dabbc48e8aa20cc0583eae3724cc989278d94fe2bab26,619f677ccc63c6a40c863858d8eee4175f72b1770dc6c8ba202e7b92c2768480,04fd322ba365b394751e4f60163ebea4b2164ff6fe699d7d2c2cc052eaae8ad2,96fab32c29972f8a8a4b434dbcb2c7ca234a22e76859329ef9cf09a77cbc8717,3c7b4d955fa0db79dced95e222aa3533206ccc843c9d07235a4eb43ce5c119e8,852ff1a7f7cdc17d9d06fdbc0d83191b81fe8cf99645c7885836a111ef537b42,bdf411a8137de99b98baca897f4e30fc6fe44c731c622d6602ff711d781c971e,EKF_25
