controller,scenario,seed,virtual_feedback_RMSE,corrupted_sensor_RMSE,virtual_feedback_MAE,corrupted_sensor_MAE,substitution_duration_s,recovery_latency_s
C_sensor_MPC,sensor_noise,12026,0.34153852755724756,1.506272324194131,0.3324389935396788,0.9111865117900146,3.99,
D_adaptive,sensor_noise,12026,0.8509033180627388,1.5085318794824296,0.6405462638344553,0.9109553058136735,3.97,
C_sensor_MPC,bias_5,12026,0.24267529366980323,2.2184308586235324,0.2170942667272287,1.6603785232012735,4.01,
D_adaptive,bias_5,12026,0.24486721305425319,2.2184308586235324,0.2227453749843348,1.6603785232012735,4.01,
C_sensor_MPC,bias_15,12026,0.41684135951650236,6.608276084997945,0.4138169303759011,4.765930551353266,4.0200000000000005,
D_adaptive,bias_15,12026,0.25709931576800354,6.608276084997945,0.2310964268881267,4.765930551353266,4.0200000000000005,
C_sensor_MPC,sensor_dropout,12026,0.2342853237347626,24.7991319087246,0.2107264791690107,17.612935141961866,4.01,
D_adaptive,sensor_dropout,12026,0.4405247014846845,25.046122183930752,0.35867849183495903,17.774567710905483,4.01,
C_sensor_MPC,sensor_drift,12026,0.14782537089875247,0.2882896897621402,0.07811256282425598,0.17596507447760912,0.06,
D_adaptive,sensor_drift,12026,0.14782537089875247,0.2882896897621402,0.07811256282425598,0.17596507447760912,0.06,
C_sensor_MPC,combined_fault_load,12026,11.691327135325476,3.1334867357897576,10.768403452607862,3.1242715632126403,3.0100000000000002,
D_adaptive,combined_fault_load,12026,11.680687788118021,3.1334867357897576,10.75733758346529,3.1242715632126408,3.0100000000000002,
C_sensor_MPC,sensor_noise,12027,0.25042184786286886,1.427696752915915,0.21289220176720822,0.9228213652170656,4.0,
D_adaptive,sensor_noise,12027,0.2537215125100728,1.427696752915915,0.2179598044460613,0.9228213652170656,4.0,
C_sensor_MPC,bias_5,12027,0.2859913880133434,2.258564593084215,0.26381800862719196,1.6875347549889759,4.01,
D_adaptive,bias_5,12027,0.2372737934877387,2.258564593084215,0.21350266958383954,1.6875347549889759,4.01,
C_sensor_MPC,bias_15,12027,0.32382986884829196,6.614894587662779,0.31469906373677625,4.7608225154498935,4.01,
D_adaptive,bias_15,12027,0.296553160828493,6.614894587662779,0.2785570426380794,4.7608225154498935,4.01,
C_sensor_MPC,sensor_dropout,12027,0.26427214539855504,24.83183139424786,0.24046152312605376,17.638713461483288,4.01,
D_adaptive,sensor_dropout,12027,0.2650095924098114,24.857448669955318,0.2400687055894799,17.656122318501552,4.01,
C_sensor_MPC,sensor_drift,12027,,,,,0.0,
D_adaptive,sensor_drift,12027,,,,,0.0,
C_sensor_MPC,combined_fault_load,12027,11.682598444851955,3.14397520967808,10.758617097996153,3.132889780017219,3.0100000000000002,
D_adaptive,combined_fault_load,12027,11.694848101555486,3.14397520967808,10.773929466555991,3.132889780017219,3.0100000000000002,
C_sensor_MPC,sensor_noise,12028,0.40529863068610184,1.475587545914572,0.40311037238469105,0.9503808201055478,4.01,
D_adaptive,sensor_noise,12028,0.4145694293303793,1.475587545914572,0.4117408894823231,0.9503808201055478,4.01,
C_sensor_MPC,bias_5,12028,0.3656083718256683,2.227158584423881,0.3614563668724679,1.6623128523789896,4.0200000000000005,
D_adaptive,bias_5,12028,0.32863043655923463,2.227158584423881,0.31792700466884705,1.6623128523789896,4.0200000000000005,
C_sensor_MPC,bias_15,12028,0.36449577539304917,6.613143073700807,0.36116780335546317,4.7624071722895085,4.01,
D_adaptive,bias_15,12028,0.38253224942308484,6.613143073700807,0.3793648488278703,4.7624071722895085,4.01,
C_sensor_MPC,sensor_dropout,12028,0.37710354160842446,24.470184403218035,0.3725942828003992,17.362303504793964,4.0200000000000005,
D_adaptive,sensor_dropout,12028,0.1721323161725603,24.71112826553795,0.14319023771679507,17.525531269182935,4.0200000000000005,
C_sensor_MPC,sensor_drift,12028,0.5115922237349596,0.23385836684261752,0.3093089998161181,0.18139577928279035,0.07,
D_adaptive,sensor_drift,12028,0.5134364186702346,0.23385836684261752,0.3133326491445888,0.18139577928279035,0.07,
C_sensor_MPC,combined_fault_load,12028,11.709365529765966,3.126749560987502,10.801118412011737,3.1169869360795697,3.0100000000000002,
D_adaptive,combined_fault_load,12028,11.690492541619367,3.126749560987502,10.77842571714736,3.1169869360795697,3.0100000000000002,
C_sensor_MPC,sensor_noise,12029,0.4903957581269074,1.417406294551081,0.4845341621725923,0.890616889729917,3.99,
D_adaptive,sensor_noise,12029,0.5127292784626063,1.4174062945510812,0.5015101009520149,0.890616889729917,3.99,
C_sensor_MPC,bias_5,12029,0.3718843013448963,2.2171943191836436,0.3688178365311678,1.6617960886415724,4.01,
D_adaptive,bias_5,12029,0.15097066807361148,2.2171943191836436,0.12444225223416162,1.6617960886415724,4.01,
C_sensor_MPC,bias_15,12029,0.2631397774955481,6.618307865749735,0.22643508838152562,4.7732297089237266,4.01,
D_adaptive,bias_15,12029,0.2794200399639269,6.618307865749736,0.25479961562482834,4.7732297089237266,4.01,
C_sensor_MPC,sensor_dropout,12029,0.5733244562517642,24.322990337103455,0.5590657632327398,17.280238710028748,4.01,
D_adaptive,sensor_dropout,12029,0.3418697450338323,24.378429270526468,0.3372912761732286,17.315732833171534,4.01,
C_sensor_MPC,sensor_drift,12029,,,,,0.0,
D_adaptive,sensor_drift,12029,,,,,0.0,
C_sensor_MPC,combined_fault_load,12029,11.674399372486965,3.123538306330097,10.735987343626755,3.1127329763240583,3.02,
D_adaptive,combined_fault_load,12029,11.652568845322063,3.123538306330097,10.709615710511182,3.1127329763240583,3.02,
C_sensor_MPC,sensor_noise,12030,0.30648866896946686,1.352486380928214,0.2692366357007063,0.8735491917974936,3.99,
D_adaptive,sensor_noise,12030,0.5161661240725817,1.3524863809282137,0.4059207860074914,0.8735491917974936,3.99,
C_sensor_MPC,bias_5,12030,1.5754191113019644,1.917309372804515,1.1253682597601138,1.2827737381046425,5.38,
D_adaptive,bias_5,12030,1.7025804565839875,1.9173093728045145,1.3127896266947194,1.2827737381046422,5.38,
C_sensor_MPC,bias_15,12030,0.2662998701150733,6.616150124351918,0.2320071729675427,4.7713315807531895,4.01,
D_adaptive,bias_15,12030,0.24512694246624678,6.616150124351918,0.21319318537620452,4.7713315807531895,4.01,
C_sensor_MPC,sensor_dropout,12030,0.4502010783914869,24.452965132638596,0.4456842484369429,17.37533341625287,4.01,
D_adaptive,sensor_dropout,12030,0.2911880874227956,24.536033871649273,0.27326192717979825,17.433573111549464,4.01,
C_sensor_MPC,sensor_drift,12030,0.24040937073809232,0.8593963041820771,0.24040937073809232,0.8593963041820771,0.01,
D_adaptive,sensor_drift,12030,0.238039713039079,0.8593963041820771,0.238039713039079,0.8593963041820771,0.01,
C_sensor_MPC,combined_fault_load,12030,11.820932842683757,3.14259132792285,10.944957357592608,3.1334491102919877,3.0100000000000002,
D_adaptive,combined_fault_load,12030,11.823414271154673,3.14259132792285,10.962691380334075,3.1334491102919872,3.0100000000000002,
