method,detection_rate,precision,recall,f1,false_alarm_rate,clean_only_false_alarm_rate
A_fixed_residual,0.10994205550472705,0.8954667770647899,0.10994205550472705,0.19583965232350212,0.016025641025641024,0.013406717471069715
B_residual_plus_MC,0.15495069635051337,0.8325822750238973,0.15495069635051337,0.26127573868140813,0.03890581365828891,0.02935365509455264
C_Phase4B_redesign,0.5982769136931991,0.8326907431643734,0.5982769136931991,0.6962835889321048,0.1501015486164001,0.032740615297770254
D_sensor_only,0.38759276202094134,0.8937529301453352,0.38759276202094134,0.540700560164504,0.05753363797918253,0.022579734688117414
E_multistep_only,0.09482057537867236,0.9946680885097308,0.09482057537867236,0.1731362676628228,0.0006346788525006347,0.002822466836014677
F_final_combined,0.48231168039036293,0.9119215799336889,0.48231168039036293,0.6309280406921658,0.05816831683168317,0.02540220152413209
