scenario,detection_rate,precision,recall,f1,false_alarm_rate,detection_latency_seconds,diagnostic_state_accuracy,post_recovery_alarm_rate
clean,,0.0,0.0,0.0,0.02540220152413209,,0.9745977984758679,
gaussian_noise,0.9929255097794424,0.9979088247595148,0.9929255097794424,0.9954109303295786,0.0043859649122807015,0.04500007629394531,0.9929255097794424,
bias_pos_5,0.42592592592592593,0.9951385512882839,0.42592592592592593,0.5965321288066443,0.0043859649122807015,0.019999980926513672,0.42592592592592593,
bias_pos_10,0.606949646275489,0.9965835326272634,0.606949646275489,0.7544290702185439,0.0043859649122807015,0.019999980926513672,0.606949646275489,
bias_pos_15,0.8905534748231377,0.9976689976689976,0.8905534748231377,0.9410729991204925,0.0043859649122807015,0.019999980926513672,0.8905534748231377,
bias_neg_5,0.7950478568456096,0.9973897154789872,0.7950478568456096,0.8847979622554127,0.0043859649122807015,0.019999980926513672,0.7883895131086143,
drift_positive,0.03433208489388265,0.9428571428571428,0.03433208489388265,0.0662517566753664,0.0043859649122807015,4.350000023841858,0.03433208489388265,
drift_negative,0.029546400332917187,0.9342105263157895,0.029546400332917187,0.0572811617587737,0.0043859649122807015,5.163333257039388,0.004161464835622139,
sensor_dropout,0.9866666666666667,0.3572003218020917,0.9866666666666667,0.5245126993502658,0.0043859649122807015,0.019999980926513672,0.9866666666666667,0.4065540194572453
load_step,0.5299625468164794,1.0,0.5299625468164794,0.6927784577723378,0.0,1.8900000254313152,0.5268414481897628,
parameter_variation,0.036620890553474825,0.9723756906077348,0.036620890553474825,0.07058351714457589,0.0021929824561403508,2.859999974568685,0.03349979192675822,
voltage_change,0.035580524344569285,0.0,0.0,0.0,0.0021929824561403508,6.210000038146973,0.9644194756554307,
combined_bias_load,0.24677486475239285,1.0,0.24677486475239285,0.39586114819759677,0.0,0.019999980926513672,0.03162713275072826,
