run_id,sample,time_s,speed_estimate_rad_s,true_speed_rad_s,load_estimate_Nm,true_load_Nm,innovation_A,innovation_variance_A2,nis,min_covariance_eigenvalue
3,0,0.0,0.0,0.0,0.0,0.05999999865889549,,,,
3,1,0.009999999776482582,0.009347991211064204,-0.04450064152479172,3.7167059702396195e-09,0.05999999865889549,0.005188502486880714,1.532577213207858,1.7565547643775528e-05,1.6597058337307546e-08
3,2,0.019999999552965164,-1.7670238900796897,-0.061476804316043854,2.907103320810807e-05,0.05999999865889549,0.005487957317474312,0.0005695357088089813,0.052881101312158695,1.6595400015926783e-08
3,3,0.029999999329447746,-2.1168551949619347,-0.05584198608994484,5.561236941134163e-05,0.05999999865889549,0.002257880601763018,0.0002631457797266178,0.01937338617823956,1.6595399863893772e-08
3,4,0.03999999910593033,-2.261988010602865,-0.03144613280892372,8.852698886090103e-05,0.05999999865889549,0.00174821229036215,0.00022711172282418923,0.013457016547486466,1.6595399863553023e-08
3,5,0.05000000074505806,-2.3212958822754293,0.00773215014487505,0.00012984271628621225,0.05999999865889549,0.0015970056938112709,0.00021057183317830646,0.012111910446759452,1.6595399863226016e-08
3,6,0.05999999865889549,-2.331379765061072,0.058376114815473557,0.00018177311317345258,0.05999999865889549,0.0015787612048725475,0.0002010856864151506,0.012395148488414857,1.6595399862899157e-08
3,7,0.07000000029802322,-2.3077144602822917,0.11999952048063278,0.00024664714063591487,0.05999999865889549,0.0016260770437637184,0.0001949425148561325,0.013563621841067958,1.6595399862572722e-08
3,8,0.07999999821186066,-2.257997629515309,0.19456367194652557,0.0003266918931703175,0.05999999865889549,0.0017075143690963301,0.0001906466355270086,0.015293242981239966,1.6595399862247008e-08
3,9,0.09000000357627869,-2.1864815423014585,0.2837470471858978,0.00042384846652691725,0.05999999865889549,0.001804679511894891,0.00018747924230285259,0.017371886618743965,1.6595399861922303e-08
3,10,0.10000000149011612,-2.0958373075074754,0.38785499334335327,0.0005397781497559155,0.05999999865889549,0.001907798750200973,0.00018505196688563675,0.019668507892800453,1.6595399861598882e-08
3,11,0.10999999940395355,-1.9880071968241275,0.506384015083313,0.0006759711675864753,0.05999999865889549,0.0020127710363735396,0.00018313656289224356,0.022121455054542778,1.659539986127703e-08
3,12,0.11999999731779099,-1.8645100047600112,0.6385923027992249,0.0008337400237245235,0.05999999865889549,0.0021169696892457956,0.00018159008637267014,0.02467954476318774,1.6595399860957023e-08
3,13,0.12999999523162842,-1.7266399906638106,0.7837092876434326,0.0010142920549234176,0.05999999865889549,0.0022195813744430026,0.00018031844237869434,0.027321340029256975,1.659539986063913e-08
3,14,0.14000000059604645,-1.5755137544443043,0.9409823417663574,0.0012186768971020373,0.05999999865889549,0.002319477523422986,0.00017925715239654837,0.030012615450696074,1.6595399860323604e-08
3,15,0.15000000596046448,-1.4121638021371286,1.109683632850647,0.0014478930521768228,0.05999999865889549,0.0024169992923579464,0.0001783605442337988,0.032753239256778366,1.6595399860010705e-08
3,16,0.1599999964237213,-1.2375036394434744,1.2891104221343994,0.0017027398903564422,0.05999999865889549,0.002510960208095714,0.00017759535392060095,0.03550161097941146,1.6595399859700665e-08
3,17,0.17000000178813934,-1.0524016319975036,1.478585124015808,0.001983961324001068,0.05999999865889549,0.0026018113737804605,0.000176936772608801,0.03825899119173065,1.6595399859393728e-08
3,18,0.18000000715255737,-0.8576613185467293,1.6774544715881348,0.0022921602389940803,0.05999999865889549,0.002689166655544195,0.00017636591362345713,0.04100348617664478,1.6595399859090152e-08
3,19,0.1899999976158142,-0.6540449007753204,1.885089635848999,0.0026278500194712277,0.05999999865889549,0.002773159327441377,0.00017586813472044742,0.043728289195762875,1.6595399858792232e-08
3,20,0.20000000298023224,-0.4422555500806478,2.1008853912353516,0.0029913712625842075,0.05999999865889549,0.0028532779436964972,0.00017543169307772667,0.04640663771270724,1.6595399858640368e-08
3,21,0.20999999344348907,-0.22273101397505995,2.3242604732513428,0.003382788601940528,0.05999999865889549,0.00293048655894923,0.0001750323593042311,0.049063793154129676,1.659539986870755e-08
3,22,0.2199999988079071,0.004052546497390064,2.5546560287475586,0.0037839694109477557,0.05999999865889549,0.002999145450393037,0.00017388711794682498,0.05172823345869648,1.6595399950501435e-08
3,23,0.23000000417232513,0.22173439042316348,2.791536808013916,0.004174179758327482,0.05999999865889549,0.0030440667825861745,0.00017218110243044145,0.05381741925242932,1.659539987568071e-08
3,24,0.23999999463558197,0.4409369483471452,3.0343892574310303,0.004588690251624278,0.05999999865889549,0.0030749459788905753,0.0001719081464820812,0.055002005237028646,1.6595399854965277e-08
