scenario,mean_score,clean_overlap,ks_statistic,ks_pvalue,raw_auc_vs_clean
clean,0.3773603141307831,0.8993147640705577,0.08983147672093687,5.374068745787317e-25,0.5507198090299577
load_step,0.5252818465232849,0.3035062955033112,0.6975379960995628,0.0,0.9092874807899248
parameter_variation,0.4231190085411072,0.7037945042476379,0.29486492355849103,5.1739416725635494e-219,0.6920785696685198
combined_fault,0.4376295506954193,0.7477142982916102,0.253489907110542,2.446496278325335e-161,0.6686047461857102
