horizon,move_weight,RMSE,tail_speed_peak_to_peak,tail_voltage_peak_to_peak,control_effort
10,0.05,11.06165986377119,7.680525815368625,12.0,228.76644597913594
15,0.05,10.855097975800543,3.7396123757159003,12.0,332.90555165446483
20,0.5,10.82889436833008,0.6026192144719502,2.2621152975473287,113.08281379816657
