training_seed,scenario,simulation_seed,sensor_fault_detected,first_post_event_reliability_entry_time_s,event_start_s,reliability_entries,post_event_reliability_entries,first_entry_time_s,events_table_entries,pre_event_latch,post_event_entry,pre_and_post_entry,label,latch_phase
2028,load_disturbance,49026,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2028,load_disturbance,49027,,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,load_disturbance,49028,,3.08,3.0,1,1,3.08,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,load_disturbance,49029,,,3.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,load_disturbance,49030,,3.13,3.0,1,1,3.13,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,parameter_variation,49026,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2028,parameter_variation,49027,,,3.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,parameter_variation,49028,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2028,parameter_variation,49029,,,3.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,parameter_variation,49030,,,3.0,0,0,,0,False,False,False,NO_ENTRY,NONE
2028,sensor_bias_5,49026,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,sensor_bias_5,49027,False,,2.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,sensor_bias_5,49028,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,sensor_bias_5,49029,False,,2.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,sensor_bias_5,49030,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,sensor_dropout,49026,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,sensor_dropout,49027,False,,2.0,1,0,0.98,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,sensor_dropout,49028,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
2028,sensor_dropout,49029,False,,2.0,1,0,1.02,1,True,False,False,PRE_EVENT_LATCH,STARTUP
2028,sensor_dropout,49030,True,2.02,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
