family,condition_id,training_seed,simulation_seed,event_end_s,sensor_fault_detected,first_post_event_reliability_entry_time_s,bias_percent,dropout_duration_s,drift_final_percent,post_step_load_Nm,event_start_s,reliability_entries,post_event_reliability_entries,first_entry_time_s,events_table_entries,pre_event_latch,post_event_entry,pre_and_post_entry,label,latch_phase
bias,bias_pct_2.5,2028,59028,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2028,59029,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_2.5,2028,59030,4.0,True,2.02,2.5,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2026,59026,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2026,59027,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2026,59028,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2026,59029,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2026,59030,4.0,False,,5.0,,,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_5,2027,59026,4.0,False,,5.0,,,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_5,2027,59027,4.0,False,,5.0,,,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_5,2027,59028,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2027,59029,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2027,59030,4.0,False,,5.0,,,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
bias,bias_pct_5,2028,59026,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2028,59027,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2028,59028,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2028,59029,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
bias,bias_pct_5,2028,59030,4.0,True,2.02,5.0,,,,2.0,1,1,2.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2026,59026,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2026,59027,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2026,59028,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2026,59029,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2026,59030,6.0,False,,15.0,,,0.1,3.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2027,59026,6.0,False,,15.0,,,0.1,3.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2027,59027,6.0,False,,15.0,,,0.1,3.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2027,59028,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2027,59029,6.0,False,,15.0,,,0.1,3.0,1,0,2.03,1,True,False,False,PRE_EVENT_LATCH,MID_RUN_PRE_EVENT
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2027,59030,6.0,False,,15.0,,,0.1,3.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2028,59026,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2028,59027,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2028,59028,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2028,59029,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.1,2028,59030,6.0,True,3.02,15.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2026,59026,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2026,59027,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2026,59028,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2026,59029,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2026,59030,6.0,False,,15.0,,,0.15,3.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2027,59026,6.0,False,,15.0,,,0.15,3.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2027,59027,6.0,False,,15.0,,,0.15,3.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2027,59028,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2027,59029,6.0,False,,15.0,,,0.15,3.0,1,0,2.03,1,True,False,False,PRE_EVENT_LATCH,MID_RUN_PRE_EVENT
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2027,59030,6.0,False,,15.0,,,0.15,3.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2028,59026,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2028,59027,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2028,59028,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2028,59029,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_15_load_Nm_0.15,2028,59030,6.0,True,3.02,15.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2026,59026,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2026,59027,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2026,59028,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2026,59029,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2026,59030,6.0,False,,5.0,,,0.1,3.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2027,59026,6.0,False,,5.0,,,0.1,3.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2027,59027,6.0,False,,5.0,,,0.1,3.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2027,59028,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2027,59029,6.0,False,,5.0,,,0.1,3.0,1,0,2.03,1,True,False,False,PRE_EVENT_LATCH,MID_RUN_PRE_EVENT
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2027,59030,6.0,False,,5.0,,,0.1,3.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2028,59026,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2028,59027,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2028,59028,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2028,59029,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.1,2028,59030,6.0,True,3.02,5.0,,,0.1,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2026,59026,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2026,59027,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2026,59028,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2026,59029,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2026,59030,6.0,False,,5.0,,,0.15,3.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2027,59026,6.0,False,,5.0,,,0.15,3.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2027,59027,6.0,False,,5.0,,,0.15,3.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2027,59028,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2027,59029,6.0,False,,5.0,,,0.15,3.0,1,0,2.03,1,True,False,False,PRE_EVENT_LATCH,MID_RUN_PRE_EVENT
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2027,59030,6.0,False,,5.0,,,0.15,3.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2028,59026,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2028,59027,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2028,59028,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2028,59029,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
combined_bias_load,combined_bias_pct_5_load_Nm_0.15,2028,59030,6.0,True,3.02,5.0,,,0.15,3.0,1,1,3.02,1,False,True,False,POST_EVENT_ENTRY,NONE
drift,drift_pct_10,2026,59026,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2026,59027,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2026,59028,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2026,59029,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2026,59030,6.0,False,,,,10.0,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_10,2027,59026,6.0,False,,,,10.0,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_10,2027,59027,6.0,False,,,,10.0,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_10,2027,59028,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2027,59029,6.0,True,3.76,,,10.0,,2.0,1,1,3.76,1,False,True,False,POST_EVENT_ENTRY,NONE
drift,drift_pct_10,2027,59030,6.0,False,,,,10.0,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_10,2028,59026,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2028,59027,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2028,59028,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2028,59029,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_10,2028,59030,6.0,False,,,,10.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2026,59026,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2026,59027,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2026,59028,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2026,59029,6.0,True,4.28,,,15.0,,2.0,1,1,4.28,1,False,True,False,POST_EVENT_ENTRY,NONE
drift,drift_pct_15,2026,59030,6.0,False,,,,15.0,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_15,2027,59026,6.0,False,,,,15.0,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_15,2027,59027,6.0,False,,,,15.0,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_15,2027,59028,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2027,59029,6.0,True,3.76,,,15.0,,2.0,1,1,3.76,1,False,True,False,POST_EVENT_ENTRY,NONE
drift,drift_pct_15,2027,59030,6.0,False,,,,15.0,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_15,2028,59026,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2028,59027,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2028,59028,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2028,59029,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_15,2028,59030,6.0,False,,,,15.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2026,59026,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2026,59027,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2026,59028,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2026,59029,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2026,59030,6.0,False,,,,2.5,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_2.5,2027,59026,6.0,False,,,,2.5,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_2.5,2027,59027,6.0,False,,,,2.5,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_2.5,2027,59028,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2027,59029,6.0,True,2.03,,,2.5,,2.0,2,2,2.03,2,False,True,False,POST_EVENT_ENTRY,NONE
drift,drift_pct_2.5,2027,59030,6.0,False,,,,2.5,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_2.5,2028,59026,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2028,59027,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2028,59028,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2028,59029,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_2.5,2028,59030,6.0,False,,,,2.5,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2026,59026,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2026,59027,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2026,59028,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2026,59029,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2026,59030,6.0,False,,,,5.0,,2.0,1,0,0.5,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_5,2027,59026,6.0,False,,,,5.0,,2.0,1,0,0.87,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_5,2027,59027,6.0,False,,,,5.0,,2.0,1,0,0.48,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_5,2027,59028,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2027,59029,6.0,True,2.03,,,5.0,,2.0,2,2,2.03,2,False,True,False,POST_EVENT_ENTRY,NONE
drift,drift_pct_5,2027,59030,6.0,False,,,,5.0,,2.0,1,0,0.61,1,True,False,False,PRE_EVENT_LATCH,STARTUP
drift,drift_pct_5,2028,59026,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
drift,drift_pct_5,2028,59027,6.0,False,,,,5.0,,2.0,0,0,,0,False,False,False,NO_ENTRY,NONE
