training_seed,controller,scenario,simulation_seed,seed,step,time_s,event,raw_main_residual,aux_residual,cusum_score
2026,C3_arbitration_MPC,combined_fault_load,49026,49026,302,3.02,entry,3.316346785428806,2.6381008210357564,10.023302455711137
2026,C3_arbitration_MPC,combined_fault_load,49027,49027,98,0.98,entry,5.049395046537612,7.884952968595357,10.087430798425869
2026,C3_arbitration_MPC,combined_fault_load,49028,49028,302,3.02,entry,2.902369090950181,2.8109029759448134,7.8054430474760785
2026,C3_arbitration_MPC,combined_fault_load,49029,49029,102,1.02,entry,4.660389593727437,7.591355504107824,8.354813717457674
2026,C3_arbitration_MPC,combined_fault_load,49030,49030,302,3.02,entry,3.074837551201547,3.0703153244296786,9.40602786551183
2026,C3_arbitration_MPC,load_disturbance,49027,49027,98,0.98,entry,5.049395046537612,7.884952968595357,10.087430798425869
2026,C3_arbitration_MPC,load_disturbance,49028,49028,306,3.06,entry,-0.38307541340111584,-0.8783552549094438,2.168932543651083
2026,C3_arbitration_MPC,load_disturbance,49029,49029,102,1.02,entry,4.660389593727437,7.591355504107824,8.354813717457674
2026,C3_arbitration_MPC,load_disturbance,49030,49030,310,3.1,entry,0.09056739298502947,-1.0337865290506656,1.6814684687695043
2026,C3_arbitration_MPC,parameter_variation,49027,49027,98,0.98,entry,5.049395046537612,7.884952968595357,10.087430798425869
2026,C3_arbitration_MPC,parameter_variation,49029,49029,102,1.02,entry,4.660389593727437,7.591355504107824,8.354813717457674
2026,C3_arbitration_MPC,sensor_bias_5,49026,49026,202,2.02,entry,3.216768385493644,5.1903750365919095,9.634706068726997
2026,C3_arbitration_MPC,sensor_bias_5,49027,49027,98,0.98,entry,5.049395046537612,7.884952968595357,10.087430798425869
2026,C3_arbitration_MPC,sensor_bias_5,49028,49028,202,2.02,entry,2.6808147073291977,3.919443538075484,8.489880676573703
2026,C3_arbitration_MPC,sensor_bias_5,49029,49029,102,1.02,entry,4.660389593727437,7.591355504107824,8.354813717457674
2026,C3_arbitration_MPC,sensor_bias_5,49030,49030,202,2.02,entry,3.3386718354744005,4.865182539958575,9.016371592557903
2026,C3_arbitration_MPC,sensor_dropout,49026,49026,202,2.02,entry,-35.49639129638672,-33.52278464528845,105.86993189293068
2026,C3_arbitration_MPC,sensor_dropout,49027,49027,98,0.98,entry,5.049395046537612,7.884952968595357,10.087430798425869
2026,C3_arbitration_MPC,sensor_dropout,49028,49028,202,2.02,entry,-34.95413589477539,-33.715507064029104,104.10493176093523
2026,C3_arbitration_MPC,sensor_dropout,49029,49029,102,1.02,entry,4.660389593727437,7.591355504107824,8.354813717457674
2026,C3_arbitration_MPC,sensor_dropout,49030,49030,202,2.02,entry,-35.040992736816406,-33.51448203233223,104.41047420098495
2027,C3_arbitration_MPC,combined_fault_load,49026,49026,302,3.02,entry,3.5752394825824254,2.193482984609105,10.755943985691903
2027,C3_arbitration_MPC,combined_fault_load,49027,49027,98,0.98,entry,9.104164565759095,9.134004383465548,18.891025608994852
2027,C3_arbitration_MPC,combined_fault_load,49028,49028,112,1.12,entry,9.042567366245237,8.945333628846551,18.706661037413756
2027,C3_arbitration_MPC,combined_fault_load,49029,49029,302,3.02,entry,2.7078736812648287,2.0659241453807695,8.64394864604883
2027,C3_arbitration_MPC,combined_fault_load,49030,49030,26,0.26,entry,-0.09147628073639469,-1.7105804445203785,1.4335108128118623
2027,C3_arbitration_MPC,combined_fault_load,49030,49030,31,0.31,recovery,-0.1758749305292917,-1.7484150147274762,0.3262478866792623
2027,C3_arbitration_MPC,combined_fault_load,49030,49030,302,3.02,entry,3.0122119781362002,2.3230917524679597,8.916619617766532
2027,C3_arbitration_MPC,load_disturbance,49027,49027,98,0.98,entry,9.104164565759095,9.134004383465548,18.891025608994852
2027,C3_arbitration_MPC,load_disturbance,49028,49028,112,1.12,entry,9.042567366245237,8.945333628846551,18.706661037413756
2027,C3_arbitration_MPC,load_disturbance,49029,49029,503,5.03,entry,-0.7948028720159499,-1.3348205034649396,2.64010042640059
2027,C3_arbitration_MPC,load_disturbance,49030,49030,26,0.26,entry,-0.09147628073639469,-1.7105804445203785,1.4335108128118623
2027,C3_arbitration_MPC,load_disturbance,49030,49030,31,0.31,recovery,-0.1758749305292917,-1.7484150147274762,0.3262478866792623
2027,C3_arbitration_MPC,load_disturbance,49030,49030,310,3.1,entry,0.0927286812028072,-1.3035013748038295,1.4252785519170565
2027,C3_arbitration_MPC,parameter_variation,49027,49027,98,0.98,entry,9.104164565759095,9.134004383465548,18.891025608994852
2027,C3_arbitration_MPC,parameter_variation,49028,49028,112,1.12,entry,9.042567366245237,8.945333628846551,18.706661037413756
2027,C3_arbitration_MPC,parameter_variation,49030,49030,26,0.26,entry,-0.09147628073639469,-1.7105804445203785,1.4335108128118623
2027,C3_arbitration_MPC,parameter_variation,49030,49030,31,0.31,recovery,-0.1758749305292917,-1.7484150147274762,0.3262478866792623
2027,C3_arbitration_MPC,parameter_variation,49030,49030,377,3.77,entry,0.08869619924993088,-11.41572208977977,1.701903714392099
2027,C3_arbitration_MPC,sensor_bias_5,49026,49026,202,2.02,entry,3.2939683770720904,2.6095668021854976,9.810510927794592
2027,C3_arbitration_MPC,sensor_bias_5,49027,49027,98,0.98,entry,9.104164565759095,9.134004383465548,18.891025608994852
2027,C3_arbitration_MPC,sensor_bias_5,49028,49028,112,1.12,entry,9.042567366245237,8.945333628846551,18.706661037413756
2027,C3_arbitration_MPC,sensor_bias_5,49029,49029,202,2.02,entry,4.023820115430674,4.140981904488129,10.265219252077532
2027,C3_arbitration_MPC,sensor_bias_5,49030,49030,26,0.26,entry,-0.09147628073639469,-1.7105804445203785,1.4335108128118623
2027,C3_arbitration_MPC,sensor_bias_5,49030,49030,31,0.31,recovery,-0.1758749305292917,-1.7484150147274762,0.3262478866792623
2027,C3_arbitration_MPC,sensor_bias_5,49030,49030,202,2.02,entry,3.053342272278698,3.443387845636657,7.838167970184092
2027,C3_arbitration_MPC,sensor_dropout,49026,49026,202,2.02,entry,-34.035484313964844,-34.71988588885144,101.80571273709005
2027,C3_arbitration_MPC,sensor_dropout,49027,49027,98,0.98,entry,9.104164565759095,9.134004383465548,18.891025608994852
2027,C3_arbitration_MPC,sensor_dropout,49028,49028,112,1.12,entry,9.042567366245237,8.945333628846551,18.706661037413756
2027,C3_arbitration_MPC,sensor_dropout,49029,49029,202,2.02,entry,-33.77077102661133,-33.65360923755387,100.95992425886529
2027,C3_arbitration_MPC,sensor_dropout,49030,49030,26,0.26,entry,-0.09147628073639469,-1.7105804445203785,1.4335108128118623
2027,C3_arbitration_MPC,sensor_dropout,49030,49030,31,0.31,recovery,-0.1758749305292917,-1.7484150147274762,0.3262478866792623
2027,C3_arbitration_MPC,sensor_dropout,49030,49030,202,2.02,entry,-34.4215202331543,-34.03147465979634,102.63946450463328
2028,C3_arbitration_MPC,combined_fault_load,49026,49026,302,3.02,entry,3.2609097665900038,2.496485863102805,9.84745079896109
2028,C3_arbitration_MPC,combined_fault_load,49027,49027,98,0.98,entry,4.18360945091187,7.654297975081537,7.609966374328992
2028,C3_arbitration_MPC,combined_fault_load,49028,49028,302,3.02,entry,2.949999853437234,2.796360155381876,8.221789579298191
2028,C3_arbitration_MPC,combined_fault_load,49029,49029,102,1.02,entry,3.7111975451567325,7.29176656010236,5.655893944207161
2028,C3_arbitration_MPC,combined_fault_load,49030,49030,302,3.02,entry,3.0961450854939088,2.3696270303071785,9.394301618212593
2028,C3_arbitration_MPC,load_disturbance,49027,49027,98,0.98,entry,4.18360945091187,7.654297975081537,7.609966374328992
2028,C3_arbitration_MPC,load_disturbance,49028,49028,308,3.08,entry,-0.5642126861818753,-1.438010345744118,2.774467885429585
2028,C3_arbitration_MPC,load_disturbance,49029,49029,102,1.02,entry,3.7111975451567325,7.29176656010236,5.655893944207161
2028,C3_arbitration_MPC,load_disturbance,49030,49030,313,3.13,entry,-0.2281474770636578,-1.7338259842787238,2.9878278211342764
2028,C3_arbitration_MPC,parameter_variation,49027,49027,98,0.98,entry,4.18360945091187,7.654297975081537,7.609966374328992
2028,C3_arbitration_MPC,parameter_variation,49029,49029,102,1.02,entry,3.7111975451567325,7.29176656010236,5.655893944207161
2028,C3_arbitration_MPC,sensor_bias_5,49026,49026,202,2.02,entry,3.2901430178706974,4.752229426487943,9.787497265777317
2028,C3_arbitration_MPC,sensor_bias_5,49027,49027,98,0.98,entry,4.18360945091187,7.654297975081537,7.609966374328992
2028,C3_arbitration_MPC,sensor_bias_5,49028,49028,202,2.02,entry,2.7452182951317496,4.0151936251427855,8.665302780076308
2028,C3_arbitration_MPC,sensor_bias_5,49029,49029,102,1.02,entry,3.7111975451567325,7.29176656010236,5.655893944207161
2028,C3_arbitration_MPC,sensor_bias_5,49030,49030,202,2.02,entry,3.4579036376150967,4.770874600283776,9.41274352129436
2028,C3_arbitration_MPC,sensor_dropout,49026,49026,202,2.02,entry,-34.84513473510742,-33.383048326490176,103.9492991398489
2028,C3_arbitration_MPC,sensor_dropout,49027,49027,98,0.98,entry,4.18360945091187,7.654297975081537,7.609966374328992
2028,C3_arbitration_MPC,sensor_dropout,49028,49028,202,2.02,entry,-34.663970947265625,-33.39399561725459,103.2103930950968
2028,C3_arbitration_MPC,sensor_dropout,49029,49029,102,1.02,entry,3.7111975451567325,7.29176656010236,5.655893944207161
