scenario,step,raw_y_measured,y_true,y_hat,residual,positive_cusum,negative_cusum,active_fault_state,healthy_run,substitution_flag,physical_sensor_fault
persistent_constant_bias,57,3.0,0.0,0.0,3.0,152.05863872398226,0.0,True,0,True,True
persistent_constant_bias,58,3.0,0.0,0.0,3.0,154.92766964330266,0.0,True,0,True,True
persistent_constant_bias,59,3.0,0.0,0.0,3.0,157.79670056262307,0.0,True,0,True,True
persistent_constant_bias,60,3.0,0.0,0.0,3.0,160.66573148194348,0.0,True,0,True,True
persistent_constant_bias,61,3.0,0.0,0.0,3.0,163.5347624012639,0.0,True,0,True,True
persistent_constant_bias,62,3.0,0.0,0.0,3.0,166.4037933205843,0.0,True,0,True,True
persistent_constant_bias,63,3.0,0.0,0.0,3.0,169.2728242399047,0.0,True,0,True,True
persistent_constant_bias,64,3.0,0.0,0.0,3.0,172.14185515922512,0.0,True,0,True,True
persistent_constant_bias,65,3.0,0.0,0.0,3.0,175.01088607854552,0.0,True,0,True,True
persistent_constant_bias,66,3.0,0.0,0.0,3.0,177.87991699786593,0.0,True,0,True,True
persistent_constant_bias,67,3.0,0.0,0.0,3.0,180.74894791718634,0.0,True,0,True,True
persistent_constant_bias,68,3.0,0.0,0.0,3.0,183.61797883650675,0.0,True,0,True,True
persistent_constant_bias,69,3.0,0.0,0.0,3.0,186.48700975582716,0.0,True,0,True,True
persistent_constant_bias,70,3.0,0.0,0.0,3.0,189.35604067514757,0.0,True,0,True,True
persistent_constant_bias,71,3.0,0.0,0.0,3.0,192.22507159446798,0.0,True,0,True,True
persistent_constant_bias,72,3.0,0.0,0.0,3.0,195.09410251378839,0.0,True,0,True,True
persistent_constant_bias,73,3.0,0.0,0.0,3.0,197.9631334331088,0.0,True,0,True,True
persistent_constant_bias,74,3.0,0.0,0.0,3.0,200.8321643524292,0.0,True,0,True,True
persistent_constant_bias,75,3.0,0.0,0.0,3.0,203.7011952717496,0.0,True,0,True,True
persistent_constant_bias,76,3.0,0.0,0.0,3.0,206.57022619107002,0.0,True,0,True,True
persistent_constant_bias,77,3.0,0.0,0.0,3.0,209.43925711039043,0.0,True,0,True,True
persistent_constant_bias,78,3.0,0.0,0.0,3.0,212.30828802971084,0.0,True,0,True,True
persistent_constant_bias,79,3.0,0.0,0.0,3.0,215.17731894903125,0.0,True,0,True,True
persistent_constant_bias,80,3.0,0.0,0.0,3.0,218.04634986835165,0.0,True,0,True,True
persistent_constant_bias,81,3.0,0.0,0.0,3.0,220.91538078767206,0.0,True,0,True,True
persistent_constant_bias,82,3.0,0.0,0.0,3.0,223.78441170699247,0.0,True,0,True,True
