scenario,frac_phys,frac_main,frac_aux,frac_fb,switches,avg_episode_duration_s
combined_fault_load,0.49883527454242926,0.07138103161397671,0.429783693843594,0.0,2.4,1.8399999999999999
load_disturbance,0.9198003327787022,0.02312811980033278,0.057071547420965055,0.0,2.2,2.88
parameter_variation,0.9357737104825292,0.00033277870216306157,0.0,0.06389351081530782,1.4,3.5700000000000003
sensor_bias_15,0.33277870216306155,0.6672212978369384,0.0,0.0,1.0,3.0
sensor_bias_5,0.33277870216306155,0.6672212978369384,0.0,0.0,1.0,3.0
sensor_drift,0.9217970049916806,0.0004991680532445924,0.07753743760399334,0.00016638935108153079,1.0,4.05
sensor_dropout,0.33277870216306155,0.6672212978369384,0.0,0.0,1.0,3.0
sensor_noise,0.3342762063227953,0.6657237936772046,0.0,0.0,1.6,2.55
