scenario,mean_absolute_residual,residual_exceedance_rate,first_0.2s_residual_rate,late_residual_rate,mean_mc_variance,variance_exceedance_rate,residual_clean_overlap,variance_clean_overlap,residual_ks_statistic,residual_ks_pvalue,variance_ks_statistic,variance_ks_pvalue,original_detection_latency_seconds
clean,0.23083482443184425,0.013547840812870448,,,0.004794284235686064,0.016793677674287327,0.9999999999999999,1.0000000109319434,0.0,1.0,0.0,1.0,
gaussian_noise,1.8016573332132597,0.7442779858510196,0.753968253968254,0.7456724367509987,0.057082515209913254,0.5863503953391593,0.25265958477672035,0.2910646901646721,0.749024733759628,0.0,0.7106504605624567,0.0,0.003333409627278646
small_bias,0.2328169481783076,0.015397419891801914,0.07142857142857142,0.014203284509542832,0.004586748778820038,0.016021639617145235,0.9678022074439127,0.9643814355797157,0.009161389076524792,0.9675166407699866,0.03634780543513383,0.0010017790807142495,0.2566667397816976
large_bias,0.2558992552945776,0.02600915522263837,0.46825396825396826,0.01442521083000444,0.00781713891774416,0.05867665418227216,0.9721435560897453,0.9417495347862871,0.023724930345676427,0.07799283713892527,0.06151215863038828,7.264708197045725e-10,0.0
gradual_drift,0.23259948364556257,0.012692467748647523,0.007936507936507936,0.012649800266311585,0.006461069453507662,0.04535996670828132,0.9435245880555035,0.9569288609996748,0.008359223564391532,0.9869997834183459,0.044111879625489306,2.775185656558499e-05,0.5633334318796793
temporary_dropout,0.7028887600368924,0.10222222222222223,0.7301587301587301,0.0,0.03637588396668434,0.12444444444444444,0.9050089378116474,0.6935271442255116,0.09678991438517263,5.774736928130562e-07,0.5785501928685671,1.8317426759224845e-251,0.0
load_step,0.2395462417849869,0.012900540990428632,0.023809523809523808,0.012205947625388371,0.003984638024121523,0.004577611319184353,0.9553953338738657,0.9451667977372842,0.030667106421799168,0.008914532862639619,0.0538048156710688,1.194438895307713e-07,0.9983332951863607
parameter_variation,0.23160811122145336,0.012068248023304202,0.007936507936507936,0.011762094984465158,0.0027519315481185913,0.00020807324178110696,0.9462427539947066,0.805751552675743,0.011471865361636932,0.8397621467595441,0.19657442027553054,3.036435530872484e-97,0.5516667366027832
combined_fault,0.23642618763214987,0.016229712858926344,0.16666666666666666,0.011984021304926764,0.0029380375053733587,0.002913025384935497,0.9715869910001717,0.8220045419701791,0.014746420206466444,0.5553772267991166,0.1832501568918051,1.7048785497286852e-84,0.0
