overall_rmse,fault_rmse,detection_latency,recovery_latency,false_recoveries,sub_duration,sub_fraction,scenario,run_id,version
7.262319087982178,4.113320827484131,0.0,801.0,0,1027,0.869602032176122,sensor_bias_5,8,V2
4.669856071472168,1.5615105628967285,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,15,V2
8.771553993225098,2.6521599292755127,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,17,V2
5.1973466873168945,10.981500625610352,0.0,801.0,0,1103,0.9339542760372566,sensor_bias_5,22,V2
1.8996672630310059,0.8730198740959167,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,25,V2
4.713144779205322,3.377532720565796,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_5,28,V2
7.262319087982178,4.113320827484131,0.0,801.0,0,1027,0.869602032176122,sensor_bias_15,8,V2
4.669856071472168,1.5615105628967285,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,15,V2
8.771553993225098,2.6521599292755127,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,17,V2
5.1973466873168945,10.981500625610352,0.0,801.0,0,1103,0.9339542760372566,sensor_bias_15,22,V2
1.8996672630310059,0.8730198740959167,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,25,V2
4.713144779205322,3.377532720565796,0.0,801.0,0,1001,0.8475867908552075,sensor_bias_15,28,V2
7.262319087982178,4.113320827484131,0.0,801.0,0,1027,0.869602032176122,sensor_dropout,8,V2
4.669856071472168,1.5615105628967285,0.0,801.0,0,1001,0.8475867908552075,sensor_dropout,15,V2
8.771553993225098,2.6521599292755127,0.0,801.0,0,1001,0.8475867908552075,sensor_dropout,17,V2
5.1973466873168945,10.981500625610352,0.0,801.0,0,1103,0.9339542760372566,sensor_dropout,22,V2
1.8996672630310059,0.8730198740959167,0.0,801.0,0,1001,0.8475867908552075,sensor_dropout,25,V2
4.713144779205322,3.377532720565796,0.0,801.0,0,1001,0.8475867908552075,sensor_dropout,28,V2
7.262319087982178,7.886689186096191,0.0,,0,1027,0.869602032176122,sensor_drift,8,V2
0.8444716334342957,0.9154947400093079,686.0,,2,6,0.005080440304826418,sensor_drift,15,V2
0.8524985909461975,0.924400269985199,690.0,,3,3,0.002540220152413209,sensor_drift,17,V2
5.1973466873168945,5.444275379180908,0.0,,0,1103,0.9339542760372566,sensor_drift,22,V2
0.7872874736785889,0.8535165786743164,712.0,,2,6,0.005080440304826418,sensor_drift,25,V2
0.8239046931266785,0.8934595584869385,336.0,,1,1,0.000846740050804403,sensor_drift,28,V2
7.262319087982178,8.251974105834961,,,0,1027,0.869602032176122,load_disturbance,8,V2
0.14890216290950775,0.1529853641986847,,,0,6,0.005080440304826418,load_disturbance,15,V2
0.14235380291938782,0.14445926249027252,,,0,3,0.002540220152413209,load_disturbance,17,V2
5.1973466873168945,3.6782641410827637,,,0,1103,0.9339542760372566,load_disturbance,22,V2
0.13123615086078644,0.13338634371757507,,,0,1,0.000846740050804403,load_disturbance,25,V2
0.13378530740737915,0.13570371270179749,,,0,1,0.000846740050804403,load_disturbance,28,V2
7.262319087982178,8.251974105834961,,,0,1027,0.869602032176122,parameter_variation,8,V2
0.14890216290950775,0.1529853641986847,,,0,6,0.005080440304826418,parameter_variation,15,V2
0.14235380291938782,0.14445926249027252,,,0,3,0.002540220152413209,parameter_variation,17,V2
5.1973466873168945,3.6782641410827637,,,0,1103,0.9339542760372566,parameter_variation,22,V2
0.13123615086078644,0.13338634371757507,,,0,1,0.000846740050804403,parameter_variation,25,V2
0.13378530740737915,0.13570371270179749,,,0,1,0.000846740050804403,parameter_variation,28,V2
7.262319087982178,7.886689186096191,0.0,,0,1027,0.869602032176122,combined_fault_load,8,V2
4.669856071472168,5.072056770324707,0.0,,0,1001,0.8475867908552075,combined_fault_load,15,V2
8.771553993225098,9.527467727661133,0.0,,0,1001,0.8475867908552075,combined_fault_load,17,V2
5.1973466873168945,5.444275379180908,0.0,,0,1103,0.9339542760372566,combined_fault_load,22,V2
1.8996672630310059,2.0627338886260986,0.0,,0,1001,0.8475867908552075,combined_fault_load,25,V2
4.713144779205322,5.119140625,0.0,,0,1001,0.8475867908552075,combined_fault_load,28,V2
