phase,scenario,detection_latency_s,tracking_RMSE,fault_window_RMSE,recovery_events,false_recovery_events,substitution_fraction,recovery_latency_s,control_effort_sum_u2
pre_fix,sensor_drift,,11.602414405210595,5.102047403122914,1,0,0.009983361064891847,,5474.022556331897
post_fix,sensor_drift,,11.602414405361403,5.102047403312142,1,0,0.009983361064891847,,5474.022556124187
pre_fix,combined_fault_load,0.020000000000000018,11.13788132330283,3.6917479947209095,1,1,0.03993344425956739,,7996.456797732418
post_fix,combined_fault_load,0.020000000000000018,13.62545700956521,11.688699950611982,0,0,0.5008319467554077,,6303.452903043916
