scenario,clean_false_alarm_rate,post_recovery_alarm_rate,detection_rate,detection_latency_seconds,precision,recall,f1,state_accuracy_all,state_accuracy_active,percent_normal,percent_sensor_suspect,percent_model_mismatch
clean,0.032740615297770254,,,,0.0,0.0,0.0,0.9672593847022297,,96.72593847022297,3.0200395145357044,0.2540220152413209
gaussian_noise,0.033771929824561404,,0.9983354140657511,0.013333400090535482,0.9842051282051282,0.9983354140657511,0.9912199152980063,0.9880045159469376,0.9983354140657511,31.202370872142254,68.54360711261643,0.2540220152413209
small_bias,0.033771929824561404,,0.2126508531002913,0.7000002066294352,0.9299363057324841,0.2126508531002913,0.34614733276883997,0.45512277730736667,0.2126508531002913,84.49054473609935,15.255433248659328,0.2540220152413209
large_bias,0.033771929824561404,,1.0,0.0,0.9842310055293877,1.0,0.9920528434306946,0.9891335026813435,1.0,31.089472198701667,68.65650578605701,0.2540220152413209
gradual_drift,0.033771929824561404,,0.047648772367873495,4.360000014305115,0.7483660130718954,0.047648772367873495,0.08959311424100157,0.3432119672593847,0.047648772367873495,95.68162574089754,4.064352243861134,0.2540220152413209
temporary_dropout,0.033771929824561404,1.0,1.0,0.0,0.18431292238378047,1.0,0.311257132975964,0.4379057296076771,1.0,31.089472198701667,68.65650578605701,0.2540220152413209
load_step,0.04298245614035088,,0.024344569288389514,2.384999910990397,0.5441860465116279,0.024344569288389514,0.04660426209918343,0.30835450183460344,0.0006242197253433209,96.96584815128422,2.9918148461755574,0.04233700254022015
parameter_variation,0.0412280701754386,,0.01768622555139409,1.183333396911621,0.4748603351955307,0.01768622555139409,0.034102306920762285,0.30849562517640416,0.0,97.47389218176686,2.5261078182331356,0.0
combined_fault,0.0412280701754386,,0.45921764461090303,0.003333409627278646,0.959148196436332,0.45921764461090303,0.6210778106092585,0.6199548405306238,0.45921764461090303,67.52751905165114,32.47248094834886,0.0
