controller,scenario,seed,sub_samples,main_virtual_rmse,aux_virtual_rmse,selected_virtual_rmse,corrupted_rmse,main_virtual_mae,aux_virtual_mae,selected_virtual_mae,corrupted_mae
C1_sensor_MPC,sensor_noise,12026,401,0.246186590237674,,0.246186590237674,1.371062373471538,0.22435983557546554,,0.22435983557546554,0.8701188267658102
C2_aux_recovery_MPC,sensor_noise,12026,401,0.246186590237674,0.3135470731304607,0.246186590237674,1.371062373471538,0.22435983557546554,0.22167726439801927,0.22435983557546554,0.8701188267658102
C3_arbitration_MPC,sensor_noise,12026,401,0.246186590237674,0.3135470731304607,0.246186590237674,1.371062373471538,0.22435983557546554,0.22167726439801927,0.22435983557546554,0.8701188267658102
C1_sensor_MPC,sensor_noise,12027,400,0.2921255507338939,,0.2921255507338939,1.4295341838662712,0.25922942977088487,,0.25922942977088487,0.8972425255056067
C2_aux_recovery_MPC,sensor_noise,12027,400,0.2921255507338939,0.3222613137226964,0.2921255507338939,1.4295341838662712,0.25922942977088487,0.2293418568077145,0.25922942977088487,0.8972425255056067
C3_arbitration_MPC,sensor_noise,12027,400,0.2921255507338939,0.3222613137226964,0.2921255507338939,1.4295341838662712,0.25922942977088487,0.2293418568077145,0.25922942977088487,0.8972425255056067
C1_sensor_MPC,sensor_noise,12028,400,0.48065020004211717,,0.48065020004211717,1.4022250405094419,0.38052264375521694,,0.38052264375521694,0.8975448181972943
C2_aux_recovery_MPC,sensor_noise,12028,400,0.48065020004211717,0.31819300679647466,0.48065020004211717,1.4022250405094419,0.38052264375521694,0.2505941687619062,0.38052264375521694,0.8975448181972943
C3_arbitration_MPC,sensor_noise,12028,400,0.48065020004211717,0.31819300679647466,0.48065020004211717,1.4022250405094419,0.38052264375521694,0.2505941687619062,0.38052264375521694,0.8975448181972943
C1_sensor_MPC,sensor_noise,12029,400,0.38800714147903037,,0.38800714147903037,1.3160429301382983,0.3210129356329893,,0.3210129356329893,0.8447900575307921
C2_aux_recovery_MPC,sensor_noise,12029,400,0.38800714147903037,0.2772381054163039,0.38800714147903037,1.3160429301382983,0.3210129356329893,0.229140467673959,0.3210129356329893,0.8447900575307921
C3_arbitration_MPC,sensor_noise,12029,400,0.38800714147903037,0.2772381054163039,0.38800714147903037,1.3160429301382983,0.3210129356329893,0.229140467673959,0.3210129356329893,0.8447900575307921
C1_sensor_MPC,sensor_noise,12030,400,0.375040681098036,,0.375040681098036,1.5727813594912607,0.31391175128378934,,0.31391175128378934,0.9831702124798158
C2_aux_recovery_MPC,sensor_noise,12030,400,0.375040681098036,0.22221289984866052,0.375040681098036,1.5727813594912607,0.31391175128378934,0.2078920956740771,0.31391175128378934,0.9831702124798158
C3_arbitration_MPC,sensor_noise,12030,400,0.375040681098036,0.22221289984866052,0.375040681098036,1.5727813594912607,0.31391175128378934,0.2078920956740771,0.31391175128378934,0.9831702124798158
C1_sensor_MPC,sensor_bias_5,12026,401,0.246186590237674,,0.246186590237674,2.326513283942887,0.22435983557546554,,0.22435983557546554,1.7325611969986976
C2_aux_recovery_MPC,sensor_bias_5,12026,401,0.246186590237674,0.3135470731304607,0.246186590237674,2.326513283942887,0.22435983557546554,0.22167726439801927,0.22435983557546554,1.7325611969986976
C3_arbitration_MPC,sensor_bias_5,12026,401,0.246186590237674,0.3135470731304607,0.246186590237674,2.326513283942887,0.22435983557546554,0.22167726439801927,0.22435983557546554,1.7325611969986976
C1_sensor_MPC,sensor_bias_5,12027,401,0.24266157344879957,,0.24266157344879957,2.33171273126435,0.21038944510755012,,0.21038944510755012,1.7305856346920954
C2_aux_recovery_MPC,sensor_bias_5,12027,401,0.24266157344879957,0.3327175780736638,0.24266157344879957,2.33171273126435,0.21038944510755012,0.22748590990725445,0.21038944510755012,1.7305856346920954
C3_arbitration_MPC,sensor_bias_5,12027,401,0.24266157344879957,0.3327175780736638,0.24266157344879957,2.33171273126435,0.21038944510755012,0.22748590990725445,0.21038944510755012,1.7305856346920954
C1_sensor_MPC,sensor_bias_5,12028,401,0.26646262367276136,,0.26646262367276136,2.304966255271526,0.24164209401913903,,0.24164209401913903,1.7189132097883542
