controller,scenario,seed,RMSE,MAE,IAE,ISE,max_abs_error,overshoot_percent,settling_time_s,recovery_time_s,fault_interval_RMSE,fault_interval_IAE,fault_interval_ISE,fault_interval_peak_error,control_effort_sum_u2,control_variation_sum_du2,constraint_violations,voltage_violations,rate_violations,nonfinite_events,optimizer_failures,average_solve_ms,p95_solve_ms,max_solve_ms,mean_iterations,mean_objective_evaluations,tail_oscillation,sensor_substitution_rate,substitution_fraction,recovery_events,false_recovery_events,sensor_recovery_latency_s,medium_mode_fraction,high_mode_fraction,safety_events,study,horizon,control_horizon,warm_start,strategy,move_blocks,max_iterations,component,calls,own_ms,cumulative_ms
B_plain_MPC,nominal_tracking,2026.0,32.82156951763249,30.498545336431835,182.90744971710174,6459.037356653593,42.7615509707213,122.17585991634657,,,32.82156951763249,182.90744971710174,6459.037356653593,42.7615509707213,16923.99999999995,23.999999999999744,0.0,0.0,0.0,0.0,0.0,9.779753718594444,14.379400003235787,25.97079999395646,1.0495867768595042,1.0495867768595042,1.0495506277879514,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,5.0,1.0,True,,,,,,,
B_plain_MPC,step_reference,2026.0,27.804707100018113,25.579675126307603,153.44503975425508,4637.211765217393,37.76155097072137,94.40387742680343,,,27.804707100018113,153.44503975425508,4637.211765217393,37.76155097072137,16923.999999999978,23.99999999999997,0.0,0.0,0.0,0.0,0.0,8.164195867540595,13.929100001405459,19.294799996714573,1.0495867768595042,1.0495867768595042,1.0495506277879514,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,5.0,1.0,True,,,,,,,
B_plain_MPC,load_disturbance,2026.0,26.615416025628395,25.19564047350591,151.11525770765144,4247.566723294695,35.062866971588775,96.4901130502821,,,29.435352763282538,88.10394709594928,2598.607490684676,33.77153956759874,16923.99999999986,23.999999999999538,0.0,0.0,0.0,0.0,0.0,8.689070247632763,14.436400000704452,17.126300001109485,1.0495867768595042,1.0495867768595042,0.879932041573575,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,5.0,1.0,True,,,,,,,
B_plain_MPC,nominal_tracking,2026.0,11.335429778390845,6.986697144909113,41.813976659407814,766.1114989038831,35.06286697158892,19.76644596566355,,,11.335429778390845,41.813976659407814,766.1114989038831,35.06286697158892,8115.399822522405,168.57561960217487,0.0,0.0,0.0,0.0,0.0,22.990061156776413,38.71769999386743,46.91099999763537,1.537190082644628,1.56198347107438,10.355659167560617,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,10.0,1.0,True,,,,,,,
B_plain_MPC,step_reference,2026.0,8.019622672336146,6.167330956811156,36.94917549880354,384.4748888230763,20.062866971588775,14.857083510816462,,,8.019622672336146,36.94917549880354,384.4748888230763,20.062866971588775,8473.868318123285,185.7478333500825,0.0,0.0,0.0,0.0,0.0,23.185487603347784,38.60010000062175,45.6724999967264,1.5206611570247934,1.5702479338842976,8.710232918713444,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,10.0,1.0,True,,,,,,,
B_plain_MPC,load_disturbance,2026.0,11.460933824403867,7.233378900914638,43.28131070657531,783.2534397017453,35.06286697158885,19.709267078437346,,,4.359370857360642,11.235539551816903,57.01206535141088,7.723840184829761,10045.11491333237,164.44074574409592,0.0,0.0,0.0,0.0,0.0,21.997824793213436,34.99210000154562,42.26119999657385,1.5206611570247934,1.5454545454545454,10.414646826124347,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,10.0,1.0,True,,,,,,,
B_plain_MPC,nominal_tracking,2026.0,11.362934985980278,7.072566207277974,42.32302541410358,769.8507980144815,35.062866971588775,19.832739976225103,,,11.362934985980278,42.32302541410358,769.8507980144815,35.062866971588775,8197.903663127132,167.432284262118,0.0,0.0,0.0,0.0,0.0,36.65943388399727,75.8955000055721,83.62629999464843,2.2892561983471076,2.5785123966942147,10.626655424638475,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,10.0,2.0,True,,,,,,,
B_plain_MPC,step_reference,2026.0,8.052510100495947,6.214847509842402,37.23792748576399,387.6705325159761,20.062866971588942,14.98748028800497,,,8.052510100495947,37.23792748576399,387.6705325159761,20.062866971588942,8486.103380514536,182.51828085396158,0.0,0.0,0.0,0.0,0.0,37.3280016528125,74.7369999953662,96.60530000110157,2.3388429752066116,2.56198347107438,9.264686548322189,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,10.0,2.0,True,,,,,,,
B_plain_MPC,load_disturbance,2026.0,11.498564609567865,7.3137976490915,43.76339160339155,788.4376222814645,35.062866971588775,19.801328579506684,,,4.53177484913366,11.651045619838207,61.60698699367925,8.05191302869687,10145.34694501545,162.90815265406005,0.0,0.0,0.0,0.0,0.0,36.586118182061576,74.55069999559782,102.70719999971334,2.28099173553719,2.5702479338842976,10.701295186949679,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,10.0,2.0,True,,,,,,,
B_plain_MPC,nominal_tracking,2026.0,10.890894123091785,5.341886864373177,31.924668239526174,706.7254198881727,35.062866971588775,11.737744308205862,2.54,2.54,10.890894123091785,31.924668239526174,706.7254198881727,35.062866971588775,7526.095890977151,279.7571653793103,0.0,0.0,0.0,0.0,0.0,39.861392561903834,64.45489999896381,82.30230000481242,1.7685950413223142,1.7933884297520661,3.8473158573676187,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,horizon_control,15.0,1.0,True,,,,,,,
